company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
MOLEX INC,MOLX,,67472,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 11:06:05+00:00,-1.84,-1.84,,-1.84,264140000.0,463000.0,-322036000.0,-322036000.0,-322036000.0,1925664000.0,2581841000.0,25347000.0,2685000.0,151531000.0,586702000.0,1925664000.0,656177000.0,-1961000.0,1005058000.0,-348881000.0,27308000.0,-321573000.0,2581841000.0,175000000.0,174598000.0,174598000.0
MOLEX INC,MOLX,,67472,2010.0,Q4,2010-04-01,2010-06-30,,0.23,0.23,-0.46,0.23,,21380000.0,39779000.0,39779000.0,39779000.0,594366000.0,847304000.0,-959000.0,4769000.0,26542000.0,158677000.0,594366000.0,252938000.0,832000.0,189988000.0,62950000.0,-1791000.0,61159000.0,847304000.0,174800000.0,173803000.0,174660000.0
MOLEX INC,MOLX,,67472,2010.0,FY,2009-07-01,2010-06-30,2012-08-09 13:41:52+00:00,0.44,0.44,,0.44,,54559000.0,76930000.0,76930000.0,76930000.0,2114584000.0,3007207000.0,-897000.0,26898000.0,117139000.0,610784000.0,2114584000.0,892623000.0,5416000.0,754821000.0,137802000.0,-6313000.0,131489000.0,3007207000.0,174800000.0,173803000.0,174660000.0
MOLEX INC,MOLX,,67472,2010.0,Q3YTD,2009-07-01,2010-03-31,,0.21,0.21,0.46,0.21,,33179000.0,37151000.0,37151000.0,37151000.0,1520218000.0,2159903000.0,62000.0,22129000.0,90597000.0,452107000.0,1520218000.0,639685000.0,4584000.0,564833000.0,74852000.0,-4522000.0,70330000.0,2159903000.0,174800000.0,173858000.0,174838000.0
MOLEX INC,MOLX,,67472,2010.0,Q3,2010-01-01,2010-03-31,2011-05-03 17:00:46+00:00,0.22,0.22,0.1525,0.22,,18790000.0,38447000.0,38447000.0,38447000.0,520564000.0,756294000.0,-2721000.0,8032000.0,9068000.0,156374000.0,520564000.0,235730000.0,2298000.0,173474000.0,62256000.0,-5019000.0,57237000.0,756294000.0,174800000.0,173858000.0,174838000.0
MOLEX INC,MOLX,,67472,2010.0,Q2YTD,2009-07-01,2009-12-31,,-0.01,-0.01,0.31,-0.01,,14389000.0,-1296000.0,-1296000.0,-1296000.0,999654000.0,1403609000.0,2783000.0,14097000.0,81529000.0,295733000.0,999654000.0,403955000.0,2286000.0,391359000.0,12596000.0,497000.0,13093000.0,1403609000.0,173000000.0,173743000.0,174575000.0
MOLEX INC,MOLX,,67472,2010.0,Q2,2009-10-01,2009-12-31,2011-01-27 16:03:43+00:00,0.08,0.08,0.1525,0.08,,12426000.0,13840000.0,13840000.0,13840000.0,517040000.0,729576000.0,-701000.0,8543000.0,25635000.0,150105000.0,517040000.0,212536000.0,1286000.0,184283000.0,28253000.0,-1987000.0,26266000.0,729576000.0,173000000.0,173743000.0,174575000.0
MOLEX INC,MOLX,,67472,2010.0,Q1,2009-07-01,2009-09-30,2010-10-29 14:02:47+00:00,-0.09,-0.09,0.1525,-0.09,,1963000.0,-15136000.0,-15136000.0,-15136000.0,482614000.0,674033000.0,3484000.0,5554000.0,55894000.0,145628000.0,482614000.0,191419000.0,1000000.0,207076000.0,-15657000.0,2484000.0,-13173000.0,674033000.0,168200000.0,173486000.0,173486000.0
MOLEX INC,MOLX,,67472,2011.0,Q4,2011-04-01,2011-06-30,,0.44,0.44,-0.5,0.43,,31669000.0,77276000.0,77276000.0,77276000.0,632264000.0,913666000.0,-318000.0,3366000.0,,167914000.0,632264000.0,281402000.0,859000.0,171280000.0,110122000.0,-1177000.0,108945000.0,913666000.0,174700000.0,174812000.0,175943000.0
MOLEX INC,MOLX,,67472,2011.0,FY,2010-07-01,2011-06-30,2013-08-08 12:50:03+00:00,1.71,1.71,,1.7,,131131000.0,298808000.0,298808000.0,298808000.0,2499197000.0,3587334000.0,5448000.0,14476000.0,,643462000.0,2499197000.0,1088137000.0,5708000.0,657938000.0,430199000.0,-260000.0,429939000.0,3587334000.0,174700000.0,174812000.0,175943000.0
