company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
MOLEX INC,MOLX,,67472,2009.0,FY,2008-07-01,2009-06-30,2011-08-05 11:06:05+00:00,-74789000.0,83904000.0,5487000.0,251902000.0,-12030000.0,113797000.0,323060000.0,-155582000.0,-253086000.0,369898000.0,-155582000.0,-253086000.0,369898000.0,-50800000.0,-322036000.0,-322036000.0,326235000.0,3385000.0,3274000.0,-99640000.0,-42751000.0,-177943000.0,-306045000.0,-76342000.0,29549000.0,9574000.0
MOLEX INC,MOLX,,67472,2010.0,Q4,2010-04-01,2010-06-30,,,43319000.0,6262000.0,57967000.0,-6605000.0,-55768000.0,32647000.0,-25823000.0,-91627000.0,68653000.0,-25823000.0,-91627000.0,68653000.0,-55402000.0,39779000.0,39779000.0,26675000.0,1751000.0,-486000.0,-26564000.0,-3631000.0,-79476000.0,-33657000.0,,-2966000.0,-5068000.0
MOLEX INC,MOLX,,67472,2010.0,FY,2009-07-01,2010-06-30,2012-08-09 13:41:52+00:00,-10097000.0,43319000.0,6262000.0,238666000.0,1173000.0,-154574000.0,186647000.0,-83236000.0,-216871000.0,250579000.0,-83236000.0,-216871000.0,250579000.0,-48355000.0,76930000.0,76930000.0,89557000.0,4008000.0,-5794000.0,-105984000.0,-18890000.0,-229477000.0,-167907000.0,,44373000.0,3014000.0
MOLEX INC,MOLX,,67472,2010.0,Q3YTD,2009-07-01,2010-03-31,2011-05-03 17:00:46+00:00,-10097000.0,,,180699000.0,7778000.0,-98806000.0,154000000.0,-57413000.0,-125244000.0,181926000.0,-57413000.0,-125244000.0,181926000.0,7047000.0,37151000.0,37151000.0,62882000.0,2257000.0,-5308000.0,-79420000.0,-15259000.0,-150001000.0,-134250000.0,,47339000.0,8082000.0
MOLEX INC,MOLX,,67472,2010.0,Q2,2009-10-01,2009-12-31,,-10090000.0,,,60674000.0,-222000.0,-38863000.0,20000000.0,-51331000.0,-54348000.0,71220000.0,-51331000.0,-54348000.0,71220000.0,-34681000.0,13840000.0,13840000.0,35569000.0,725000.0,577000.0,-26433000.0,-527000.0,-47686000.0,-45623000.0,,16000.0,3362000.0
MOLEX INC,MOLX,,67472,2010.0,Q2YTD,2009-07-01,2009-12-31,2011-01-27 16:03:43+00:00,-10090000.0,,,121263000.0,11020000.0,-40606000.0,110000000.0,-28447000.0,-62800000.0,141838000.0,-28447000.0,-62800000.0,141838000.0,61611000.0,-1296000.0,-1296000.0,62477000.0,991000.0,222000.0,-52919000.0,-1485000.0,-93320000.0,-86519000.0,,35319000.0,6554000.0
MOLEX INC,MOLX,,67472,2010.0,Q1,2009-07-01,2009-09-30,2010-10-29 14:02:47+00:00,,,,60589000.0,11242000.0,-1743000.0,90000000.0,22884000.0,-8452000.0,70618000.0,22884000.0,-8452000.0,70618000.0,96292000.0,-15136000.0,-15136000.0,26908000.0,266000.0,-355000.0,-26486000.0,-958000.0,-45634000.0,-40896000.0,,35303000.0,3192000.0
MOLEX INC,MOLX,,67472,2011.0,Q4,2011-04-01,2011-06-30,,,98117000.0,5830000.0,60455000.0,11775000.0,31467000.0,48764000.0,-10475000.0,-55717000.0,139220000.0,-10475000.0,-55717000.0,139220000.0,84803000.0,77276000.0,77276000.0,-29978000.0,1334000.0,5168000.0,-30644000.0,-2266000.0,-65331000.0,-29929000.0,,6368000.0,344000.0
MOLEX INC,MOLX,,67472,2011.0,FY,2010-07-01,2011-06-30,2013-08-08 12:50:03+00:00,-18847000.0,98117000.0,5830000.0,242171000.0,37996000.0,-79578000.0,162620000.0,-77191000.0,-270709000.0,466151000.0,-77191000.0,-270709000.0,466151000.0,156247000.0,298808000.0,298808000.0,4750000.0,7269000.0,4972000.0,-114410000.0,-8328000.0,-262246000.0,-132670000.0,,11936000.0,1804000.0
MOLEX INC,MOLX,,67472,2011.0,Q3TTM,2010-04-01,2011-03-31,,-18847000.0,43319000.0,6262000.0,239683000.0,19616000.0,-166813000.0,146503000.0,-92539000.0,-306619000.0,395584000.0,-92539000.0,-306619000.0,395584000.0,16042000.0,261311000.0,261311000.0,61403000.0,7686000.0,-682000.0,-110330000.0,-9693000.0,-276391000.0,-136398000.0,,2602000.0,-3608000.0
