company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Norfolk Southern Corp,NSC,,702165,2007.0,FY,2007-01-01,2007-12-31,2010-02-17 17:16:32+00:00,3.73,3.73,0.96,775000000.0,3.68,773000000.0,1464000000.0,1464000000.0,1464000000.0,6072000000.0,9432000000.0,93000000.0,,,,6072000000.0,3360000000.0,441000000.0,775000000.0,2585000000.0,-348000000.0,2237000000.0,9432000000.0,392500000.0,392500000.0,397800000.0
Norfolk Southern Corp,NSC,,702165,2008.0,FY,2008-01-01,2008-12-31,2011-02-16 20:44:39+00:00,4.58,4.58,1.22,804000000.0,4.52,1034000000.0,1716000000.0,1716000000.0,1716000000.0,6773000000.0,10661000000.0,110000000.0,,,,6773000000.0,3888000000.0,444000000.0,804000000.0,3084000000.0,-334000000.0,2750000000.0,10661000000.0,372300000.0,372300000.0,372300000.0
Norfolk Southern Corp,NSC,,702165,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 11:37:44+00:00,1.39,1.39,0.32,201000000.0,1.37,302000000.0,520000000.0,520000000.0,520000000.0,1799000000.0,2894000000.0,39000000.0,,,,1799000000.0,1095000000.0,111000000.0,201000000.0,894000000.0,-72000000.0,822000000.0,2894000000.0,374100000.0,374100000.0,379600000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q4,2009-10-01,2009-12-31,,1.3,0.82,0.34,213000000.0,0.82,160000000.0,307000000.0,307000000.0,307000000.0,1344000000.0,2106000000.0,37000000.0,,,,1344000000.0,762000000.0,119000000.0,213000000.0,549000000.0,-82000000.0,467000000.0,2106000000.0,367100000.0,367100000.0,367100000.0
Norfolk Southern Corp,NSC,,702165,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 10:12:15+00:00,2.79,2.79,1.36,837000000.0,2.76,588000000.0,1034000000.0,1034000000.0,1034000000.0,5170000000.0,7969000000.0,127000000.0,,,,5170000000.0,2799000000.0,467000000.0,837000000.0,1962000000.0,-340000000.0,1622000000.0,7969000000.0,367100000.0,367100000.0,367100000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.49,1.97,1.02,624000000.0,1.94,428000000.0,727000000.0,727000000.0,727000000.0,3826000000.0,5863000000.0,90000000.0,,,,3826000000.0,2037000000.0,348000000.0,624000000.0,1413000000.0,-258000000.0,1155000000.0,5863000000.0,367300000.0,367300000.0,367300000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q3,2009-07-01,2009-09-30,2010-10-29 12:54:27+00:00,0.82,0.82,0.34,210000000.0,0.81,178000000.0,303000000.0,303000000.0,303000000.0,1291000000.0,2063000000.0,37000000.0,,,,1291000000.0,772000000.0,118000000.0,210000000.0,562000000.0,-81000000.0,481000000.0,2063000000.0,367300000.0,367300000.0,367300000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.67,1.15,0.68,414000000.0,1.13,250000000.0,424000000.0,424000000.0,424000000.0,2535000000.0,3800000000.0,53000000.0,,,,2535000000.0,1265000000.0,230000000.0,414000000.0,851000000.0,-177000000.0,674000000.0,3800000000.0,366800000.0,366800000.0,366800000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q2,2009-04-01,2009-06-30,2010-07-30 11:53:02+00:00,0.67,0.67,0.34,207000000.0,0.66,144000000.0,247000000.0,247000000.0,247000000.0,1182000000.0,1857000000.0,36000000.0,,,,1182000000.0,675000000.0,113000000.0,207000000.0,468000000.0,-77000000.0,391000000.0,1857000000.0,366800000.0,366800000.0,366800000.0
Norfolk Southern Corp,NSC,,702165,2009.0,Q1,2009-01-01,2009-03-31,2010-04-30 11:19:56+00:00,,0.48,0.34,207000000.0,0.47,106000000.0,177000000.0,177000000.0,177000000.0,1353000000.0,1943000000.0,17000000.0,,,,1353000000.0,590000000.0,117000000.0,207000000.0,383000000.0,-100000000.0,283000000.0,1943000000.0,,368800000.0,376600000.0
Norfolk Southern Corp,NSC,,702165,2010.0,Q4,2010-10-01,2010-12-31,,1.1,1.1,0.36,207000000.0,1.09,160000000.0,402000000.0,402000000.0,402000000.0,1543000000.0,2392000000.0,35000000.0,,,,1543000000.0,849000000.0,115000000.0,207000000.0,642000000.0,-80000000.0,562000000.0,2392000000.0,366500000.0,366500000.0,366500000.0
Norfolk Southern Corp,NSC,,702165,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 11:49:47+00:00,4.06,4.06,1.4,819000000.0,4.0,871000000.0,1496000000.0,1496000000.0,1496000000.0,6021000000.0,9516000000.0,153000000.0,,,,6021000000.0,3495000000.0,462000000.0,819000000.0,2676000000.0,-309000000.0,2367000000.0,9516000000.0,366500000.0,366500000.0,366500000.0
Norfolk Southern Corp,NSC,,702165,2010.0,Q3YTD,2010-01-01,2010-09-30,,2.96,2.96,1.04,612000000.0,2.91,711000000.0,1094000000.0,1094000000.0,1094000000.0,4478000000.0,7124000000.0,118000000.0,,,,4478000000.0,2646000000.0,347000000.0,612000000.0,2034000000.0,-229000000.0,1805000000.0,7124000000.0,366300000.0,366300000.0,366300000.0
Norfolk Southern Corp,NSC,,702165,2010.0,Q3TTM,2009-10-01,2010-09-30,,4.26,3.78,1.38,825000000.0,3.73,871000000.0,1401000000.0,1401000000.0,1401000000.0,5822000000.0,9230000000.0,155000000.0,,,,5822000000.0,3408000000.0,466000000.0,825000000.0,2583000000.0,-311000000.0,2272000000.0,9230000000.0,366300000.0,366300000.0,366300000.0
Norfolk Southern Corp,NSC,,702165,2010.0,Q3,2010-07-01,2010-09-30,2011-10-28 09:07:38+00:00,1.21,1.21,0.36,204000000.0,1.19,269000000.0,445000000.0,445000000.0,445000000.0,1506000000.0,2456000000.0,81000000.0,,,,1506000000.0,950000000.0,113000000.0,204000000.0,746000000.0,-32000000.0,714000000.0,2456000000.0,366300000.0,366300000.0,366300000.0
