company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2014.0,FY,2014-01-01,2014-12-31,2017-02-23 16:30:02+00:00,1603000000.0,1569000000.0,2002000000.0,-310000000.0,100000000.0,13564000000.0,969000000.0,7638000000.0,-15991000000.0,9486000000.0,-187000000.0,7638000000.0,-15991000000.0,9304000000.0,951000000.0,1017000000.0,4428000000.0,4423000000.0,5000000.0,-170000000.0,146000000.0,-746000000.0,3541000000.0,-34064000000.0,-502000000.0,-5367000000.0,-2045000000.0,,18575000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-11-02 17:09:03+00:00,1109000000.0,1248000000.0,1532000000.0,324000000.0,73000000.0,11177000000.0,484000000.0,243000000.0,-8087000000.0,7686000000.0,39000000.0,243000000.0,-8087000000.0,7701000000.0,-143000000.0,-265000000.0,3429000000.0,3453000000.0,24000000.0,-55000000.0,89000000.0,-559000000.0,2432000000.0,-22429000000.0,-405000000.0,-9213000000.0,-1543000000.0,,14747000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2014.0,Q2YTD,2014-01-01,2014-06-30,2015-08-03 16:32:14+00:00,884000000.0,798000000.0,1017000000.0,506000000.0,51000000.0,7690000000.0,484000000.0,-612000000.0,-3867000000.0,4930000000.0,-30000000.0,-612000000.0,-3867000000.0,4920000000.0,441000000.0,1363000000.0,2348000000.0,2328000000.0,-20000000.0,-360000000.0,70000000.0,-370000000.0,1439000000.0,-11954000000.0,-250000000.0,-8920000000.0,-980000000.0,,8337000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2015.0,FY,2015-01-01,2015-12-31,2018-02-21 17:01:17+00:00,1732000000.0,1643000000.0,2100000000.0,-48000000.0,111000000.0,36892000000.0,1472000000.0,21163000000.0,-29726000000.0,10168000000.0,-79000000.0,21163000000.0,-29726000000.0,10127000000.0,1564000000.0,12163000000.0,4050000000.0,4012000000.0,-38000000.0,-432000000.0,85000000.0,-974000000.0,4536000000.0,-44976000000.0,-532000000.0,-26145000000.0,-2441000000.0,,15782000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2015.0,Q3YTD,2015-01-01,2015-09-30,2016-11-02 17:36:57+00:00,1117000000.0,1321000000.0,1558000000.0,966000000.0,84000000.0,18675000000.0,1472000000.0,150000000.0,-9560000000.0,9043000000.0,-64000000.0,150000000.0,-9560000000.0,9005000000.0,-405000000.0,7348000000.0,3130000000.0,3104000000.0,-26000000.0,259000000.0,83000000.0,-692000000.0,3156000000.0,-21240000000.0,-411000000.0,-25005000000.0,-1815000000.0,,12091000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2016.0,FY,2016-01-01,2016-12-31,2019-02-20 15:52:42+00:00,2121000000.0,2250000000.0,2428000000.0,-25000000.0,131000000.0,29254000000.0,1066000000.0,17227000000.0,-25630000000.0,11850000000.0,25000000.0,17227000000.0,-25630000000.0,11856000000.0,3453000000.0,19031000000.0,3751000000.0,3770000000.0,19000000.0,-782000000.0,142000000.0,-1026000000.0,6459000000.0,-41038000000.0,-779000000.0,-27710000000.0,-3661000000.0,,16187000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2016.0,Q4,2016-10-01,2016-12-31,,570000000.0,732000000.0,609000000.0,-1159000000.0,32000000.0,3790000000.0,483000000.0,11570000000.0,-10453000000.0,1998000000.0,-1000000.0,11570000000.0,-10453000000.0,1995000000.0,3112000000.0,10782000000.0,791000000.0,793000000.0,2000000.0,3000000.0,139000000.0,-269000000.0,1752000000.0,-14060000000.0,-271000000.0,-2519000000.0,-868000000.0,,3878000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2016.0,Q3YTD,2016-01-01,2016-09-30,2017-11-01 16:55:15+00:00,1551000000.0,1518000000.0,1819000000.0,1134000000.0,99000000.0,25464000000.0,583000000.0,5657000000.0,-15177000000.0,9852000000.0,26000000.0,5657000000.0,-15177000000.0,9861000000.0,341000000.0,8249000000.0,2960000000.0,2977000000.0,17000000.0,-785000000.0,3000000.0,-757000000.0,4707000000.0,-26978000000.0,-508000000.0,-25191000000.0,-2793000000.0,,12309000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2016.0,Q3TTM,2015-10-01,2016-09-30,,2166000000.0,1840000000.0,2361000000.0,120000000.0,126000000.0,43681000000.0,583000000.0,26670000000.0,-35343000000.0,10977000000.0,11000000.0,26670000000.0,-35343000000.0,10983000000.0,2310000000.0,13064000000.0,3880000000.0,3885000000.0,5000000.0,-1476000000.0,5000000.0,-1039000000.0,6087000000.0,-50714000000.0,-629000000.0,-26331000000.0,-3419000000.0,,16000000000.0
Capital One Financial Corp,COF,ZUE8T73ROZOF6FLBAR73,927628,2016.0,Q3,2016-07-01,2016-09-30,,479000000.0,581000000.0,612000000.0,384000000.0,35000000.0,8576000000.0,583000000.0,4933000000.0,-6259000000.0,3292000000.0,12000000.0,4933000000.0,-6259000000.0,3293000000.0,1967000000.0,4918000000.0,1005000000.0,1016000000.0,11000000.0,-308000000.0,,-239000000.0,1588000000.0,-10082000000.0,-184000000.0,-7746000000.0,-1194000000.0,,4007000000.0
