company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2007.0,FY,2007-01-01,2007-12-31,2010-02-23 14:25:33+00:00,1.87,1.87,0.3,1.83,1051000000.0,2657000000.0,2641000000.0,16000000.0,2657000000.0,6466000000.0,13835000000.0,195000000.0,,,2140000000.0,52000000.0,1680000000.0,6466000000.0,7369000000.0,,3872000000.0,3497000000.0,195000000.0,3692000000.0,13835000000.0,1420900000.0,1417000000.0,1444000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 17:10:14+00:00,1.46,1.46,0.41,1.44,561000000.0,1920000000.0,1920000000.0,,1920000000.0,6256000000.0,12501000000.0,44000000.0,0.0,,1940000000.0,254000000.0,1614000000.0,6256000000.0,6245000000.0,,3808000000.0,2437000000.0,44000000.0,2481000000.0,12501000000.0,1315100000.0,1308000000.0,1321000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2008.0,Q3,2008-07-01,2008-09-30,2009-10-30 17:21:15+00:00,0.43,0.43,0.1,0.43,193000000.0,563000000.0,563000000.0,,563000000.0,1744000000.0,3387000000.0,10000000.0,,,507000000.0,0.0,390000000.0,1744000000.0,1643000000.0,,897000000.0,746000000.0,10000000.0,756000000.0,3387000000.0,1309300000.0,1304000000.0,1315000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2008.0,Q2,2008-04-01,2008-06-30,2009-07-29 17:24:22+00:00,0.44,0.44,0.1,0.44,262000000.0,588000000.0,588000000.0,,588000000.0,1602000000.0,3351000000.0,17000000.0,,,488000000.0,0.0,428000000.0,1602000000.0,1749000000.0,,916000000.0,833000000.0,17000000.0,850000000.0,3351000000.0,1336400000.0,1320000000.0,1338000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,Q4,2009-10-01,2009-12-31,,0.53,0.53,0.12,0.52,226000000.0,655000000.0,655000000.0,,655000000.0,1416000000.0,3004000000.0,6000000.0,,,353000000.0,12000000.0,348000000.0,1416000000.0,1588000000.0,,713000000.0,875000000.0,6000000.0,881000000.0,3004000000.0,1267200000.0,1260000000.0,1269000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 12:13:07+00:00,1.16,1.16,0.45,1.15,547000000.0,1470000000.0,1470000000.0,,1470000000.0,5428000000.0,10427000000.0,26000000.0,0.0,,1476000000.0,212000000.0,1320000000.0,5428000000.0,4999000000.0,0.0,3008000000.0,1991000000.0,26000000.0,2017000000.0,10427000000.0,1267200000.0,1260000000.0,1269000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,Q3,2009-07-01,2009-09-30,2009-10-30 17:21:15+00:00,0.42,0.42,0.11,0.42,227000000.0,538000000.0,538000000.0,,538000000.0,1399000000.0,2880000000.0,2000000.0,,,368000000.0,10000000.0,340000000.0,1399000000.0,1481000000.0,,718000000.0,763000000.0,2000000.0,765000000.0,2880000000.0,1281000000.0,1255000000.0,1268000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.63,0.63,0.33,0.63,321000000.0,815000000.0,815000000.0,,815000000.0,4012000000.0,7423000000.0,20000000.0,,,1123000000.0,200000000.0,972000000.0,4012000000.0,3411000000.0,,2295000000.0,1116000000.0,20000000.0,1136000000.0,7423000000.0,1281000000.0,1255000000.0,1268000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,Q2,2009-04-01,2009-06-30,2009-07-29 17:24:22+00:00,0.2,0.2,0.11,0.2,96000000.0,260000000.0,260000000.0,,260000000.0,1333000000.0,2457000000.0,13000000.0,,,369000000.0,85000000.0,327000000.0,1333000000.0,1124000000.0,,781000000.0,343000000.0,13000000.0,356000000.0,2457000000.0,1300000000.0,1267000000.0,1272000000.0
Texas Instruments Inc,TXN,WDJNR2L6D8RWOEB8T652,97476,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.21,0.21,0.22,0.21,94000000.0,277000000.0,277000000.0,,277000000.0,2613000000.0,4543000000.0,18000000.0,,,755000000.0,190000000.0,632000000.0,2613000000.0,1930000000.0,,1577000000.0,353000000.0,18000000.0,371000000.0,4543000000.0,1300000000.0,1267000000.0,1272000000.0
