company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:15:15+00:00,-415258000.0,1612976000.0,292828000.0,469737000.0,-44645000.0,1377559000.0,0.0,2500507000.0,,-4415872000.0,4288837000.0,2247285000.0,-4415872000.0,4288837000.0,2247285000.0,2075605000.0,246556000.0,-511790000.0,-511790000.0,-494978000.0,-1700476000.0,-502919000.0,,1583666000.0,-6745582000.0,-110237000.0,-5462459000.0,,,11177838000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 17:15:44+00:00,19342000.0,665027000.0,345969000.0,,21606000.0,-91478000.0,733118000.0,3400000000.0,,-2562397000.0,1198223000.0,971957000.0,-2562397000.0,1198223000.0,971957000.0,-370611000.0,-539596000.0,-1297762000.0,-1297762000.0,517116000.0,-1155919000.0,,,1498112000.0,-22375041000.0,-86195000.0,-5000000000.0,,,23659459000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2009.0,Q4,2009-10-01,2009-12-31,,3162000.0,110731000.0,82418000.0,,-4301000.0,303488000.0,-91000.0,850000000.0,,-815279000.0,-735250000.0,241692000.0,-815279000.0,-735250000.0,241692000.0,-1313138000.0,-770887000.0,-67149000.0,-67149000.0,-369467000.0,-44301000.0,,,292402000.0,-4407337000.0,-21504000.0,-850000000.0,,,3693591000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2009.0,Q3,2009-07-01,2009-09-30,,10736000.0,155149000.0,85240000.0,,19364000.0,-508484000.0,146896000.0,850000000.0,,-592812000.0,340742000.0,-205073000.0,-592812000.0,340742000.0,-205073000.0,-437779000.0,-55634000.0,-854691000.0,-854691000.0,725640000.0,-84074000.0,,,347222000.0,-7170944000.0,-18907000.0,-1450000000.0,,,7530593000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 16:05:26+00:00,16180000.0,554296000.0,263551000.0,,25907000.0,-394966000.0,733209000.0,2550000000.0,,-1747118000.0,1933473000.0,730265000.0,-1747118000.0,1933473000.0,730265000.0,942527000.0,231291000.0,-1230613000.0,-1230613000.0,886583000.0,-1111618000.0,,,1205710000.0,-17967704000.0,-64691000.0,-4150000000.0,,,19965868000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 17:09:59+00:00,-78734000.0,425211000.0,339085000.0,,797000.0,142605000.0,,2350000000.0,,-1086130000.0,-1072854000.0,1049295000.0,-1086130000.0,-1072854000.0,1049295000.0,-1108892000.0,-354258000.0,-28472000.0,-28472000.0,-183335000.0,-731872000.0,,,779412000.0,-19792429000.0,-82076000.0,-2350000000.0,,,18801651000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q4,2010-10-01,2010-12-31,,1312000.0,127696000.0,86779000.0,,-258000.0,-216564000.0,,500000000.0,,1005465000.0,-1695085000.0,-66177000.0,1005465000.0,-1695085000.0,-66177000.0,-756055000.0,1072648000.0,-24115000.0,-24115000.0,-106061000.0,-67183000.0,,,193784000.0,-6866662000.0,-20293000.0,-500000000.0,,,5191870000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-04 16:01:40+00:00,-80046000.0,297515000.0,252306000.0,,1055000.0,359169000.0,,1850000000.0,,-2091595000.0,622231000.0,1115472000.0,-2091595000.0,622231000.0,1115472000.0,-352837000.0,-1426906000.0,-4357000.0,-4357000.0,-77274000.0,-664689000.0,,,585628000.0,-12925767000.0,-61783000.0,-1850000000.0,,,13609781000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q3TTM,2009-10-01,2010-09-30,,-76884000.0,408246000.0,334724000.0,,-3246000.0,662657000.0,-91000.0,2700000000.0,,-2906874000.0,-113019000.0,1357164000.0,-2906874000.0,-113019000.0,1357164000.0,-1665975000.0,-2197793000.0,-71506000.0,-71506000.0,-446741000.0,-708990000.0,,,878030000.0,-17333104000.0,-83287000.0,-2700000000.0,,,17303372000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q3,2010-07-01,2010-09-30,,15625000.0,72589000.0,86226000.0,,2843000.0,498548000.0,,500000000.0,,64279000.0,-747424000.0,717616000.0,64279000.0,-747424000.0,717616000.0,37314000.0,398892000.0,8404000.0,8404000.0,-27545000.0,-334613000.0,,,151983000.0,-5433968000.0,-22888000.0,-500000000.0,,,4709432000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-04 16:06:08+00:00,-95671000.0,224926000.0,166080000.0,,-1788000.0,-139379000.0,,1350000000.0,,-2155874000.0,1369655000.0,397856000.0,-2155874000.0,1369655000.0,397856000.0,-390151000.0,-1825798000.0,-12761000.0,-12761000.0,-49729000.0,-330076000.0,,,433645000.0,-7491799000.0,-38895000.0,-1350000000.0,,,8900349000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q2TTM,2009-07-01,2010-06-30,,-81773000.0,490806000.0,333738000.0,,13275000.0,-344375000.0,146805000.0,3050000000.0,,-3563965000.0,975147000.0,434475000.0,-3563965000.0,975147000.0,434475000.0,-2141068000.0,-2652319000.0,-934601000.0,-934601000.0,306444000.0,-458451000.0,,,1073269000.0,-19070080000.0,-79306000.0,-3650000000.0,,,20124533000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q2,2010-04-01,2010-06-30,,-98135000.0,135223000.0,79880000.0,,2107000.0,173532000.0,,500000000.0,,-1028717000.0,606712000.0,444634000.0,-1028717000.0,606712000.0,444634000.0,24736000.0,-864711000.0,35076000.0,35076000.0,-9520000.0,-164006000.0,,,165666000.0,-4864916000.0,-16710000.0,-500000000.0,,,5488338000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2010.0,Q1,2010-01-01,2010-03-31,2011-05-04 16:07:32+00:00,2464000.0,89703000.0,86200000.0,,-3895000.0,-312911000.0,0.0,850000000.0,,-1127157000.0,762943000.0,-46778000.0,-1127157000.0,762943000.0,-46778000.0,-414887000.0,-961087000.0,-47837000.0,-47837000.0,-40209000.0,-166070000.0,,,267979000.0,-2626883000.0,-22185000.0,-850000000.0,,,3412011000.0
E*TRADE Financial Corp,ETFC,549300LYE2HSVYJFJD24,1015780,2011.0,Q4,2011-10-01,2011-12-31,,-7750000.0,149474000.0,90083000.0,,,360341000.0,,720000000.0,,1131476000.0,-1229609000.0,519075000.0,1131476000.0,-1229609000.0,519075000.0,420942000.0,1221060000.0,-6346000.0,-6346000.0,-48039000.0,-59584000.0,,,123036000.0,-4823581000.0,-17501000.0,-750000000.0,,,3611473000.0
