company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,loansheldforsale,longtermdebt,netpremisesandequipment,otherassets,otherlongtermliabilities,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit,unearnedpremiumsdebit
Cincinnati Financial Corp,CINF,,20286,2009.0,FY,,2009-12-31,2010-10-27 16:51:28+00:00,118000000.0,624000000.0,557000000.0,4142000000.0,0.0,1474000000.0,481000000.0,1783000000.0,,839000000.0,251000000.0,882000000.0,822000000.0,3862000000.0,585000000.0,585000000.0,14440000000.0,4760000000.0,4760000000.0,4760000000.0,9680000000.0,14440000000.0,10556000000.0,-1200000000.0,1509000000.0,1010000000.0
Cincinnati Financial Corp,CINF,,20286,2010.0,FY,,2010-12-31,2012-02-29 15:04:13+00:00,119000000.0,769000000.0,385000000.0,4200000000.0,0.0,1484000000.0,488000000.0,2034000000.0,,856000000.0,229000000.0,723000000.0,799000000.0,3980000000.0,621000000.0,621000000.0,15095000000.0,5032000000.0,5032000000.0,5032000000.0,10063000000.0,15095000000.0,11424000000.0,-1201000000.0,1553000000.0,1033000000.0
Cincinnati Financial Corp,CINF,,20286,2010.0,Q3,,2010-09-30,2010-10-27 16:51:28+00:00,114000000.0,814000000.0,445000000.0,4225000000.0,0.0,1480000000.0,469000000.0,1968000000.0,,839000000.0,236000000.0,812000000.0,807000000.0,3919000000.0,648000000.0,648000000.0,15070000000.0,5010000000.0,5010000000.0,5010000000.0,10060000000.0,15070000000.0,11223000000.0,-1203000000.0,1573000000.0,1052000000.0
Cincinnati Financial Corp,CINF,,20286,2010.0,Q2,,2010-06-30,2010-07-28 19:05:51+00:00,120000000.0,636000000.0,325000000.0,4184000000.0,0.0,1477000000.0,485000000.0,1926000000.0,,839000000.0,243000000.0,715000000.0,723000000.0,3828000000.0,626000000.0,626000000.0,14607000000.0,4737000000.0,4737000000.0,4737000000.0,9870000000.0,14607000000.0,10950000000.0,-1204000000.0,1572000000.0,1071000000.0
Cincinnati Financial Corp,CINF,,20286,2011.0,FY,,2011-12-31,2013-02-27 16:19:15+00:00,119000000.0,901000000.0,438000000.0,4339000000.0,0.0,1489000000.0,477000000.0,2214000000.0,,925000000.0,227000000.0,781000000.0,820000000.0,3863000000.0,671000000.0,671000000.0,15635000000.0,5033000000.0,5033000000.0,5033000000.0,10602000000.0,15635000000.0,11735000000.0,-1220000000.0,1633000000.0,1111000000.0
Cincinnati Financial Corp,CINF,,20286,2011.0,Q3,,2011-09-30,2011-10-27 16:31:51+00:00,117000000.0,703000000.0,308000000.0,4521000000.0,0.0,1491000000.0,512000000.0,2179000000.0,,894000000.0,228000000.0,922000000.0,710000000.0,3816000000.0,665000000.0,665000000.0,15412000000.0,4786000000.0,4786000000.0,4786000000.0,10626000000.0,15412000000.0,11463000000.0,-1224000000.0,1657000000.0,1122000000.0
Cincinnati Financial Corp,CINF,,20286,2011.0,Q2,,2011-06-30,2011-07-27 16:31:03+00:00,120000000.0,903000000.0,313000000.0,4535000000.0,0.0,1487000000.0,511000000.0,2148000000.0,,839000000.0,234000000.0,983000000.0,836000000.0,3862000000.0,657000000.0,657000000.0,15702000000.0,5057000000.0,5057000000.0,5057000000.0,10645000000.0,15702000000.0,11688000000.0,-1195000000.0,1630000000.0,1121000000.0
Cincinnati Financial Corp,CINF,,20286,2011.0,Q1,,2011-03-31,2011-04-27 16:56:00+00:00,117000000.0,855000000.0,379000000.0,4239000000.0,0.0,1483000000.0,503000000.0,2106000000.0,,839000000.0,243000000.0,707000000.0,851000000.0,3977000000.0,630000000.0,630000000.0,15369000000.0,5118000000.0,5118000000.0,5118000000.0,10251000000.0,15369000000.0,11636000000.0,-1197000000.0,1586000000.0,1078000000.0
Cincinnati Financial Corp,CINF,,20286,2012.0,FY,,2012-12-31,2014-02-27 15:43:26+00:00,115000000.0,1129000000.0,487000000.0,4230000000.0,0.0,1528000000.0,470000000.0,2295000000.0,,931000000.0,217000000.0,744000000.0,1113000000.0,4021000000.0,734000000.0,734000000.0,16548000000.0,5453000000.0,5453000000.0,5453000000.0,11095000000.0,16548000000.0,12466000000.0,-1225000000.0,1792000000.0,1240000000.0
Cincinnati Financial Corp,CINF,,20286,2012.0,Q3,,2012-09-30,2012-10-25 16:39:03+00:00,116000000.0,1171000000.0,416000000.0,4344000000.0,0.0,1513000000.0,491000000.0,2285000000.0,,932000000.0,223000000.0,704000000.0,1026000000.0,3896000000.0,715000000.0,715000000.0,16479000000.0,5359000000.0,5359000000.0,5359000000.0,11120000000.0,16479000000.0,12465000000.0,-1221000000.0,1818000000.0,1273000000.0
