company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,employeebenefitassets,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2008.0,FY,,2008-09-30,2009-11-18 15:33:39+00:00,437300000.0,959900000.0,-319000000.0,582200000.0,,1497300000.0,161600000.0,190000000.0,,210000000.0,138400000.0,915000000.0,250800000.0,904400000.0,,575500000.0,553800000.0,,120100000.0,386800000.0,129000000.0,394100000.0,178900000.0,310500000.0,4486100000.0,100100000.0,,4593600000.0,1688800000.0,2436600000.0,1303100000.0,1688800000.0,1688800000.0,2904800000.0,4593600000.0,1603200000.0,1601700000.0,-3975600000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2009.0,FY,,2009-09-30,2010-11-18 11:39:32+00:00,313300000.0,726300000.0,-727500000.0,643800000.0,,1486200000.0,159100000.0,174400000.0,,148900000.0,30700000.0,913200000.0,230900000.0,904700000.0,,436400000.0,532500000.0,,307600000.0,848900000.0,153900000.0,325900000.0,156000000.0,288500000.0,2667200000.0,,,4305700000.0,1316400000.0,2134800000.0,947200000.0,1316400000.0,1316400000.0,2989300000.0,4305700000.0,1638400000.0,2042100000.0,-2109500000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2009.0,Q3,,2009-06-30,2009-08-04 10:40:25+00:00,287600000.0,740700000.0,-403500000.0,580500000.0,,1513100000.0,,177600000.0,20200000.0,146500000.0,145100000.0,905600000.0,231600000.0,904800000.0,,460300000.0,525800000.0,,110500000.0,389100000.0,147100000.0,502100000.0,139200000.0,306200000.0,4498100000.0,0.0,,4164000000.0,1607500000.0,2106200000.0,956400000.0,1607500000.0,1607500000.0,2556500000.0,4164000000.0,1532000000.0,1600100000.0,-4000200000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2010.0,FY,,2010-09-30,2011-11-14 13:43:57+00:00,435700000.0,859000000.0,-841200000.0,813400000.0,0.0,1525600000.0,184900000.0,170200000.0,,300100000.0,28300000.0,912500000.0,217300000.0,904900000.0,,603300000.0,536900000.0,,324500000.0,923400000.0,140700000.0,301600000.0,142200000.0,237300000.0,2912400000.0,,,4748300000.0,1460400000.0,2586600000.0,1222300000.0,1460400000.0,1460400000.0,3287900000.0,4748300000.0,1624800000.0,2065600000.0,-2136400000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2010.0,Q3,,2010-06-30,2010-08-05 11:47:35+00:00,398400000.0,826400000.0,-800400000.0,826000000.0,,1513400000.0,191600000.0,164000000.0,,265900000.0,30900000.0,879400000.0,216900000.0,904800000.0,,576500000.0,513000000.0,,303500000.0,850600000.0,125700000.0,370800000.0,152200000.0,256400000.0,2791200000.0,,,4614500000.0,1376000000.0,2518600000.0,1226700000.0,1376000000.0,1376000000.0,3238500000.0,4614500000.0,1582900000.0,2011800000.0,-2128200000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2010.0,Q2,,2010-03-31,2010-05-05 15:17:20+00:00,379300000.0,791800000.0,-769600000.0,817200000.0,,1500400000.0,199600000.0,194400000.0,,204400000.0,31000000.0,889400000.0,218000000.0,904800000.0,,524500000.0,510000000.0,,296900000.0,847000000.0,108600000.0,332400000.0,160400000.0,255400000.0,2774000000.0,,,4542200000.0,1419300000.0,2436500000.0,1115700000.0,1419300000.0,1419300000.0,3122900000.0,4542200000.0,1595700000.0,2007200000.0,-2085500000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2010.0,Q1,,2009-12-31,2010-02-08 16:05:40+00:00,326400000.0,769300000.0,-726800000.0,716300000.0,,1486700000.0,177300000.0,193400000.0,,152600000.0,31200000.0,911100000.0,227700000.0,904800000.0,,468700000.0,519100000.0,,298300000.0,849000000.0,109400000.0,338700000.0,154300000.0,282600000.0,2692700000.0,,,4398800000.0,1367400000.0,2257100000.0,995000000.0,1367400000.0,1367400000.0,3031400000.0,4398800000.0,1622600000.0,2036400000.0,-2085200000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2011.0,FY,,2011-09-30,2012-11-19 16:14:47+00:00,455100000.0,1063400000.0,-992900000.0,988900000.0,0.0,1562800000.0,189000000.0,199600000.0,,319600000.0,,952600000.0,218000000.0,905000000.0,,641700000.0,561400000.0,,336200000.0,1059300000.0,181500000.0,366200000.0,141600000.0,242700000.0,3382800000.0,0.0,0.0,5284900000.0,1748000000.0,3075100000.0,1329900000.0,1748000000.0,1748000000.0,3536900000.0,5284900000.0,1648400000.0,2207000000.0,-2204700000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2011.0,Q3,,2011-06-30,2011-08-04 11:34:53+00:00,478900000.0,1045400000.0,-708100000.0,1021800000.0,0.0,1553300000.0,205500000.0,185700000.0,,230500000.0,43300000.0,968600000.0,224800000.0,905000000.0,,690500000.0,544200000.0,,317300000.0,946400000.0,152300000.0,424400000.0,133800000.0,239900000.0,3180800000.0,,,5327700000.0,1897100000.0,3095700000.0,1339300000.0,1897100000.0,1897100000.0,3430600000.0,5327700000.0,1687800000.0,2091300000.0,-2128900000.0
Rockwell Automation Inc,ROK,VH3R4HHBHH12O0EXZJ88,1024478,2011.0,Q2,,2011-03-31,2011-05-05 12:01:08+00:00,472700000.0,1005700000.0,-770300000.0,1020300000.0,,1543100000.0,202700000.0,182500000.0,,197100000.0,34900000.0,926100000.0,210200000.0,904900000.0,,621900000.0,531300000.0,,315300000.0,938800000.0,117400000.0,304600000.0,145500000.0,233400000.0,3112400000.0,,,5111100000.0,1856900000.0,2947800000.0,1177100000.0,1856900000.0,1856900000.0,3254200000.0,5111100000.0,1632000000.0,2077100000.0,-2028300000.0
