company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Ocean Thermal Energy Corp,CPWR,,859014,2009.0,FY,2008-04-01,2009-03-31,2011-05-27 16:22:39+00:00,,,,,53129000.0,,-15217000.0,17461000.0,2986000.0,,-191819000.0,37197000.0,232008000.0,-191819000.0,37197000.0,232008000.0,62169000.0,139647000.0,139647000.0,21771000.0,11237000.0,,,-33015000.0,,-206042000.0,70212000.0,
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-14 14:49:51+00:00,,,0.0,11900.0,11451.0,,,94267.0,,100000.0,58308.0,,-149119.0,58308.0,0.0,-149119.0,-90811.0,,,-254837.0,,,,0.0,-41692.0,,,
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q2,2009-07-01,2010-06-30,,,,,11116.0,-10370450.0,,-8479000.0,-59263290.0,-579000.0,50000.0,30107909.0,-59284000.0,-75004542.0,30107909.0,-59284000.0,-75004542.0,-112659633.0,-51047000.0,-51047000.0,45676198.0,-1628000.0,,,5708000.0,-40091.0,32305000.0,,-64992000.0
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-09-06 15:23:46+00:00,,,0.0,11116.0,7550.0,,,58710.0,,50000.0,9909.0,,-101542.0,9909.0,0.0,-101542.0,-91633.0,,,-167802.0,,,,0.0,-40091.0,,,
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q4,2010-01-01,2010-03-31,,,,,,12521000.0,,-2455000.0,66521000.0,568000.0,9000000.0,-53599000.0,-4857000.0,122946000.0,-53599000.0,-4857000.0,122946000.0,62035000.0,37361000.0,37361000.0,6543000.0,2618000.0,,,-4857000.0,-44000000.0,-21785000.0,,
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,FY,2009-04-01,2010-03-31,2011-05-27 16:22:39+00:00,-284393000.0,,,,44997000.0,,9479000.0,72607000.0,2215000.0,51000000.0,-125251000.0,-238755000.0,226312000.0,-125251000.0,-238755000.0,226312000.0,-128215000.0,140806000.0,140806000.0,-32098000.0,5475000.0,-9778000.0,,-9576000.0,-51000000.0,-132941000.0,,64992000.0
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q3,2009-10-01,2009-12-31,,-284393000.0,,,,11592000.0,,-421000.0,-5977000.0,572000.0,42000000.0,11377000.0,-289436000.0,33367000.0,11377000.0,-289436000.0,33367000.0,-245113000.0,24412000.0,24412000.0,3340000.0,1155000.0,,,-5043000.0,-7000000.0,-25350000.0,,
Ocean Thermal Energy Corp,CPWR,,859014,2010.0,Q1,2009-04-01,2009-06-30,2010-08-06 12:08:40+00:00,,,,,10378000.0,,8479000.0,59322000.0,579000.0,,-30098000.0,59284000.0,74903000.0,-30098000.0,59284000.0,74903000.0,112568000.0,51047000.0,51047000.0,-45844000.0,1628000.0,,,-5708000.0,,-32305000.0,,64992000.0
Ocean Thermal Energy Corp,CPWR,,859014,2011.0,FY,2011-01-01,2011-12-31,2015-08-31 13:04:53+00:00,,,0.0,68367.0,15335.0,,,137901.0,,125000.0,91769.0,,-138167.0,91769.0,,-138167.0,-46398.0,,,-291403.0,,,,,-33231.0,,,
Ocean Thermal Energy Corp,CPWR,,859014,2011.0,Q3YTD,2011-01-01,2011-09-30,2015-08-31 12:59:11+00:00,,,0.0,45827.0,11539.0,,,129856.0,,100000.0,71770.0,,-104274.0,71770.0,,-104274.0,-32504.0,,,-245669.0,,,,,-28230.0,,,
