company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,notereceivable,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,restrictedcash,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2008.0,FY,,2008-12-31,2010-02-26 14:05:08+00:00,2138000000.0,3525000000.0,-524000000.0,3691000000.0,,53234000000.0,391000000.0,,0.0,22886000000.0,20992000000.0,4241000000.0,528000000.0,22373000000.0,,7184000000.0,3361000000.0,,408000000.0,4178000000.0,643000000.0,,-30856000000.0,618000000.0,28000000.0,58550000000.0,19915000000.0,8642000000.0,6281000000.0,19915000000.0,19915000000.0,38635000000.0,58550000000.0,27535000000.0,32354000000.0,-1939000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2009.0,FY,,2009-12-31,2011-02-24 10:39:51+00:00,2267000000.0,3750000000.0,-352000000.0,3819000000.0,,52808000000.0,295000000.0,,373000000.0,23089000000.0,20293000000.0,4624000000.0,628000000.0,18280000000.0,,6693000000.0,2996000000.0,,465000000.0,3558000000.0,750000000.0,,-33779000000.0,768000000.0,105000000.0,55424000000.0,18095000000.0,8593000000.0,6785000000.0,18095000000.0,18095000000.0,37329000000.0,55424000000.0,28551000000.0,30544000000.0,-582000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2009.0,Q3,,2009-09-30,2009-11-06 14:47:35+00:00,2161000000.0,3422000000.0,-488000000.0,5384000000.0,,52957000000.0,98000000.0,,,22097000000.0,20892000000.0,3732000000.0,485000000.0,19100000000.0,,6385000000.0,3155000000.0,,460000000.0,3789000000.0,578000000.0,,-33067000000.0,765000000.0,559000000.0,55648000000.0,18234000000.0,10259000000.0,6348000000.0,18234000000.0,18234000000.0,37414000000.0,55648000000.0,26289000000.0,31066000000.0,-1168000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2009.0,Q2,,2009-06-30,2009-08-04 15:55:36+00:00,2061000000.0,3479000000.0,-494000000.0,4592000000.0,0.0,52967000000.0,98000000.0,,,22304000000.0,19618000000.0,3882000000.0,575000000.0,20143000000.0,,6613000000.0,3202000000.0,,458000000.0,4023000000.0,614000000.0,,-32473000000.0,1373000000.0,17000000.0,55885000000.0,18718000000.0,9098000000.0,6913000000.0,18718000000.0,18718000000.0,37167000000.0,55885000000.0,26644000000.0,30254000000.0,-1282000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2010.0,FY,,2010-12-31,2012-02-27 07:13:04+00:00,2662000000.0,3573000000.0,-502000000.0,5173000000.0,0.0,52857000000.0,185000000.0,,359000000.0,22345000000.0,18535000000.0,3389000000.0,670000000.0,15214000000.0,,6802000000.0,3036000000.0,,467000000.0,3880000000.0,516000000.0,,-37582000000.0,1656000000.0,300000000.0,51654000000.0,14546000000.0,9880000000.0,7891000000.0,14546000000.0,14546000000.0,37108000000.0,51654000000.0,26560000000.0,29217000000.0,-227000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2010.0,Q3,,2010-09-30,2010-11-05 09:06:54+00:00,2423000000.0,3366000000.0,-349000000.0,4666000000.0,,52844000000.0,215000000.0,,359000000.0,22402000000.0,18540000000.0,3823000000.0,562000000.0,15961000000.0,,6785000000.0,3042000000.0,,474000000.0,3788000000.0,770000000.0,,-36599000000.0,1758000000.0,,52274000000.0,15614000000.0,9255000000.0,7547000000.0,15614000000.0,15614000000.0,36660000000.0,52274000000.0,27058000000.0,29113000000.0,-282000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2010.0,Q2,,2010-06-30,2010-08-05 12:40:46+00:00,2494000000.0,3421000000.0,-359000000.0,4277000000.0,,52827000000.0,243000000.0,,359000000.0,22546000000.0,18543000000.0,4109000000.0,675000000.0,16771000000.0,,6719000000.0,2957000000.0,,486000000.0,3798000000.0,803000000.0,,-35642000000.0,1758000000.0,,53226000000.0,16493000000.0,8955000000.0,7673000000.0,16493000000.0,16493000000.0,36733000000.0,53226000000.0,27500000000.0,29060000000.0,-333000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2010.0,Q1,,2010-03-31,2010-05-05 16:39:46+00:00,2282000000.0,3384000000.0,-353000000.0,4373000000.0,,52823000000.0,273000000.0,,363000000.0,22799000000.0,18639000000.0,4416000000.0,526000000.0,17411000000.0,,6733000000.0,2893000000.0,,458000000.0,3586000000.0,769000000.0,,-34806000000.0,2415000000.0,1000000.0,54282000000.0,17243000000.0,8835000000.0,8081000000.0,17243000000.0,17243000000.0,37039000000.0,54282000000.0,28036000000.0,28958000000.0,-421000000.0
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2011.0,FY,,2011-12-31,2013-02-28 16:32:26+00:00,2348000000.0,4143000000.0,-792000000.0,5447000000.0,0.0,52708000000.0,130000000.0,,359000000.0,22069000000.0,20266000000.0,1996000000.0,913000000.0,14009000000.0,,6986000000.0,3206000000.0,,613000000.0,4205000000.0,491000000.0,,-40489000000.0,8000000.0,150000000.0,49383000000.0,11427000000.0,10337000000.0,6499000000.0,11427000000.0,11427000000.0,37956000000.0,49383000000.0,25037000000.0,31457000000.0,
Sprint Corp,S,549300ZTTY7CXOLJ6539,101830,2011.0,Q3,,2011-09-30,2011-11-03 15:03:19+00:00,2188000000.0,3237000000.0,-463000000.0,3761000000.0,0.0,52690000000.0,156000000.0,,359000000.0,22218000000.0,16272000000.0,2114000000.0,923000000.0,14168000000.0,,6911000000.0,3054000000.0,,506000000.0,4109000000.0,516000000.0,,-39186000000.0,2257000000.0,240000000.0,48015000000.0,13041000000.0,8650000000.0,7682000000.0,13041000000.0,13041000000.0,34974000000.0,48015000000.0,25197000000.0,27292000000.0,0.0
