company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Tyson Foods Inc,TSN,,100493,2008.0,FY,2007-09-30,2008-09-27,2010-11-22 07:59:49+00:00,0.22,0.22,0.14400000000000002,0.24,0.0,68000000.0,86000000.0,86000000.0,0.0,86000000.0,0.0,25616000000.0,26862000000.0,29000000.0,915000000.0,25616000000.0,1246000000.0,215000000.0,9000000.0,915000000.0,331000000.0,-177000000.0,154000000.0,26862000000.0,390900000.0,390900000.0,356000000.0
Tyson Foods Inc,TSN,,100493,2009.0,FY,2008-09-28,2009-10-03,2011-11-21 07:47:25+00:00,-1.32,-1.32,0.14400000000000002,-1.47,560000000.0,7000000.0,-551000000.0,-550000000.0,-1000000.0,-547000000.0,-4000000.0,25501000000.0,26704000000.0,-18000000.0,858000000.0,25501000000.0,1203000000.0,327000000.0,17000000.0,1418000000.0,-215000000.0,-328000000.0,-543000000.0,26704000000.0,414400000.0,414400000.0,372000000.0
Tyson Foods Inc,TSN,,100493,2009.0,Q3,2009-03-29,2009-06-27,2010-08-09 08:01:49+00:00,0.32,0.32,0.036000000000000004,0.35,,69000000.0,130000000.0,123000000.0,7000000.0,131000000.0,-1000000.0,6192000000.0,6662000000.0,3000000.0,194000000.0,6192000000.0,470000000.0,92000000.0,5000000.0,194000000.0,276000000.0,-84000000.0,192000000.0,6662000000.0,409400000.0,409400000.0,378000000.0
Tyson Foods Inc,TSN,,100493,2010.0,FY,2009-10-04,2010-10-02,2012-11-19 07:38:14+00:00,2.13,2.13,0.14400000000000002,2.06,29000000.0,438000000.0,765000000.0,765000000.0,,780000000.0,-15000000.0,25916000000.0,28430000000.0,-20000000.0,929000000.0,25916000000.0,2514000000.0,347000000.0,14000000.0,958000000.0,1556000000.0,-353000000.0,1203000000.0,28430000000.0,366200000.0,366200000.0,379000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q4,2010-07-04,2010-10-02,,0.74,0.74,0.04,0.57,29000000.0,115000000.0,208000000.0,208000000.0,,213000000.0,-5000000.0,6772000000.0,7441000000.0,-6000000.0,249000000.0,6772000000.0,669000000.0,65000000.0,3000000.0,278000000.0,391000000.0,-68000000.0,323000000.0,7441000000.0,366200000.0,366200000.0,379000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q3,2010-04-04,2010-07-03,2011-08-08 07:43:04+00:00,0.61,0.61,0.036000000000000004,0.65,,153000000.0,242000000.0,242000000.0,,248000000.0,-6000000.0,6686000000.0,7438000000.0,-14000000.0,245000000.0,6686000000.0,752000000.0,102000000.0,4000000.0,245000000.0,507000000.0,-112000000.0,395000000.0,7438000000.0,406600000.0,406600000.0,382000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q3YTD,2009-10-04,2010-07-03,,1.39,1.39,0.11,1.49,,323000000.0,557000000.0,557000000.0,,567000000.0,-10000000.0,19144000000.0,20989000000.0,-14000000.0,680000000.0,19144000000.0,1845000000.0,282000000.0,11000000.0,680000000.0,1165000000.0,-285000000.0,880000000.0,20989000000.0,406600000.0,406600000.0,382000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q2YTD,2009-10-04,2010-04-03,,0.78,0.78,0.07,0.84,,170000000.0,315000000.0,315000000.0,,319000000.0,-4000000.0,12458000000.0,13551000000.0,,435000000.0,12458000000.0,1093000000.0,180000000.0,7000000.0,435000000.0,658000000.0,-173000000.0,485000000.0,13551000000.0,407700000.0,407700000.0,378000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q2,2010-01-03,2010-04-03,2011-05-09 07:46:22+00:00,0.39,0.39,0.036000000000000004,0.42,,93000000.0,156000000.0,156000000.0,,159000000.0,-3000000.0,6352000000.0,6916000000.0,1000000.0,220000000.0,6352000000.0,564000000.0,100000000.0,4000000.0,220000000.0,344000000.0,-95000000.0,249000000.0,6916000000.0,407700000.0,407700000.0,378000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q1,2009-10-04,2010-01-02,2011-02-04 11:26:12+00:00,0.39,0.39,0.036000000000000004,0.42,,77000000.0,159000000.0,159000000.0,,160000000.0,-1000000.0,6106000000.0,6635000000.0,-1000000.0,215000000.0,6106000000.0,529000000.0,80000000.0,3000000.0,215000000.0,314000000.0,-78000000.0,236000000.0,6635000000.0,410300000.0,410300000.0,377000000.0
