company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Tyson Foods Inc,TSN,,100493,2008.0,FY,2007-09-30,2008-09-27,2010-11-22 07:59:49+00:00,-17000000.0,25000000.0,468000000.0,0.0,-2000000.0,-307000000.0,318000000.0,476000000.0,254000000.0,-399000000.0,355000000.0,254000000.0,-399000000.0,355000000.0,208000000.0,86000000.0,86000000.0,83000000.0,-94000000.0,46000000.0,-56000000.0,-115000000.0,-425000000.0,-360000000.0,-30000000.0,112000000.0
Tyson Foods Inc,TSN,,100493,2009.0,Q4,2009-06-28,2009-10-03,,-22000000.0,68000000.0,62000000.0,,-9000000.0,37000000.0,,13000000.0,21000000.0,-129000000.0,276000000.0,21000000.0,-129000000.0,276000000.0,159000000.0,-458000000.0,-458000000.0,567000000.0,119000000.0,9000000.0,-16000000.0,-3000000.0,-120000000.0,-87000000.0,-8000000.0,7000000.0
Tyson Foods Inc,TSN,,100493,2009.0,FY,2008-09-28,2009-10-03,2011-11-21 07:47:25+00:00,-93000000.0,68000000.0,445000000.0,75000000.0,6000000.0,334000000.0,,873000000.0,215000000.0,-427000000.0,960000000.0,215000000.0,-427000000.0,960000000.0,754000000.0,-551000000.0,-551000000.0,664000000.0,,-60000000.0,-60000000.0,-37000000.0,-368000000.0,-579000000.0,-19000000.0,56000000.0
Tyson Foods Inc,TSN,,100493,2009.0,Q3YTD,2008-09-28,2009-06-27,2010-08-09 08:01:49+00:00,-71000000.0,,383000000.0,75000000.0,15000000.0,297000000.0,,860000000.0,194000000.0,-298000000.0,684000000.0,194000000.0,-298000000.0,684000000.0,595000000.0,-93000000.0,-93000000.0,97000000.0,-119000000.0,-69000000.0,-44000000.0,-34000000.0,-248000000.0,-492000000.0,-11000000.0,49000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q4,2010-07-04,2010-10-02,,,81000000.0,44000000.0,,,-9000000.0,,-7000000.0,-69000000.0,-136000000.0,349000000.0,-69000000.0,-136000000.0,349000000.0,144000000.0,208000000.0,208000000.0,25000000.0,,9000000.0,-15000000.0,-14000000.0,-146000000.0,-41000000.0,-6000000.0,15000000.0
Tyson Foods Inc,TSN,,100493,2010.0,FY,2009-10-04,2010-10-02,2012-11-19 07:38:14+00:00,,81000000.0,416000000.0,,1000000.0,29000000.0,,182000000.0,-959000000.0,-500000000.0,1432000000.0,-959000000.0,-500000000.0,1432000000.0,-26000000.0,765000000.0,765000000.0,141000000.0,,54000000.0,-59000000.0,-53000000.0,-550000000.0,-1034000000.0,-48000000.0,49000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q3YTD,2009-10-04,2010-07-03,2011-08-08 07:43:04+00:00,,,372000000.0,,1000000.0,38000000.0,,189000000.0,-890000000.0,-364000000.0,1083000000.0,-890000000.0,-364000000.0,1083000000.0,-170000000.0,557000000.0,557000000.0,116000000.0,,45000000.0,-44000000.0,-39000000.0,-404000000.0,-993000000.0,-42000000.0,34000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q3TTM,2009-06-28,2010-07-03,,-22000000.0,68000000.0,434000000.0,,-8000000.0,75000000.0,,202000000.0,-869000000.0,-493000000.0,1359000000.0,-869000000.0,-493000000.0,1359000000.0,-11000000.0,99000000.0,99000000.0,683000000.0,119000000.0,54000000.0,-60000000.0,-42000000.0,-524000000.0,-1080000000.0,-50000000.0,41000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q3,2010-04-04,2010-07-03,,,,125000000.0,,6000000.0,161000000.0,,19000000.0,-444000000.0,-137000000.0,597000000.0,-444000000.0,-137000000.0,597000000.0,22000000.0,242000000.0,242000000.0,69000000.0,,4000000.0,-14000000.0,-13000000.0,-140000000.0,-438000000.0,-11000000.0,12000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q2,2010-01-03,2010-04-03,,,,124000000.0,,-10000000.0,-383000000.0,,158000000.0,-350000000.0,-131000000.0,-61000000.0,-350000000.0,-131000000.0,-61000000.0,-552000000.0,156000000.0,156000000.0,42000000.0,,23000000.0,-15000000.0,-16000000.0,-151000000.0,-479000000.0,-14000000.0,13000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q2YTD,2009-10-04,2010-04-03,2011-05-09 07:46:22+00:00,,,247000000.0,,-5000000.0,-123000000.0,,170000000.0,-446000000.0,-227000000.0,486000000.0,-446000000.0,-227000000.0,486000000.0,-192000000.0,315000000.0,315000000.0,47000000.0,,41000000.0,-30000000.0,-26000000.0,-264000000.0,-555000000.0,-31000000.0,22000000.0
Tyson Foods Inc,TSN,,100493,2010.0,Q1,2009-10-04,2010-01-02,2011-02-04 11:26:12+00:00,,,123000000.0,,5000000.0,260000000.0,,12000000.0,-96000000.0,-96000000.0,547000000.0,-96000000.0,-96000000.0,547000000.0,360000000.0,159000000.0,159000000.0,5000000.0,,18000000.0,-15000000.0,-10000000.0,-113000000.0,-76000000.0,-17000000.0,9000000.0
