company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cooper Industries plc,CBE,,1141982,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 15:33:58+00:00,3.8,3.8,0.84,3.73,133900000.0,692300000.0,692300000.0,0.0,692300000.0,3970000000.0,5903100000.0,33100000.0,0.0,1089000000.0,3970000000.0,1933100000.0,51000000.0,,1089000000.0,844100000.0,-17900000.0,826200000.0,5903100000.0,182200000.0,182200000.0,185600000.0
Cooper Industries plc,CBE,,1141982,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 17:10:07+00:00,3.64,3.64,1.0,3.6,191600000.0,632200000.0,615600000.0,16600000.0,632200000.0,4396700000.0,6521300000.0,,52400000.0,1194600000.0,4396700000.0,2124600000.0,70400000.0,,1247000000.0,877600000.0,-70400000.0,807200000.0,6521300000.0,173655000.0,173655000.0,173655000.0
Cooper Industries plc,CBE,,1141982,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 16:25:13+00:00,1.19,1.19,0.25,1.17,43400000.0,205800000.0,189200000.0,16600000.0,205800000.0,1170000000.0,1727700000.0,,0.0,307800000.0,1170000000.0,557700000.0,17300000.0,,307800000.0,249900000.0,-17300000.0,232600000.0,1727700000.0,172900000.0,172900000.0,175900000.0
Cooper Industries plc,CBE,,1141982,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 12:21:12+00:00,0.93,0.93,0.25,0.92,66200000.0,161900000.0,161900000.0,0.0,161900000.0,1155900000.0,1724300000.0,,7600000.0,314400000.0,1155900000.0,568400000.0,18300000.0,,322000000.0,246400000.0,-18300000.0,228100000.0,1724300000.0,174100000.0,174100000.0,176000000.0
Cooper Industries plc,CBE,,1141982,2009.0,Q4,2009-10-01,2009-12-31,,0.77,0.77,0.25,0.77,17700000.0,128800000.0,128800000.0,,128800000.0,837500000.0,1256600000.0,,4200000.0,254400000.0,837500000.0,419100000.0,14000000.0,,258600000.0,160500000.0,-14000000.0,146500000.0,1256600000.0,167228000.0,167228000.0,167228000.0
Cooper Industries plc,CBE,,1141982,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 17:20:59+00:00,2.62,2.62,1.0,2.61,69100000.0,439100000.0,413600000.0,25500000.0,439100000.0,3483800000.0,5069600000.0,,29900000.0,1011800000.0,3483800000.0,1585800000.0,61400000.0,,1041700000.0,544100000.0,-61400000.0,482700000.0,5069600000.0,167228000.0,167228000.0,167228000.0
Cooper Industries plc,CBE,,1141982,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.85,1.85,0.75,1.84,51400000.0,310300000.0,284800000.0,25500000.0,310300000.0,2646300000.0,3813000000.0,,25700000.0,757400000.0,2646300000.0,1166700000.0,47400000.0,,783100000.0,383600000.0,-47400000.0,336200000.0,3813000000.0,167100000.0,167100000.0,167100000.0
Cooper Industries plc,CBE,,1141982,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 13:29:00+00:00,0.72,0.72,0.25,0.72,22100000.0,120900000.0,114300000.0,6600000.0,120900000.0,876500000.0,1286400000.0,,6500000.0,251100000.0,876500000.0,409900000.0,15900000.0,,257600000.0,152300000.0,-15900000.0,136400000.0,1286400000.0,167100000.0,167100000.0,167100000.0
Cooper Industries plc,CBE,,1141982,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.13,1.13,0.5,1.12,29300000.0,189400000.0,170500000.0,18900000.0,189400000.0,1769800000.0,2526600000.0,,19200000.0,506300000.0,1769800000.0,756800000.0,31500000.0,,525500000.0,231300000.0,-31500000.0,199800000.0,2526600000.0,166900000.0,166900000.0,166900000.0
Cooper Industries plc,CBE,,1141982,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 10:49:48+00:00,0.53,0.53,0.25,0.53,19400000.0,89300000.0,89300000.0,0.0,89300000.0,885000000.0,1269800000.0,,10400000.0,249400000.0,885000000.0,384800000.0,16300000.0,,259800000.0,125000000.0,-16300000.0,108700000.0,1269800000.0,166900000.0,166900000.0,166900000.0
