company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2008.0,FY,2008-01-01,2008-12-31,2011-03-04 10:31:20+00:00,,20000000.0,742000000.0,1266000000.0,2441000000.0,-1592000000.0,192000000.0,3132000000.0,1716000000.0,1598000000.0,-1707000000.0,,1716000000.0,1598000000.0,-1707000000.0,1607000000.0,-8922000000.0,-8922000000.0,7521000000.0,,617000000.0,,-92000000.0,-1522000000.0,-1608000000.0,,,154000000.0
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2009.0,FY,2009-01-01,2009-12-31,2012-02-10 17:28:19+00:00,,370000000.0,867000000.0,1536000000.0,,360000000.0,,2966000000.0,-19000000.0,-1008000000.0,1379000000.0,,-19000000.0,-1008000000.0,1379000000.0,352000000.0,-1237000000.0,-1237000000.0,350000000.0,0.0,-62000000.0,,0.0,-1202000000.0,-2985000000.0,,256000000.0,
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-25 14:10:56+00:00,,,,,0.0,,,2472000000.0,338000000.0,-649000000.0,,,338000000.0,-649000000.0,1452000000.0,1141000000.0,,,,,0.0,,-124000000.0,-732000000.0,-2134000000.0,,121000000.0,86000000.0
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2009.0,Q3,2009-07-01,2009-09-30,,,,,,,,,2082000000.0,815000000.0,-245000000.0,,,815000000.0,-245000000.0,-25000000.0,545000000.0,,,,,,,-124000000.0,-121000000.0,-1267000000.0,,-10000000.0,10000000.0
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-30 18:49:34+00:00,,,,,,,,390000000.0,-477000000.0,-404000000.0,,,-477000000.0,-404000000.0,1477000000.0,596000000.0,,,,,0.0,,0.0,-611000000.0,-867000000.0,,131000000.0,76000000.0
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2010.0,Q4,2010-10-01,2010-12-31,,,0.0,1036000000.0,0.0,,0.0,,997000000.0,-193000000.0,-669000000.0,318000000.0,,-193000000.0,-669000000.0,318000000.0,-544000000.0,593000000.0,593000000.0,-275000000.0,,-33000000.0,,-364000000.0,-421000000.0,-1190000000.0,,149000000.0,
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2010.0,FY,2010-01-01,2010-12-31,2013-02-12 20:16:22+00:00,,216000000.0,1036000000.0,1511000000.0,,287000000.0,,1220000000.0,-2521000000.0,-2026000000.0,2832000000.0,,-2521000000.0,-2026000000.0,2832000000.0,-1715000000.0,593000000.0,593000000.0,225000000.0,,-18000000.0,,-815000000.0,-1342000000.0,-3741000000.0,,149000000.0,
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-25 16:57:11+00:00,,,,,,,,223000000.0,-2328000000.0,-1357000000.0,,,-2328000000.0,-1357000000.0,2514000000.0,-1171000000.0,,,,0.0,15000000.0,,-451000000.0,-921000000.0,-2551000000.0,,0.0,
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2010.0,Q3,2010-07-01,2010-09-30,,,,,,,,,219000000.0,-710000000.0,-802000000.0,,,-710000000.0,-802000000.0,514000000.0,-998000000.0,,,,,21000000.0,,-353000000.0,-397000000.0,-929000000.0,,-73000000.0,
Delta Air Lines Inc,DAL,Q2CCMS6R0AS67HJMBN42,27904,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-07-27 16:24:50+00:00,,,,,,,,4000000.0,-1618000000.0,-555000000.0,,,-1618000000.0,-555000000.0,2000000000.0,-173000000.0,,,,0.0,-6000000.0,,-98000000.0,-524000000.0,-1622000000.0,,73000000.0,0.0
