company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Transocean Ltd,RIG,,1451505,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 16:37:48+00:00,14.58,14.58,499000000.0,14.08,0.0,253000000.0,3121000000.0,3121000000.0,,3121000000.0,0.0,2781000000.0,6377000000.0,,,295000000.0,,,-284000000.0,142000000.0,2781000000.0,3596000000.0,190000000.0,30000000.0,357000000.0,3239000000.0,135000000.0,3374000000.0,6377000000.0,214100000.0,214000000.0,222000000.0
Transocean Ltd,RIG,,1451505,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 12:10:27+00:00,12.63,12.63,1436000000.0,12.53,320000000.0,743000000.0,4029000000.0,4029000000.0,,4031000000.0,-2000000.0,5355000000.0,12674000000.0,,,26000000.0,,,7000000.0,199000000.0,5355000000.0,7319000000.0,643000000.0,32000000.0,1962000000.0,5357000000.0,-585000000.0,4772000000.0,12674000000.0,319200000.0,318000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 11:09:29+00:00,3.32,3.32,336000000.0,3.3,0.0,175000000.0,1060000000.0,1060000000.0,,1063000000.0,-3000000.0,,2842000000.0,,,-12000000.0,1426000000.0,350000000.0,1000000.0,46000000.0,,3192000000.0,143000000.0,7000000.0,1809000000.0,1383000000.0,-148000000.0,1235000000.0,3192000000.0,320200000.0,319000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2008.0,Q2,2008-04-01,2008-06-30,2009-08-14 17:25:21+00:00,3.34,3.34,337000000.0,3.31,0.0,140000000.0,1064000000.0,1064000000.0,,1065000000.0,-1000000.0,1364000000.0,2786000000.0,,,-2000000.0,,316000000.0,6000000.0,45000000.0,1364000000.0,1738000000.0,154000000.0,10000000.0,388000000.0,1350000000.0,-146000000.0,1204000000.0,3102000000.0,318900000.0,318000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2009.0,Q4,2009-10-01,2009-12-31,,2.26,2.26,351000000.0,2.26,,150000000.0,717000000.0,743000000.0,-26000000.0,723000000.0,-6000000.0,3789000000.0,3143000000.0,,,30000000.0,-2567000000.0,-525000000.0,6000000.0,46000000.0,3789000000.0,-1171000000.0,133000000.0,3000000.0,-2164000000.0,993000000.0,-100000000.0,893000000.0,2618000000.0,322300000.0,320000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 06:25:46+00:00,9.87,9.87,1433000000.0,9.84,334000000.0,723000000.0,3170000000.0,3196000000.0,-26000000.0,3181000000.0,-11000000.0,5066000000.0,11441000000.0,,,37000000.0,,,9000000.0,209000000.0,5066000000.0,6375000000.0,513000000.0,5000000.0,1985000000.0,4390000000.0,-471000000.0,3919000000.0,11441000000.0,322300000.0,320000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2009.0,Q3YTD,2009-01-01,2009-09-30,,7.66,7.66,1082000000.0,7.66,334000000.0,573000000.0,2453000000.0,2453000000.0,,2458000000.0,-5000000.0,1277000000.0,8298000000.0,,,7000000.0,2567000000.0,525000000.0,3000000.0,163000000.0,1277000000.0,7546000000.0,380000000.0,2000000.0,4149000000.0,3397000000.0,-371000000.0,3026000000.0,8823000000.0,322700000.0,321000000.0,322000000.0
Transocean Ltd,RIG,,1451505,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:55:37+00:00,2.2,2.2,367000000.0,2.19,46000000.0,138000000.0,706000000.0,706000000.0,,710000000.0,-4000000.0,,2660000000.0,,,9000000.0,1396000000.0,163000000.0,3000000.0,54000000.0,,2823000000.0,122000000.0,0.0,1866000000.0,957000000.0,-113000000.0,844000000.0,2823000000.0,322700000.0,321000000.0,322000000.0
Transocean Ltd,RIG,,1451505,2009.0,Q2,2009-04-01,2009-06-30,2009-08-14 17:25:21+00:00,2.5,2.5,360000000.0,2.49,67000000.0,184000000.0,808000000.0,808000000.0,,806000000.0,2000000.0,1277000000.0,2700000000.0,,,-8000000.0,,182000000.0,4000000.0,53000000.0,1277000000.0,1605000000.0,122000000.0,1000000.0,484000000.0,1121000000.0,-129000000.0,992000000.0,2882000000.0,322400000.0,320000000.0,321000000.0
Transocean Ltd,RIG,,1451505,2009.0,Q2YTD,2009-01-01,2009-06-30,,5.46,5.46,715000000.0,5.46,288000000.0,435000000.0,1747000000.0,1747000000.0,,1748000000.0,-1000000.0,1277000000.0,5638000000.0,,,-2000000.0,1171000000.0,362000000.0,,109000000.0,1277000000.0,4723000000.0,258000000.0,2000000.0,2283000000.0,2440000000.0,-258000000.0,2182000000.0,6000000000.0,322400000.0,320000000.0,321000000.0
