company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinterestpayable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,intangibleassets,longtermdebt,netpremisesandequipment,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2013.0,FY,,2013-12-31,2015-03-09 16:12:21+00:00,31545000.0,,100952000.0,0.0,70449000.0,418000.0,,11504000.0,8560000.0,57379000.0,-13000.0,36548000.0,24364000.0,-7939000.0,851000.0,167309000.0,62497000.0,62497000.0,62497000.0,104812000.0,167309000.0,0.0,
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2013.0,Q3,,2013-09-30,2013-11-22 16:00:27+00:00,12103000.0,,28679000.0,,2910000.0,384000.0,,,13385000.0,18340000.0,-13000.0,14437000.0,30564000.0,777000.0,,60788000.0,3674000.0,3684000.0,3684000.0,57104000.0,60788000.0,,
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2014.0,FY,,2014-12-31,2016-03-15 06:09:58+00:00,28932000.0,159000.0,149159000.0,0.0,75062000.0,,,10610000.0,7693000.0,62000000.0,-4000.0,38981000.0,37378000.0,41592000.0,894000.0,233604000.0,116809000.0,116809000.0,116809000.0,116795000.0,233604000.0,0.0,14752000.0
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2014.0,Q3,,2014-09-30,2014-11-10 10:02:19+00:00,22111000.0,60000.0,134010000.0,,74564000.0,419000.0,,10610000.0,11896000.0,53896000.0,-4000.0,35051000.0,31773000.0,25162000.0,894000.0,200221000.0,99782000.0,99782000.0,99782000.0,100439000.0,200221000.0,0.0,
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2014.0,Q2,,2014-06-30,2014-08-13 18:48:16+00:00,19954000.0,3000.0,104613000.0,,73147000.0,422000.0,,10610000.0,12497000.0,54584000.0,-9000.0,35818000.0,20060000.0,11639000.0,894000.0,172116000.0,84780000.0,84780000.0,84780000.0,87336000.0,172116000.0,0.0,
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2014.0,Q1,,2014-03-31,2014-05-14 20:46:54+00:00,14654000.0,42000.0,83298000.0,,71166000.0,410000.0,,11464000.0,12938000.0,49516000.0,-13000.0,33042000.0,16073000.0,-1157000.0,891000.0,146162000.0,70038000.0,70038000.0,70038000.0,76124000.0,146162000.0,0.0,
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2015.0,FY,,2015-12-31,2017-03-16 06:23:09+00:00,,457000.0,96185000.0,0.0,80595000.0,,,9671000.0,11579000.0,79206000.0,-4000.0,47553000.0,74072000.0,107942000.0,939000.0,321225000.0,188990000.0,188990000.0,188990000.0,132235000.0,321225000.0,0.0,134255000.0
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2015.0,Q3,,2015-09-30,2015-11-06 17:38:40+00:00,30915000.0,271000.0,67632000.0,,82092000.0,366000.0,,9671000.0,9725000.0,71738000.0,-4000.0,41988000.0,30364000.0,87993000.0,939000.0,284229000.0,170352000.0,170352000.0,170352000.0,113877000.0,284229000.0,0.0,134768000.0
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2015.0,Q2,,2015-06-30,2015-08-07 17:34:36+00:00,31509000.0,-19000.0,84198000.0,,79939000.0,305000.0,,9671000.0,8593000.0,64672000.0,-4000.0,39884000.0,25896000.0,72817000.0,939000.0,260632000.0,152733000.0,152733000.0,152733000.0,107899000.0,260632000.0,0.0,102864000.0
Marcus & Millichap Inc,MMI,549300B2HE8ULXNB1N48,1578732,2015.0,Q1,,2015-03-31,2015-05-08 19:31:04+00:00,17640000.0,520000.0,124060000.0,,76683000.0,218000.0,,10610000.0,8038000.0,59682000.0,-4000.0,36380000.0,19345000.0,55261000.0,894000.0,217329000.0,132460000.0,132460000.0,132460000.0,84869000.0,217329000.0,0.0,25331000.0
