company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
Graham Holdings Co,GHC,,104889,2008.0,FY,2007-12-31,2008-12-28,2011-03-02 15:13:02+00:00,-90681000.0,22525000.0,78600000.0,25400000.0,265606000.0,,-18970000.0,-51252000.0,,65330000.0,-117655000.0,-330099000.0,536065000.0,-117655000.0,-330099000.0,536065000.0,69341000.0,65796000.0,65796000.0,233390000.0,,-192000.0,-82161000.0,-68202000.0,-288923000.0,-1864000.0,-98960000.0,,114393000.0,3506000.0
Graham Holdings Co,GHC,,104889,2009.0,Q4,2009-09-28,2010-01-03,,-17999000.0,6036000.0,58900000.0,26600000.0,64220000.0,-4667000.0,1306000.0,-9744000.0,,-1485000.0,-81591000.0,-92033000.0,147749000.0,-81591000.0,-92033000.0,147749000.0,-24569000.0,82249000.0,82249000.0,4988000.0,,8251000.0,-20440000.0,585000.0,-74722000.0,-81000.0,-59585000.0,,,-3481000.0
Graham Holdings Co,GHC,,104889,2009.0,FY,2008-12-29,2010-01-03,2012-02-29 15:09:49+00:00,-26133000.0,26642000.0,58900000.0,26600000.0,295871000.0,,8573000.0,121342000.0,,400304000.0,-293275000.0,-281127000.0,651386000.0,-293275000.0,-281127000.0,651386000.0,85557000.0,91200000.0,91200000.0,116331000.0,,13284000.0,-81772000.0,-10520000.0,-257758000.0,-550851000.0,-60956000.0,,,
Graham Holdings Co,GHC,,104889,2009.0,Q3,2009-06-29,2009-09-27,,-3005000.0,6767000.0,,,70094000.0,,1225000.0,73284000.0,,2554000.0,-17915000.0,-53171000.0,221208000.0,-17915000.0,-53171000.0,221208000.0,151347000.0,17066000.0,17066000.0,53997000.0,,835000.0,-20440000.0,-127000.0,-50978000.0,-29000.0,,,,104000.0
Graham Holdings Co,GHC,,104889,2009.0,Q3YTD,2008-12-29,2009-09-27,2010-11-10 15:18:55+00:00,-8134000.0,20606000.0,,,231651000.0,4667000.0,7267000.0,131086000.0,,401789000.0,-211684000.0,-189094000.0,503637000.0,-211684000.0,-189094000.0,503637000.0,110126000.0,8951000.0,8951000.0,111343000.0,,5033000.0,-61332000.0,-11105000.0,-183036000.0,-550770000.0,-1371000.0,,,3481000.0
Graham Holdings Co,GHC,,104889,2009.0,Q2YTD,2008-12-29,2009-06-28,2010-08-11 16:54:49+00:00,-5129000.0,13839000.0,,,161557000.0,4667000.0,6042000.0,57802000.0,,399235000.0,-193769000.0,-135923000.0,282429000.0,-193769000.0,-135923000.0,282429000.0,-41221000.0,-8115000.0,-8115000.0,57346000.0,,4198000.0,-40892000.0,-10978000.0,-132058000.0,-550741000.0,-1371000.0,,,3377000.0
Graham Holdings Co,GHC,,104889,2010.0,Q4,2010-10-04,2011-01-02,,-9719000.0,6550000.0,213000000.0,30500000.0,252457000.0,-23064000.0,712000.0,662000.0,,-25216000.0,-176480000.0,-79502000.0,150249000.0,-176480000.0,-79502000.0,150249000.0,-105021000.0,78989000.0,78989000.0,-188409000.0,,54550000.0,-19235000.0,-1306000.0,-84545000.0,-4266000.0,-127763000.0,,,-15418000.0
Graham Holdings Co,GHC,,104889,2010.0,FY,2010-01-04,2011-01-02,2013-02-28 11:01:10+00:00,-13345000.0,27191000.0,213000000.0,30500000.0,252457000.0,,2509000.0,67733000.0,,0.0,-491172000.0,-209872000.0,693716000.0,-491172000.0,-209872000.0,693716000.0,-4819000.0,278020000.0,278020000.0,68315000.0,,55255000.0,-82090000.0,-8070000.0,-243712000.0,-4266000.0,-404816000.0,,,
Graham Holdings Co,GHC,,104889,2010.0,Q3TTM,2009-09-28,2010-10-03,,-21625000.0,26677000.0,58900000.0,26600000.0,64220000.0,18397000.0,3103000.0,57327000.0,,23731000.0,-396283000.0,-222403000.0,691216000.0,-396283000.0,-222403000.0,691216000.0,75633000.0,281280000.0,281280000.0,261712000.0,,8956000.0,-83295000.0,-6179000.0,-233889000.0,-81000.0,-336638000.0,,,11937000.0
Graham Holdings Co,GHC,,104889,2010.0,Q3,2010-07-05,2010-10-03,,,6521000.0,,,-125633000.0,-112000.0,7015000.0,65820000.0,,15623000.0,-238806000.0,-75510000.0,226149000.0,-238806000.0,-75510000.0,226149000.0,-81152000.0,61076000.0,61076000.0,218365000.0,,-76000.0,-20858000.0,-4065000.0,-74332000.0,,-233571000.0,,,3075000.0
