company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otherspecialcharges,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 14:58:49+00:00,3.31,3.31,1.65,364100000.0,3.29,537000000.0,1227300000.0,1227300000.0,1227300000.0,11917300000.0,15221700000.0,41000000.0,18600000.0,0.0,255500000.0,602300000.0,11958300000.0,3263400000.0,391200000.0,95400000.0,1221900000.0,2041500000.0,-277200000.0,1764300000.0,15221700000.0,370800000.0,371100000.0,373300000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 13:49:29+00:00,2.79,2.79,,441500000.0,2.78,446100000.0,1017900000.0,1017900000.0,1017900000.0,11736900000.0,14972500000.0,99200000.0,1800000.0,0.0,341800000.0,581400000.0,11836100000.0,3136400000.0,394100000.0,84600000.0,1364700000.0,1771700000.0,-307700000.0,1464000000.0,14972500000.0,364800000.0,364200000.0,365900000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2008.0,Q3,2008-07-01,2008-09-30,2009-11-05 14:05:32+00:00,0.82,0.82,0.18,113100000.0,0.82,129600000.0,299000000.0,299000000.0,299000000.0,3113500000.0,4004900000.0,34200000.0,-300000.0,,88100000.0,147200000.0,3147700000.0,857200000.0,102100000.0,22200000.0,348400000.0,508800000.0,-80200000.0,428600000.0,4004900000.0,364600000.0,363000000.0,364800000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2008.0,Q2,2008-04-01,2008-06-30,2009-08-28 11:47:25+00:00,0.86,0.86,0.18,112500000.0,0.86,132500000.0,313500000.0,313500000.0,313500000.0,3202200000.0,4112500000.0,24400000.0,3100000.0,,90700000.0,157500000.0,3226600000.0,885900000.0,104900000.0,22600000.0,360700000.0,525200000.0,-79200000.0,446000000.0,4112500000.0,364500000.0,364500000.0,366500000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 06:12:25+00:00,0.31,0.31,,456100000.0,0.31,63100000.0,111900000.0,111900000.0,111900000.0,6483400000.0,8086500000.0,90800000.0,-43600000.0,-66000000.0,199200000.0,434900000.0,6574200000.0,1512300000.0,291800000.0,22300000.0,1024200000.0,488100000.0,-313100000.0,175000000.0,8086500000.0,361000000.0,363800000.0,364900000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q4,2009-10-01,2009-12-31,,0.13,0.13,0.09,125600000.0,0.13,47600000.0,46100000.0,46100000.0,46100000.0,1783000000.0,2240400000.0,10100000.0,-4800000.0,,50700000.0,116200000.0,1793100000.0,447300000.0,60800000.0,4500000.0,292500000.0,154800000.0,-61100000.0,93700000.0,2240400000.0,361000000.0,363800000.0,364900000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q3YTD,2009-01-01,2009-09-30,,0.18,0.18,0.55,330500000.0,0.18,15500000.0,65800000.0,65800000.0,65800000.0,4700400000.0,5846100000.0,80700000.0,-38800000.0,-66000000.0,148500000.0,318700000.0,4781100000.0,1065000000.0,231000000.0,17800000.0,731700000.0,333300000.0,-252000000.0,81300000.0,5846100000.0,325000000.0,363800000.0,365000000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 13:50:45+00:00,0.04,0.04,0.09,120000000.0,0.04,3800000.0,13000000.0,13000000.0,13000000.0,1646500000.0,2011000000.0,26600000.0,-5700000.0,-18300000.0,43400000.0,108500000.0,1673100000.0,337900000.0,66700000.0,4900000.0,253600000.0,84300000.0,-67500000.0,16800000.0,2011000000.0,325000000.0,363800000.0,365000000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q2YTD,2009-01-01,2009-06-30,,0.15,0.15,0.46,210500000.0,0.15,11700000.0,52800000.0,52800000.0,52800000.0,3053900000.0,3835100000.0,54100000.0,-33100000.0,-47700000.0,105100000.0,210200000.0,3108000000.0,727100000.0,164300000.0,12900000.0,478100000.0,249000000.0,-184500000.0,64500000.0,3835100000.0,378600000.0,363400000.0,364400000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 16:12:30+00:00,0.07,0.07,0.18,107600000.0,0.07,1400000.0,26500000.0,26500000.0,26500000.0,1492800000.0,1848900000.0,29100000.0,-17800000.0,-47700000.0,52800000.0,100500000.0,1521900000.0,327000000.0,73000000.0,4900000.0,213200000.0,113800000.0,-85900000.0,27900000.0,1848900000.0,378600000.0,363400000.0,364400000.0
