company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commonequity,currentdeferredrevenue,currentdeferredtaxassets,dividendspayable,grossppe,longtermdebt,netinventory,netppe,noncurrentdeferredrevenue,noncurrentdeferredtaxliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2008.0,FY,,2008-12-31,2010-02-26 14:58:49+00:00,2041500000.0,698700000.0,-269800000.0,1955200000.0,409200000.0,,,36300000.0,3742900000.0,3908600000.0,658100000.0,3742900000.0,470800000.0,733100000.0,8036400000.0,,211700000.0,,,771400000.0,636600000.0,4724700000.0,3576200000.0,175400000.0,16249800000.0,4846700000.0,3699100000.0,5654000000.0,4846700000.0,4846700000.0,11403100000.0,16249800000.0,8807800000.0,5749100000.0,0.0,-17400000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q3,,2009-09-30,2009-11-05 14:05:32+00:00,1764400000.0,655400000.0,-7900000.0,1799200000.0,431000000.0,,256500000.0,0.0,3674100000.0,3113800000.0,629000000.0,3674100000.0,526200000.0,1103600000.0,6811300000.0,,,,,731600000.0,,4627200000.0,3256500000.0,240300000.0,14797400000.0,5032900000.0,3580400000.0,5020900000.0,5032900000.0,5032900000.0,9764500000.0,14797400000.0,7542900000.0,4743600000.0,0.0,-17400000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2009.0,Q2,,2009-06-30,2009-08-28 11:47:25+00:00,1700500000.0,671500000.0,-136400000.0,1869700000.0,423000000.0,,301700000.0,0.0,3588600000.0,3660500000.0,644600000.0,3588600000.0,520800000.0,1103400000.0,6995600000.0,,,,,685700000.0,,4646800000.0,3021300000.0,165100000.0,14922500000.0,4916000000.0,3652600000.0,4721800000.0,4916000000.0,4916000000.0,10006500000.0,14922500000.0,7681300000.0,5284700000.0,0.0,-17400000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2010.0,FY,,2010-12-31,2013-02-27 16:53:38+00:00,0.0,0.0,41300000.0,2040800000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,5316500000.0,0.0,-5357800000.0,0.0,0.0,0.0,2040800000.0,5357800000.0,2040800000.0,,5357800000.0,5357800000.0,-5357800000.0,0.0,,-5357800000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2010.0,Q3,,2010-09-30,2010-11-08 13:50:45+00:00,1862200000.0,642100000.0,38400000.0,2057200000.0,447700000.0,,,,3654500000.0,3181100000.0,512800000.0,3654500000.0,542300000.0,660500000.0,5907700000.0,,214900000.0,,,639400000.0,360600000.0,4829900000.0,2060800000.0,354900000.0,13983500000.0,5316000000.0,3781900000.0,3923000000.0,5316000000.0,5316000000.0,8667500000.0,13983500000.0,6547100000.0,4744500000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2010.0,Q2,,2010-06-30,2010-08-06 16:12:30+00:00,1745700000.0,640500000.0,-190900000.0,1898100000.0,442500000.0,,,,3486500000.0,3123600000.0,481400000.0,3486500000.0,500800000.0,643500000.0,5775600000.0,,222500000.0,,,622800000.0,340500000.0,4742800000.0,2073800000.0,294900000.0,13422300000.0,4994400000.0,3537400000.0,3819500000.0,4994400000.0,4994400000.0,8427900000.0,13422300000.0,6398400000.0,4608400000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2010.0,Q1,,2010-03-31,2010-05-05 12:25:44+00:00,1639500000.0,576400000.0,-18100000.0,1854700000.0,452100000.0,,,,3662100000.0,3011300000.0,545500000.0,3662100000.0,518500000.0,694700000.0,6195400000.0,,222200000.0,,,687000000.0,357700000.0,4676000000.0,2675700000.0,246700000.0,13990000000.0,5092600000.0,3445500000.0,4315200000.0,5092600000.0,5092600000.0,8897400000.0,13990000000.0,6882400000.0,4582200000.0,0.0,-17400000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2011.0,FY,,2011-12-31,2013-02-27 16:53:38+00:00,2740800000.0,977800000.0,-219000000.0,2106700000.0,408900000.0,0.0,,250300000.0,2389800000.0,2745500000.0,710400000.0,2389800000.0,712000000.0,942800000.0,7259700000.0,,249100000.0,,,2569100000.0,507000000.0,5174500000.0,3909900000.0,910100000.0,17172700000.0,5364400000.0,4954100000.0,6901000000.0,5364400000.0,5364400000.0,11808300000.0,17172700000.0,9828800000.0,4907300000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2011.0,Q3,,2011-09-30,2011-11-07 16:27:23+00:00,2857400000.0,1015200000.0,-31000000.0,1879600000.0,487300000.0,,,,4276500000.0,2763900000.0,725100000.0,4276500000.0,687900000.0,762800000.0,6652800000.0,,259300000.0,,,630100000.0,324900000.0,5407600000.0,3363500000.0,915700000.0,16354300000.0,5593900000.0,4794900000.0,6220900000.0,5593900000.0,5593900000.0,10760400000.0,16354300000.0,7282900000.0,4539500000.0,0.0,-270000000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2011.0,Q2,,2011-06-30,2011-08-08 16:34:37+00:00,2744700000.0,971400000.0,239400000.0,1872600000.0,483100000.0,,,,4240300000.0,2383500000.0,742700000.0,4240300000.0,716100000.0,703900000.0,6526600000.0,,266500000.0,,,627900000.0,339300000.0,5191500000.0,3499500000.0,1053000000.0,16301000000.0,5914000000.0,4906200000.0,6244200000.0,5914000000.0,5914000000.0,10387000000.0,16301000000.0,7154500000.0,4142800000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2011.0,Q1,,2011-03-31,2011-05-06 12:03:04+00:00,2360900000.0,865400000.0,173500000.0,1689700000.0,479800000.0,,,,3896200000.0,2797300000.0,590300000.0,3896200000.0,645200000.0,686400000.0,6243000000.0,,207800000.0,,,639600000.0,-5861500000.0,4995600000.0,2614700000.0,1001700000.0,15133700000.0,5648900000.0,4354900000.0,4975600000.0,5648900000.0,5648900000.0,3243000000.0,8891900000.0,6882600000.0,-1732600000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2012.0,Q3,,2012-09-30,2012-11-07 16:21:28+00:00,2798700000.0,1003600000.0,-160600000.0,1750500000.0,429000000.0,,,70600000.0,4922500000.0,4293000000.0,,4922500000.0,850200000.0,915400000.0,8133000000.0,,333200000.0,,,678200000.0,531200000.0,5755800000.0,3371300000.0,,16821000000.0,5862100000.0,3087300000.0,6240600000.0,5862100000.0,5862100000.0,12830400000.0,18692500000.0,8811200000.0,6589800000.0,0.0,-162100000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2012.0,Q2,,2012-06-30,2012-08-08 16:56:17+00:00,2942900000.0,1120900000.0,-235900000.0,1719900000.0,424000000.0,,,,4696000000.0,4018800000.0,883200000.0,4696000000.0,802100000.0,887400000.0,7917800000.0,,356400000.0,,,622100000.0,500000000.0,5663500000.0,3381500000.0,928500000.0,18244800000.0,5712100000.0,5008900000.0,6324400000.0,5712100000.0,5712100000.0,12532700000.0,18244800000.0,8539900000.0,6208300000.0,0.0,-139500000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2012.0,Q1,,2012-03-31,2012-05-10 14:23:52+00:00,3224900000.0,1195900000.0,-123900000.0,1923100000.0,421000000.0,,,,4530600000.0,3118700000.0,818800000.0,4530600000.0,767400000.0,869900000.0,7734600000.0,,350400000.0,,,656600000.0,493000000.0,5437600000.0,3964800000.0,947800000.0,18157800000.0,5719100000.0,5236000000.0,7189700000.0,5719100000.0,5719100000.0,12438700000.0,18157800000.0,8391200000.0,5249000000.0,0.0,-15600000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2013.0,Q3,,2013-09-30,2013-11-07 16:38:39+00:00,2865100000.0,1093400000.0,-191100000.0,1710400000.0,450500000.0,,,,,5493600000.0,893100000.0,5668800000.0,1070400000.0,937000000.0,8694900000.0,,370900000.0,,,679000000.0,671800000.0,6221500000.0,2792800000.0,1201100000.0,20311600000.0,6480900000.0,5268900000.0,5657900000.0,6480900000.0,6480900000.0,13830700000.0,20311600000.0,9373900000.0,8172800000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2013.0,Q2,,2013-06-30,2013-08-07 16:12:33+00:00,2708500000.0,1015000000.0,-309900000.0,1441900000.0,438500000.0,,,,,4937500000.0,832000000.0,5397700000.0,952100000.0,892300000.0,8307700000.0,,349800000.0,,,676100000.0,626800000.0,5983000000.0,2973200000.0,1181800000.0,19202000000.0,6111600000.0,4820500000.0,5681700000.0,6111600000.0,6111600000.0,13090400000.0,19202000000.0,8983800000.0,7408700000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2013.0,Q1,,2013-03-31,2013-05-08 16:16:31+00:00,2590500000.0,1096000000.0,-239000000.0,1261400000.0,424600000.0,,,,,4639700000.0,818200000.0,5204500000.0,894300000.0,912500000.0,8249200000.0,,345600000.0,,,681500000.0,630300000.0,5762300000.0,3218900000.0,1177700000.0,18834100000.0,5947900000.0,4698900000.0,5809400000.0,5947900000.0,5947900000.0,12886200000.0,18834100000.0,8930700000.0,7076800000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2014.0,FY,,2014-12-31,2016-02-16 16:14:11+00:00,2681700000.0,1047100000.0,-579800000.0,1737600000.0,511900000.0,0.0,,354400000.0,5553800000.0,5588700000.0,925700000.0,5553800000.0,970900000.0,909200000.0,9042600000.0,,290500000.0,,,749500000.0,718800000.0,6863800000.0,2641900000.0,1272000000.0,20618800000.0,6753200000.0,5272900000.0,5678000000.0,6753200000.0,6753200000.0,13865600000.0,20618800000.0,9792100000.0,8187600000.0,0.0,-42700000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2014.0,Q3,,2014-09-30,2014-11-06 16:16:32+00:00,2978100000.0,1313400000.0,-198600000.0,1648400000.0,493000000.0,0.0,,0.0,,5292400000.0,988100000.0,5639600000.0,982800000.0,911500000.0,8852600000.0,,308300000.0,,,955100000.0,772800000.0,6902400000.0,2925800000.0,1320600000.0,21026100000.0,7162700000.0,5578800000.0,5903900000.0,7162700000.0,7162700000.0,13863400000.0,21026100000.0,9807700000.0,7959500000.0,0.0,-34100000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2014.0,Q2,,2014-06-30,2014-08-07 16:51:32+00:00,2685800000.0,1232200000.0,63500000.0,1380300000.0,486600000.0,,,,,5609400000.0,969100000.0,5841800000.0,1042100000.0,932400000.0,8879600000.0,,301300000.0,,,968100000.0,768100000.0,6609200000.0,2710300000.0,1335000000.0,20907400000.0,7159300000.0,5217900000.0,5396100000.0,7159300000.0,7159300000.0,13748100000.0,20907400000.0,9847700000.0,8352000000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2014.0,Q1,,2014-03-31,2014-05-07 16:19:40+00:00,2760000000.0,1186900000.0,14000000.0,1289900000.0,481400000.0,,,,,5368000000.0,958000000.0,5756800000.0,1047600000.0,928000000.0,8863600000.0,,312400000.0,,,979600000.0,758600000.0,6368100000.0,2871900000.0,1250400000.0,20597600000.0,6863500000.0,4997600000.0,5631900000.0,6863500000.0,6863500000.0,13734100000.0,20597600000.0,9843200000.0,8102200000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2015.0,FY,,2015-12-31,2017-02-21 16:14:38+00:00,2428600000.0,879000000.0,-1017000000.0,2016400000.0,420600000.0,,,492600000.0,,5795000000.0,796500000.0,5549400000.0,1047400000.0,889100000.0,9303600000.0,,245700000.0,,,871100000.0,720200000.0,7536800000.0,2796500000.0,1448100000.0,21109800000.0,6940400000.0,5385700000.0,5717700000.0,6940400000.0,6940400000.0,14169400000.0,21109800000.0,10174700000.0,8451700000.0,0.0,
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2015.0,Q3,,2015-09-30,2015-11-05 16:14:19+00:00,2853400000.0,1118000000.0,-958200000.0,2126100000.0,501600000.0,,,,,6143700000.0,893100000.0,5490300000.0,1006300000.0,912600000.0,9307800000.0,,355600000.0,,,830100000.0,723600000.0,7879000000.0,2536400000.0,1398800000.0,21519800000.0,7343800000.0,5891600000.0,5389800000.0,7343800000.0,7343800000.0,14176000000.0,21519800000.0,10137900000.0,8786200000.0,0.0,-78600000.0
PACCAR Inc,PCAR,KDTEY8BWE486IKZ3CC07,75362,2015.0,Q2,,2015-06-30,2015-08-06 16:13:42+00:00,3042900000.0,1228100000.0,-809600000.0,1963100000.0,495100000.0,,,,,5914200000.0,888200000.0,5455900000.0,961400000.0,911600000.0,9313100000.0,,363400000.0,,,806200000.0,710200000.0,7533100000.0,2656400000.0,1397300000.0,21415300000.0,7218600000.0,5840100000.0,5699300000.0,7218600000.0,7218600000.0,14196700000.0,21415300000.0,10119300000.0,8497400000.0,0.0,
