company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Globe Life Inc,GL,,320335,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:47:11+00:00,391011000.0,,2735000.0,-156082000.0,42636000.0,32322000.0,-346754000.0,-502596000.0,849997000.0,-346754000.0,-502596000.0,849997000.0,3382000.0,527535000.0,527535000.0,87533000.0,79660000.0,-15458000.0,-49581000.0,-2200643000.0,-24162000.0,0.0,-451791000.0,1731578000.0,6089000.0
Globe Life Inc,GL,,320335,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 15:32:30+00:00,398324000.0,0.0,-10803000.0,347129000.0,25473000.0,102178000.0,-261258000.0,-432248000.0,730611000.0,-261258000.0,-432248000.0,730611000.0,26302000.0,452259000.0,452259000.0,-467101000.0,115629000.0,-16082000.0,-48802000.0,-1146259000.0,-9800000.0,0.0,-455736000.0,739107000.0,786000.0
Globe Life Inc,GL,,320335,2008.0,Q3,2008-07-01,2008-09-30,,,,-7435000.0,,,43805000.0,324000.0,-185141000.0,,324000.0,-185141000.0,190523000.0,-1729000.0,,,,24497000.0,,-12367000.0,-279388000.0,-1974000.0,77656000.0,-133267000.0,96076000.0,145000.0
Globe Life Inc,GL,,320335,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-06 13:03:13+00:00,,,-8039000.0,,,43805000.0,-241574000.0,-367871000.0,,-241574000.0,-367871000.0,613881000.0,-3603000.0,,,,130606000.0,,-36702000.0,-976659000.0,-8605000.0,0.0,-379283000.0,616625000.0,768000.0
Globe Life Inc,GL,,320335,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-07 10:34:36+00:00,,,-604000.0,,,0.0,-241898000.0,-182730000.0,,-241898000.0,-182730000.0,423358000.0,-1874000.0,,,,106109000.0,,-24335000.0,-697271000.0,-6631000.0,-77656000.0,-246016000.0,520549000.0,623000.0
Globe Life Inc,GL,,320335,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 15:43:56+00:00,429253000.0,0.0,-1934000.0,579875000.0,4430000.0,296308000.0,148438000.0,-937099000.0,976113000.0,148438000.0,-937099000.0,976113000.0,185518000.0,404953000.0,404953000.0,-437968000.0,112258000.0,-23652000.0,-46615000.0,-2576528000.0,-6499000.0,-170379000.0,-47564000.0,1669580000.0,0.0
Globe Life Inc,GL,,320335,2009.0,Q3,2009-07-01,2009-09-30,,,,2054000.0,,,,-35362000.0,-363172000.0,,-35362000.0,-363172000.0,228392000.0,-168088000.0,,,,79840000.0,,-11582000.0,-595654000.0,-1679000.0,-103620000.0,,234137000.0,24000.0
Globe Life Inc,GL,,320335,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-08 14:44:17+00:00,,,2054000.0,,,296308000.0,260078000.0,-725763000.0,,260078000.0,-725763000.0,588751000.0,125120000.0,,,,216634000.0,,-35024000.0,-1586364000.0,-4936000.0,-170276000.0,-47564000.0,865502000.0,35000.0
Globe Life Inc,GL,,320335,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-06 15:18:47+00:00,,,0.0,,,296308000.0,295440000.0,-362591000.0,,295440000.0,-362591000.0,360359000.0,293208000.0,,,,136794000.0,,-23442000.0,-990710000.0,-3257000.0,-66656000.0,-47564000.0,631365000.0,11000.0
Globe Life Inc,GL,,320335,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 16:22:20+00:00,376988000.0,342890000.0,-7570000.0,588806000.0,37863000.0,0.0,-329621000.0,-557641000.0,1028593000.0,-329621000.0,-557641000.0,1028593000.0,133761000.0,498866000.0,498866000.0,-436067000.0,-28072000.0,,-50061000.0,-1990731000.0,-9181000.0,-43345000.0,-246006000.0,1099304000.0,77000.0
Globe Life Inc,GL,,320335,2010.0,Q3,2010-07-01,2010-09-30,,,,-3494000.0,,,,-79457000.0,-181974000.0,,-79457000.0,-181974000.0,270099000.0,5174000.0,,,,15267000.0,-7933000.0,-12226000.0,-501936000.0,-619000.0,-11587000.0,-70911000.0,328514000.0,
Globe Life Inc,GL,,320335,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-08 11:40:31+00:00,,,-4253000.0,,,,-244168000.0,-695985000.0,,-244168000.0,-695985000.0,744954000.0,-199452000.0,,,,-5951000.0,-20232000.0,-37061000.0,-1581564000.0,-2837000.0,-53355000.0,-147801000.0,908648000.0,0.0
Globe Life Inc,GL,,320335,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-08 10:52:11+00:00,,,-759000.0,,,,-164711000.0,-514011000.0,,-164711000.0,-514011000.0,474855000.0,-204626000.0,,,,-21218000.0,-12299000.0,-24835000.0,-1079628000.0,-2218000.0,-41768000.0,-76890000.0,580134000.0,0.0
Globe Life Inc,GL,,320335,2010.0,Q2,2010-04-01,2010-06-30,,,,875000.0,,,,-96317000.0,-88778000.0,,-96317000.0,-88778000.0,171573000.0,-12647000.0,,,,-12116000.0,-12299000.0,-12410000.0,-386871000.0,-1894000.0,-8386000.0,-63405000.0,312286000.0,
Globe Life Inc,GL,,320335,2010.0,Q1,2010-01-01,2010-03-31,2011-05-09 11:17:53+00:00,,,-1634000.0,,,,-68394000.0,-425233000.0,,-68394000.0,-425233000.0,303282000.0,-191979000.0,,,,-9102000.0,,-12425000.0,-692757000.0,-324000.0,-33382000.0,-13485000.0,267848000.0,0.0
Globe Life Inc,GL,,320335,2011.0,FY,2011-01-01,2011-12-31,2014-02-28 15:01:35+00:00,364583000.0,21588000.0,-4412000.0,436920000.0,162613000.0,25967000.0,-824485000.0,-312133000.0,859464000.0,-824485000.0,-312133000.0,859464000.0,-281566000.0,497161000.0,497161000.0,-439200000.0,8616000.0,2664000.0,-49125000.0,-1211851000.0,-5386000.0,,-972556000.0,877763000.0,3089000.0
Globe Life Inc,GL,,320335,2011.0,Q3,2011-07-01,2011-09-30,,,,409000.0,,,25817000.0,-112179000.0,-34249000.0,,-112179000.0,-34249000.0,231749000.0,85730000.0,,,,47000.0,,-12100000.0,-151851000.0,-1528000.0,,-125943000.0,119073000.0,57000.0
Globe Life Inc,GL,,320335,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-08 14:36:50+00:00,,,-946000.0,,,26797000.0,-752655000.0,-120600000.0,,-752655000.0,-120600000.0,684482000.0,-189719000.0,,,,47723000.0,,-36888000.0,-880845000.0,-2927000.0,,-790287000.0,760360000.0,2812000.0
Globe Life Inc,GL,,320335,2011.0,Q2,2011-04-01,2011-06-30,,,,2100000.0,,,-580000.0,-437475000.0,89246000.0,,-437475000.0,89246000.0,152686000.0,-193443000.0,,,,3816000.0,,-12280000.0,-432552000.0,-638000.0,,-428431000.0,519718000.0,2718000.0
Globe Life Inc,GL,,320335,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-08 10:22:43+00:00,,,-1355000.0,,,980000.0,-640476000.0,-86351000.0,,-640476000.0,-86351000.0,452733000.0,-275449000.0,,,,47676000.0,,-24788000.0,-728994000.0,-1399000.0,,-664344000.0,641287000.0,2755000.0
Globe Life Inc,GL,,320335,2011.0,Q1TTM,2010-04-01,2011-03-31,,376988000.0,342890000.0,-9391000.0,588806000.0,37863000.0,1560000.0,-464228000.0,-308005000.0,1028593000.0,-464228000.0,-308005000.0,1025358000.0,243734000.0,498866000.0,498866000.0,-436067000.0,24890000.0,,-50144000.0,-1594416000.0,-9618000.0,-9963000.0,-468434000.0,953025000.0,114000.0
