company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2008.0,FY,2008-01-01,2008-12-31,2011-02-24 17:21:57+00:00,,44000000.0,3000000.0,372000000.0,589000000.0,0.0,-239000000.0,9000000.0,1288000000.0,147000000.0,-839000000.0,557000000.0,147000000.0,-839000000.0,557000000.0,-137000000.0,302000000.0,302000000.0,-139000000.0,0.0,-47000000.0,-2000000.0,-93000000.0,,-792000000.0,-1056000000.0,-1000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,Q4,2009-10-01,2009-12-31,,,-31000000.0,17000000.0,698000000.0,148000000.0,,47000000.0,2000000.0,93000000.0,-46000000.0,-260000000.0,214000000.0,-46000000.0,-260000000.0,214000000.0,-91000000.0,11000000.0,11000000.0,39000000.0,,-59000000.0,1000000.0,-32000000.0,,-201000000.0,-109000000.0,,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 10:03:21+00:00,,,17000000.0,698000000.0,570000000.0,0.0,156000000.0,9000000.0,1297000000.0,-35000000.0,-935000000.0,848000000.0,-35000000.0,-935000000.0,848000000.0,-117000000.0,240000000.0,240000000.0,-118000000.0,,-117000000.0,5000000.0,-125000000.0,,-818000000.0,-1212000000.0,-4000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-28 13:47:21+00:00,,31000000.0,,,422000000.0,0.0,109000000.0,7000000.0,1204000000.0,11000000.0,-675000000.0,634000000.0,11000000.0,-675000000.0,634000000.0,-26000000.0,229000000.0,229000000.0,-157000000.0,0.0,-58000000.0,4000000.0,-93000000.0,,-617000000.0,-1103000000.0,-4000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,Q3,2009-07-01,2009-09-30,,,12000000.0,,,128000000.0,,-422000000.0,2000000.0,227000000.0,-434000000.0,-242000000.0,-166000000.0,-434000000.0,-242000000.0,-166000000.0,-842000000.0,75000000.0,75000000.0,41000000.0,,-27000000.0,,-30000000.0,,-208000000.0,-629000000.0,-4000000.0,,-7000000.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-28 13:55:06+00:00,,19000000.0,,,294000000.0,0.0,531000000.0,5000000.0,977000000.0,445000000.0,-433000000.0,800000000.0,445000000.0,-433000000.0,800000000.0,816000000.0,154000000.0,154000000.0,-198000000.0,0.0,-31000000.0,4000000.0,-63000000.0,,-409000000.0,-474000000.0,,,7000000.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 12:46:29+00:00,-10000000.0,,14000000.0,405000000.0,576000000.0,,178000000.0,10000000.0,1549000000.0,202000000.0,-1003000000.0,959000000.0,202000000.0,-1003000000.0,959000000.0,157000000.0,343000000.0,343000000.0,-138000000.0,-38000000.0,-172000000.0,-1000000.0,-162000000.0,,-821000000.0,-918000000.0,-239000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q4,2010-10-01,2010-12-31,,,,14000000.0,405000000.0,140000000.0,,-12000000.0,3000000.0,594000000.0,-133000000.0,-277000000.0,-39000000.0,-133000000.0,-277000000.0,-39000000.0,-449000000.0,25000000.0,25000000.0,-192000000.0,-38000000.0,-67000000.0,,-51000000.0,,-210000000.0,-415000000.0,-226000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-10-27 12:33:29+00:00,-10000000.0,,,,436000000.0,,190000000.0,7000000.0,955000000.0,335000000.0,-726000000.0,998000000.0,335000000.0,-726000000.0,998000000.0,606000000.0,318000000.0,318000000.0,54000000.0,,-105000000.0,-1000000.0,-111000000.0,,-611000000.0,-503000000.0,-13000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q3TTM,2009-10-01,2010-09-30,,-10000000.0,-31000000.0,17000000.0,698000000.0,584000000.0,,237000000.0,9000000.0,1048000000.0,289000000.0,-986000000.0,1212000000.0,289000000.0,-986000000.0,1212000000.0,515000000.0,329000000.0,329000000.0,93000000.0,,-164000000.0,,-143000000.0,,-812000000.0,-612000000.0,-13000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q3,2010-07-01,2010-09-30,,,,,,133000000.0,,-446000000.0,2000000.0,589000000.0,446000000.0,-236000000.0,-133000000.0,446000000.0,-236000000.0,-133000000.0,160000000.0,146000000.0,146000000.0,34000000.0,,-49000000.0,83000000.0,-37000000.0,,-187000000.0,-95000000.0,-13000000.0,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q2TTM,2009-07-01,2010-06-30,,-10000000.0,-19000000.0,17000000.0,698000000.0,579000000.0,,261000000.0,9000000.0,686000000.0,-591000000.0,-992000000.0,1179000000.0,-591000000.0,-992000000.0,1179000000.0,-487000000.0,258000000.0,258000000.0,100000000.0,,-142000000.0,-83000000.0,-136000000.0,,-833000000.0,-1146000000.0,-4000000.0,,-7000000.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q2,2010-04-01,2010-06-30,,,,,,131000000.0,,-201000000.0,5000000.0,41000000.0,-332000000.0,-278000000.0,474000000.0,-332000000.0,-278000000.0,474000000.0,-219000000.0,84000000.0,84000000.0,460000000.0,,-44000000.0,-83000000.0,-40000000.0,,-234000000.0,-338000000.0,,,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2011.0,FY,2011-01-01,2011-12-31,2014-02-06 09:01:23+00:00,,,27000000.0,650000000.0,546000000.0,,261000000.0,29000000.0,473000000.0,-199000000.0,-1058000000.0,1169000000.0,-199000000.0,-1058000000.0,1169000000.0,-86000000.0,417000000.0,417000000.0,-55000000.0,,-176000000.0,2000000.0,-211000000.0,,-882000000.0,-490000000.0,,,
