company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,customerdeposits,dividendspayable,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2009.0,FY,,2009-12-31,2011-02-24 17:21:57+00:00,509000000.0,948000000.0,,4540000000.0,-33000000.0,2220000000.0,197000000.0,90000000.0,0.0,4562000000.0,,326000000.0,21000000.0,96000000.0,13716000000.0,5895000000.0,9000000.0,1319000000.0,9176000000.0,336000000.0,282000000.0,1460000000.0,297000000.0,81000000.0,270000000.0,268000000.0,2000000.0,0.0,3023000000.0,310000000.0,9000000.0,,32000000.0,-1927000000.0,734000000.0,15256000000.0,2602000000.0,2742000000.0,1954000000.0,2602000000.0,2938000000.0,12318000000.0,15256000000.0,3338000000.0,10364000000.0,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,FY,,2010-12-31,2012-02-23 10:03:21+00:00,501000000.0,991000000.0,19000000.0,4646000000.0,-40000000.0,2233000000.0,188000000.0,247000000.0,0.0,4590000000.0,0.0,482000000.0,,102000000.0,14145000000.0,6448000000.0,49000000.0,1175000000.0,10069000000.0,44000000.0,487000000.0,1135000000.0,397000000.0,70000000.0,251000000.0,166000000.0,2000000.0,1000000.0,2338000000.0,267000000.0,4000000.0,,23000000.0,-1757000000.0,750000000.0,15616000000.0,2793000000.0,2759000000.0,2021000000.0,2793000000.0,2837000000.0,12779000000.0,15616000000.0,2788000000.0,10758000000.0,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q3,,2010-09-30,2010-10-28 13:47:21+00:00,464000000.0,681000000.0,20000000.0,4616000000.0,-31000000.0,2191000000.0,190000000.0,696000000.0,0.0,4583000000.0,,305000000.0,,73000000.0,13929000000.0,6013000000.0,49000000.0,1395000000.0,9313000000.0,45000000.0,453000000.0,1283000000.0,322000000.0,74000000.0,215000000.0,403000000.0,2000000.0,1000000.0,2795000000.0,278000000.0,6000000.0,,23000000.0,-1731000000.0,1031000000.0,15571000000.0,2821000000.0,3086000000.0,2297000000.0,2821000000.0,2866000000.0,12705000000.0,15571000000.0,3172000000.0,10408000000.0,0.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2010.0,Q2,,2010-06-30,2010-07-28 13:55:06+00:00,460000000.0,705000000.0,12000000.0,4566000000.0,-31000000.0,2178000000.0,196000000.0,536000000.0,0.0,4571000000.0,,281000000.0,,101000000.0,13727000000.0,5883000000.0,52000000.0,1077000000.0,9161000000.0,284000000.0,493000000.0,1276000000.0,286000000.0,72000000.0,207000000.0,228000000.0,2000000.0,1000000.0,2925000000.0,296000000.0,6000000.0,,22000000.0,-1831000000.0,653000000.0,15051000000.0,2709000000.0,2621000000.0,1736000000.0,2709000000.0,2993000000.0,12058000000.0,15051000000.0,3269000000.0,10322000000.0,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2011.0,FY,,2011-12-31,2013-02-21 12:46:29+00:00,584000000.0,879000000.0,30000000.0,4901000000.0,-49000000.0,2129000000.0,167000000.0,161000000.0,0.0,4630000000.0,24000000.0,282000000.0,,101000000.0,14751000000.0,6040000000.0,50000000.0,1187000000.0,9850000000.0,44000000.0,1081000000.0,1289000000.0,462000000.0,49000000.0,238000000.0,284000000.0,,,3525000000.0,336000000.0,,,27000000.0,-1553000000.0,1057000000.0,16452000000.0,3028000000.0,2565000000.0,2338000000.0,3028000000.0,3072000000.0,13380000000.0,16452000000.0,4037000000.0,11042000000.0,0.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2011.0,Q3,,2011-09-30,2011-10-27 12:33:29+00:00,493000000.0,700000000.0,24000000.0,4869000000.0,-40000000.0,2128000000.0,171000000.0,623000000.0,0.0,4625000000.0,,235000000.0,,70000000.0,14607000000.0,6037000000.0,53000000.0,1279000000.0,10410000000.0,44000000.0,917000000.0,1139000000.0,430000000.0,62000000.0,167000000.0,252000000.0,0.0,0.0,2205000000.0,265000000.0,0.0,,29000000.0,-1542000000.0,1140000000.0,15958000000.0,3043000000.0,2860000000.0,2214000000.0,3043000000.0,3087000000.0,12871000000.0,15958000000.0,2688000000.0,10657000000.0,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2011.0,Q2,,2011-06-30,2011-07-28 12:52:20+00:00,452000000.0,729000000.0,43000000.0,4802000000.0,-38000000.0,2112000000.0,177000000.0,994000000.0,0.0,4624000000.0,,393000000.0,,107000000.0,14413000000.0,6184000000.0,52000000.0,969000000.0,9611000000.0,44000000.0,815000000.0,1136000000.0,398000000.0,57000000.0,178000000.0,123000000.0,0.0,0.0,2928000000.0,278000000.0,0.0,,29000000.0,-1628000000.0,1123000000.0,15945000000.0,2958000000.0,2956000000.0,2241000000.0,2958000000.0,3002000000.0,12943000000.0,15945000000.0,3378000000.0,10702000000.0,0.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2011.0,Q1,,2011-03-31,2011-04-28 10:59:10+00:00,421000000.0,941000000.0,20000000.0,4731000000.0,-40000000.0,2297000000.0,182000000.0,801000000.0,0.0,4602000000.0,,389000000.0,,75000000.0,14242000000.0,5926000000.0,51000000.0,712000000.0,9511000000.0,44000000.0,593000000.0,1135000000.0,381000000.0,55000000.0,202000000.0,110000000.0,0.0,0.0,2958000000.0,288000000.0,0.0,,30000000.0,-1675000000.0,1275000000.0,15642000000.0,2887000000.0,2741000000.0,2290000000.0,2887000000.0,2931000000.0,12711000000.0,15642000000.0,3390000000.0,10421000000.0,0.0
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2012.0,FY,,2012-12-31,2014-02-06 09:01:23+00:00,521000000.0,865000000.0,6000000.0,5121000000.0,-55000000.0,2413000000.0,153000000.0,93000000.0,0.0,4672000000.0,,347000000.0,,95000000.0,15592000000.0,6710000000.0,57000000.0,1084000000.0,11551000000.0,44000000.0,1058000000.0,1451000000.0,521000000.0,41000000.0,310000000.0,177000000.0,,,2580000000.0,311000000.0,,,29000000.0,-1423000000.0,651000000.0,17131000000.0,3194000000.0,2422000000.0,1797000000.0,3194000000.0,3238000000.0,13893000000.0,17131000000.0,3158000000.0,12096000000.0,
CMS Energy Corp,CMS,549300IA9XFBAGNIBW29,811156,2012.0,Q3,,2012-09-30,2012-10-25 12:11:08+00:00,500000000.0,678000000.0,17000000.0,5047000000.0,-43000000.0,2203000000.0,155000000.0,128000000.0,0.0,4665000000.0,0.0,135000000.0,,64000000.0,15103000000.0,6711000000.0,56000000.0,1272000000.0,10056000000.0,44000000.0,1200000000.0,1291000000.0,512000000.0,28000000.0,223000000.0,259000000.0,,,3624000000.0,323000000.0,,,31000000.0,-1426000000.0,510000000.0,16608000000.0,3196000000.0,2360000000.0,1485000000.0,3196000000.0,3240000000.0,13368000000.0,16608000000.0,4192000000.0,11883000000.0,0.0
