company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:17:42+00:00,-231097000.0,18999000.0,28094000.0,22242000.0,9648000.0,,4092000.0,25832000.0,266000.0,,93696000.0,72238000.0,-240774000.0,178790000.0,72238000.0,-240774000.0,178790000.0,14346000.0,89052000.0,89052000.0,35259000.0,,,,-9677000.0,-21724000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2010.0,Q4,2010-10-01,2010-12-31,,-3806000.0,5808000.0,5394000.0,4558000.0,2699000.0,,-3589000.0,-10496000.0,9618000.0,,,-17357000.0,-7926000.0,32903000.0,-17357000.0,-7926000.0,32903000.0,4031000.0,17514000.0,17514000.0,17378000.0,10710000.0,,-7634000.0,-4120000.0,-30051000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 17:06:43+00:00,-10022000.0,22484000.0,45998000.0,21409000.0,11261000.0,,-1892000.0,-36814000.0,10098000.0,,,-86544000.0,-21216000.0,139755000.0,-86544000.0,-21216000.0,139755000.0,30103000.0,107896000.0,107896000.0,34928000.0,10710000.0,,-7634000.0,-11194000.0,-99718000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2010.0,Q3,2010-07-01,2010-09-30,,620000.0,5686000.0,15682000.0,5615000.0,3238000.0,,11473000.0,6584000.0,26000.0,,,-25726000.0,-1477000.0,54374000.0,-25726000.0,-1477000.0,54374000.0,38644000.0,33398000.0,33398000.0,5468000.0,1067000.0,,,-2097000.0,-26819000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-14 16:06:52+00:00,-6216000.0,16676000.0,40604000.0,16851000.0,8562000.0,,1697000.0,-26318000.0,480000.0,,,-69187000.0,-13290000.0,106852000.0,-69187000.0,-13290000.0,106852000.0,26072000.0,90382000.0,90382000.0,17550000.0,,,,-7074000.0,-69667000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-15 07:11:33+00:00,-6836000.0,10990000.0,24922000.0,11236000.0,5324000.0,,-9776000.0,-32902000.0,454000.0,,,-43461000.0,-11813000.0,52478000.0,-43461000.0,-11813000.0,52478000.0,-12572000.0,56984000.0,56984000.0,12082000.0,-1067000.0,,,-4977000.0,-42848000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2011.0,Q4,2011-10-01,2011-12-31,,-311830000.0,3684000.0,14034000.0,3748000.0,6240000.0,,-4575000.0,155222000.0,3411000.0,255000000.0,,260218000.0,-316876000.0,209108000.0,260218000.0,-316876000.0,209108000.0,147875000.0,37772000.0,37772000.0,6190000.0,5557000.0,,,-5046000.0,-3750000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2011.0,FY,2011-01-01,2011-12-31,2014-03-03 16:55:06+00:00,-333763000.0,21454000.0,49205000.0,14961000.0,14717000.0,,1726000.0,66208000.0,8477000.0,561000000.0,,236221000.0,-347217000.0,279625000.0,236221000.0,-347217000.0,279625000.0,170355000.0,147335000.0,147335000.0,29911000.0,13727000.0,,,-13454000.0,-346983000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2011.0,Q3TTM,2010-10-01,2011-09-30,,-25739000.0,23578000.0,40565000.0,15771000.0,11176000.0,,2712000.0,-99510000.0,14684000.0,306000000.0,,-41354000.0,-38267000.0,103420000.0,-41354000.0,-38267000.0,103420000.0,26511000.0,127077000.0,127077000.0,41099000.0,18880000.0,,-7634000.0,-12528000.0,-373284000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2011.0,Q3,2011-07-01,2011-09-30,,-21148000.0,6106000.0,14887000.0,6878000.0,2946000.0,,-3046000.0,16378000.0,4211000.0,-12000000.0,,-5293000.0,-23640000.0,68063000.0,-5293000.0,-23640000.0,68063000.0,36084000.0,40514000.0,40514000.0,2119000.0,6349000.0,,,-2492000.0,-3853000.0,
Fleetcor Technologies Inc,FLT,549300DG6RR0NQSFLN74,1175454,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-09 16:57:56+00:00,-21933000.0,17770000.0,35171000.0,11213000.0,8477000.0,,6301000.0,-89014000.0,5066000.0,306000000.0,,-23997000.0,-30341000.0,70517000.0,-23997000.0,-30341000.0,70517000.0,22480000.0,109563000.0,109563000.0,23721000.0,8170000.0,,,-8408000.0,-343233000.0,
