company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,goodwill,intangibleassets,loansandleases,longtermdebt,netloansandleases,netpremisesandequipment,noncontrollinginterests,otherassets,otherequity,otherlongtermliabilities,othershorttermpayables,redeemablenoncontrollinginterest,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2008.0,FY,,2008-12-31,2010-03-10 17:25:57+00:00,-186000000.0,2032000000.0,,10331000000.0,309000000.0,5533000000.0,6441000000.0,,942000000.0,,260000000.0,225000000.0,1297000000.0,,2125000000.0,1474000000.0,266000000.0,1982000000.0,2623000000.0,2623000000.0,200000000.0,19924000000.0,12069000000.0,12069000000.0,12294000000.0,7364000000.0,19924000000.0,,1429000000.0,-58000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2009.0,FY,,2009-12-31,2011-02-28 17:20:47+00:00,-96000000.0,4708000000.0,,21991000000.0,189000000.0,12680000000.0,17666000000.0,,22769000000.0,,443000000.0,224000000.0,2425000000.0,,6063000000.0,2827000000.0,49000000.0,2436000000.0,119629000000.0,119629000000.0,2234000000.0,178124000000.0,24328000000.0,24329000000.0,24553000000.0,153522000000.0,178124000000.0,,20384000000.0,-3000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2009.0,Q3,,2009-09-30,2009-11-06 15:59:01+00:00,-88000000.0,2763000000.0,,10861000000.0,91000000.0,5718000000.0,6335000000.0,,943000000.0,,250000000.0,231000000.0,1646000000.0,,1997000000.0,1403000000.0,19000000.0,2286000000.0,3536000000.0,3536000000.0,200000000.0,21380000000.0,13059000000.0,13060000000.0,13291000000.0,8079000000.0,21380000000.0,1000000.0,1041000000.0,0.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2009.0,Q2,,2009-06-30,2009-08-07 15:13:33+00:00,-81000000.0,2305000000.0,0.0,10749000000.0,104000000.0,5723000000.0,6371000000.0,,942000000.0,,252000000.0,213000000.0,1566000000.0,,3163000000.0,,28000000.0,2076000000.0,3131000000.0,3131000000.0,200000000.0,20409000000.0,12744000000.0,12745000000.0,12958000000.0,7436000000.0,20409000000.0,1000000.0,957000000.0,0.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2010.0,FY,,2010-12-31,2012-02-28 17:27:56+00:00,-96000000.0,3460000000.0,0.0,22502000000.0,150000000.0,12805000000.0,17512000000.0,1312000000.0,22175000000.0,1312000000.0,428000000.0,189000000.0,2477000000.0,,6068000000.0,2645000000.0,6000000.0,3798000000.0,121137000000.0,121137000000.0,100000000.0,178459000000.0,26093000000.0,26094000000.0,26328000000.0,152125000000.0,178459000000.0,,19178000000.0,-111000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2010.0,Q3,,2010-09-30,2010-11-08 06:11:27+00:00,-95000000.0,2727000000.0,,22264000000.0,168000000.0,12641000000.0,17546000000.0,,23476000000.0,,429000000.0,180000000.0,3833000000.0,46000000.0,6050000000.0,2531000000.0,54000000.0,3354000000.0,116667000000.0,116667000000.0,100000000.0,174504000000.0,25445000000.0,25400000000.0,25626000000.0,148824000000.0,174504000000.0,1000000.0,20493000000.0,-124000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2010.0,Q2,,2010-06-30,2010-08-06 15:01:07+00:00,-186000000.0,2244000000.0,,22148000000.0,158000000.0,12640000000.0,17586000000.0,,22781000000.0,,433000000.0,159000000.0,3962000000.0,41000000.0,6242000000.0,2075000000.0,94000000.0,2991000000.0,105476000000.0,105476000000.0,444000000.0,162266000000.0,24994000000.0,24954000000.0,25154000000.0,137018000000.0,162266000000.0,1000000.0,19767000000.0,
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2010.0,Q1,,2010-03-31,2010-05-10 14:02:01+00:00,-165000000.0,2793000000.0,,22038000000.0,170000000.0,12641000000.0,17626000000.0,,17917000000.0,,450000000.0,174000000.0,3680000000.0,46000000.0,6085000000.0,2044000000.0,79000000.0,2777000000.0,116187000000.0,116187000000.0,880000000.0,168060000000.0,24693000000.0,24648000000.0,24868000000.0,143113000000.0,168060000000.0,1000000.0,14513000000.0,-3000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2011.0,FY,,2011-12-31,2013-02-28 17:48:24+00:00,-127000000.0,3560000000.0,0.0,20275000000.0,142000000.0,12792000000.0,17356000000.0,1639000000.0,27182000000.0,1639000000.0,537000000.0,184000000.0,2450000000.0,,6053000000.0,2328000000.0,92000000.0,5046000000.0,118871000000.0,118871000000.0,100000000.0,179896000000.0,24976000000.0,25048000000.0,25270000000.0,154534000000.0,179896000000.0,,22549000000.0,-218000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2011.0,Q3,,2011-09-30,2011-11-08 18:46:58+00:00,-110000000.0,3053000000.0,0.0,20150000000.0,145000000.0,12797000000.0,17395000000.0,1638000000.0,25593000000.0,1638000000.0,545000000.0,175000000.0,2602000000.0,36000000.0,6086000000.0,2299000000.0,1000000.0,4815000000.0,115265000000.0,115265000000.0,100000000.0,174282000000.0,24763000000.0,24727000000.0,24938000000.0,149343000000.0,174282000000.0,,20842000000.0,-128000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2011.0,Q2,,2011-06-30,2011-08-08 16:25:09+00:00,-40000000.0,2861000000.0,0.0,20023000000.0,151000000.0,12802000000.0,17434000000.0,1331000000.0,24197000000.0,1331000000.0,521000000.0,196000000.0,2663000000.0,-46000000.0,6086000000.0,2025000000.0,4000000.0,4441000000.0,127470000000.0,127470000000.0,600000000.0,185048000000.0,24378000000.0,24424000000.0,24666000000.0,160378000000.0,185048000000.0,,19815000000.0,
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2011.0,Q1,,2011-03-31,2011-05-09 16:09:58+00:00,-52000000.0,2912000000.0,,22455000000.0,136000000.0,12804000000.0,17472000000.0,,21788000000.0,,479000000.0,188000000.0,3952000000.0,45000000.0,6085000000.0,1930000000.0,4000000.0,4077000000.0,121903000000.0,121903000000.0,,178422000000.0,26523000000.0,26479000000.0,26712000000.0,151706000000.0,178422000000.0,1000000.0,18764000000.0,-2000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2012.0,FY,,2012-12-31,2014-02-28 14:29:28+00:00,-59000000.0,4903000000.0,0.0,19421000000.0,,12910000000.0,17402000000.0,2264000000.0,8089000000.0,2264000000.0,557000000.0,155000000.0,2876000000.0,,6254000000.0,2602000000.0,32000000.0,6444000000.0,134768000000.0,157789000000.0,100000000.0,200451000000.0,25374000000.0,25403000000.0,25585000000.0,174834000000.0,200451000000.0,,24771000000.0,-432000000.0
BlackRock Inc,BLK,549300LRIF3NWCU26A80,1364742,2012.0,Q3,,2012-09-30,2012-11-08 17:02:05+00:00,-58000000.0,4515000000.0,0.0,19323000000.0,121000000.0,12908000000.0,17442000000.0,1683000000.0,30591000000.0,1683000000.0,560000000.0,170000000.0,3160000000.0,,6169000000.0,2646000000.0,28000000.0,6010000000.0,128013000000.0,128013000000.0,100000000.0,192828000000.0,25001000000.0,25057000000.0,25261000000.0,167519000000.0,192828000000.0,0.0,24426000000.0,-274000000.0
