company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Linde PLC,LIN,,1707925,2016.0,FY,2016-01-01,2016-12-31,2019-03-18 12:53:02+00:00,5.25,5.25,,1122000000.0,5.21,551000000.0,1538000000.0,1538000000.0,0.0,1500000000.0,38000000.0,5855000000.0,10534000000.0,0.0,41000000.0,-9000000.0,-23000000.0,96000000.0,92000000.0,1145000000.0,5855000000.0,4679000000.0,190000000.0,2432000000.0,2247000000.0,-199000000.0,2048000000.0,10534000000.0,285700000.0,285677000.0,287757000.0
Linde PLC,LIN,,1707925,2017.0,FY,2017-01-01,2017-12-31,2020-03-02 15:19:05+00:00,4.36,4.36,3.15,1184000000.0,4.32,1026000000.0,1308000000.0,1308000000.0,0.0,1247000000.0,61000000.0,6382000000.0,11358000000.0,0.0,47000000.0,4000000.0,-4000000.0,52000000.0,93000000.0,1207000000.0,6382000000.0,4976000000.0,161000000.0,2532000000.0,2444000000.0,-157000000.0,2287000000.0,11358000000.0,286000000.0,286261000.0,289114000.0
Linde PLC,LIN,,1707925,2017.0,Q3,2017-07-01,2017-09-30,2017-10-30 16:19:54+00:00,-11.63,-11.63,,,-11.63,0.0,-581650.0,-290825.0,,-581650.0,,,,-290825.0,,,,,,290825.0,,,,290825.0,-290825.0,,-290825.0,,100000.0,100000.0,100000.0
Linde PLC,LIN,,1707925,2018.0,FY,2018-01-01,2018-12-31,2020-03-02 15:19:05+00:00,13.26,13.26,3.3,1830000000.0,13.11,817000000.0,4405000000.0,4288000000.0,225000000.0,4381000000.0,24000000.0,9020000000.0,14836000000.0,-108000000.0,56000000.0,4000000.0,-3312000000.0,309000000.0,113000000.0,1629000000.0,9020000000.0,5816000000.0,202000000.0,569000000.0,5247000000.0,-198000000.0,5049000000.0,14836000000.0,330400000.0,330401000.0,334127000.0
Linde PLC,LIN,,1707925,2018.0,Q4,2018-10-01,2018-12-31,,8.38,8.38,3.3,902000000.0,8.29,355000000.0,2954000000.0,2837000000.0,225000000.0,2978000000.0,-24000000.0,3955000000.0,5801000000.0,-108000000.0,14000000.0,14000000.0,-3287000000.0,235000000.0,42000000.0,718000000.0,3955000000.0,1846000000.0,72000000.0,-1390000000.0,3236000000.0,-58000000.0,3178000000.0,5801000000.0,330400000.0,330401000.0,334127000.0
Linde PLC,LIN,,1707925,2018.0,Q3YTD,2018-01-01,2018-09-30,,4.88,4.88,,928000000.0,4.82,462000000.0,1451000000.0,1451000000.0,,1403000000.0,48000000.0,5065000000.0,9035000000.0,,42000000.0,-10000000.0,-25000000.0,74000000.0,71000000.0,911000000.0,5065000000.0,3970000000.0,130000000.0,1959000000.0,2011000000.0,-140000000.0,1871000000.0,9035000000.0,288100000.0,288093000.0,291513000.0
Linde PLC,LIN,,1707925,2018.0,Q3,2018-07-01,2018-09-30,2019-11-12 13:35:58+00:00,1.6,1.6,,306000000.0,1.58,156000000.0,480000000.0,480000000.0,0.0,461000000.0,19000000.0,1698000000.0,3008000000.0,0.0,13000000.0,-6000000.0,-13000000.0,31000000.0,23000000.0,294000000.0,1698000000.0,1310000000.0,40000000.0,641000000.0,669000000.0,-46000000.0,623000000.0,3008000000.0,288100000.0,288093000.0,291513000.0
Linde PLC,LIN,,1707925,2018.0,Q2YTD,2018-01-01,2018-06-30,,3.28,3.28,,622000000.0,3.24,306000000.0,971000000.0,971000000.0,,942000000.0,29000000.0,3367000000.0,6027000000.0,,29000000.0,-4000000.0,-12000000.0,43000000.0,48000000.0,617000000.0,3367000000.0,2660000000.0,90000000.0,1318000000.0,1342000000.0,-94000000.0,1248000000.0,6027000000.0,287400000.0,287803000.0,290908000.0
Linde PLC,LIN,,1707925,2018.0,Q2,2018-04-01,2018-06-30,2019-08-09 13:24:49+00:00,1.67,1.67,,311000000.0,1.65,158000000.0,499000000.0,499000000.0,0.0,480000000.0,19000000.0,1706000000.0,3044000000.0,0.0,14000000.0,-2000000.0,-17000000.0,24000000.0,24000000.0,307000000.0,1706000000.0,1338000000.0,44000000.0,649000000.0,689000000.0,-46000000.0,643000000.0,3044000000.0,287400000.0,287803000.0,290908000.0
Linde PLC,LIN,,1707925,2018.0,Q1,2018-01-01,2018-03-31,2019-05-10 13:38:14+00:00,1.61,1.61,0.825,311000000.0,1.59,148000000.0,472000000.0,472000000.0,0.0,462000000.0,10000000.0,1661000000.0,2983000000.0,0.0,15000000.0,-2000000.0,5000000.0,19000000.0,24000000.0,310000000.0,1661000000.0,1322000000.0,46000000.0,669000000.0,653000000.0,-48000000.0,605000000.0,2983000000.0,287000000.0,287504000.0,290809000.0
