company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Alaska Air Group Inc,ALK,,766421,2008.0,FY,2008-01-01,2008-12-31,2011-02-23 16:36:05+00:00,,-600000.0,71000000.0,204600000.0,6300000.0,4000000.0,883900000.0,487600000.0,-581300000.0,172500000.0,487600000.0,-581300000.0,172500000.0,78800000.0,-135900000.0,-135900000.0,97500000.0,0.0,8300000.0,,-766000000.0,-412800000.0,-351400000.0,-48900000.0,579600000.0,9600000.0
Alaska Air Group Inc,ALK,,766421,2009.0,Q4,2009-10-01,2009-12-31,,,100000.0,17000000.0,56900000.0,56200000.0,9400000.0,96000000.0,71200000.0,-64100000.0,-12900000.0,71200000.0,-64100000.0,-12900000.0,-5800000.0,24100000.0,24100000.0,-150100000.0,,3700000.0,,-174800000.0,-91100000.0,-34200000.0,,203200000.0,-5100000.0
Alaska Air Group Inc,ALK,,766421,2009.0,FY,2009-01-01,2009-12-31,2012-02-21 15:14:32+00:00,,-8800000.0,94600000.0,219200000.0,67300000.0,13000000.0,287800000.0,246000000.0,-657400000.0,292500000.0,246000000.0,-657400000.0,292500000.0,-118900000.0,121600000.0,121600000.0,-115600000.0,230000000.0,-1400000.0,,-942600000.0,-438400000.0,-261000000.0,-23800000.0,725000000.0,
Alaska Air Group Inc,ALK,,766421,2009.0,Q3,2009-07-01,2009-09-30,,,,29300000.0,55600000.0,37600000.0,800000.0,26400000.0,-44800000.0,-130700000.0,182200000.0,-44800000.0,-130700000.0,182200000.0,6700000.0,87600000.0,87600000.0,1400000.0,,-800000.0,,-252800000.0,-38800000.0,-60000000.0,-12000000.0,160800000.0,900000.0
Alaska Air Group Inc,ALK,,766421,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-05 16:03:16+00:00,,-8900000.0,77600000.0,162300000.0,11100000.0,3600000.0,191800000.0,174800000.0,-593300000.0,305400000.0,174800000.0,-593300000.0,305400000.0,-113100000.0,97500000.0,97500000.0,34500000.0,230000000.0,-5100000.0,,-767800000.0,-347300000.0,-226800000.0,-23800000.0,521800000.0,5100000.0
Alaska Air Group Inc,ALK,,766421,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-05 11:44:01+00:00,,-8900000.0,48300000.0,106700000.0,-26500000.0,2800000.0,165400000.0,219600000.0,-462600000.0,123200000.0,219600000.0,-462600000.0,123200000.0,-119800000.0,9900000.0,9900000.0,33100000.0,230000000.0,-4300000.0,,-515000000.0,-308500000.0,-166800000.0,-11800000.0,361000000.0,4200000.0
Alaska Air Group Inc,ALK,,766421,2010.0,Q4,2010-10-01,2010-12-31,,,4900000.0,26700000.0,58000000.0,76700000.0,7900000.0,,-89600000.0,4000000.0,46600000.0,-89600000.0,4000000.0,46600000.0,-39000000.0,64700000.0,64700000.0,-152800000.0,,-19300000.0,,-225300000.0,-31100000.0,-83700000.0,-13800000.0,284400000.0,-4700000.0
Alaska Air Group Inc,ALK,,766421,2010.0,FY,2010-01-01,2010-12-31,2013-02-14 12:59:42+00:00,,0.0,106000000.0,230000000.0,201000000.0,37000000.0,0.0,-332000000.0,-295000000.0,553000000.0,-332000000.0,-295000000.0,553000000.0,-74000000.0,251000000.0,251000000.0,-129000000.0,0.0,-19000000.0,,-1022000000.0,-185000000.0,-324000000.0,-45000000.0,931000000.0,
Alaska Air Group Inc,ALK,,766421,2010.0,Q3TTM,2009-10-01,2010-09-30,,,-4800000.0,96300000.0,228900000.0,180500000.0,38500000.0,96000000.0,-171200000.0,-363100000.0,493500000.0,-171200000.0,-363100000.0,493500000.0,-40800000.0,210400000.0,210400000.0,-126300000.0,,4000000.0,,-971500000.0,-245000000.0,-274500000.0,-31200000.0,849800000.0,-400000.0
Alaska Air Group Inc,ALK,,766421,2010.0,Q3,2010-07-01,2010-09-30,,,-100000.0,31800000.0,57800000.0,-19100000.0,8100000.0,,-92600000.0,-59100000.0,172800000.0,-92600000.0,-59100000.0,172800000.0,21100000.0,122400000.0,122400000.0,11700000.0,,-200000.0,,-218600000.0,-42100000.0,-95800000.0,-4900000.0,200400000.0,1400000.0
