company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,extraordinaryincome,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othercostofrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,preferreddividends,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 16:59:55+00:00,1.19,1.19,0.86,1746000000.0,1.18,0.0,0.0,712000000.0,1502000000.0,1524000000.0,-22000000.0,1500000000.0,2000000.0,7827000000.0,12720000000.0,,,649000000.0,,428000000.0,,5000000.0,,8476000000.0,4244000000.0,685000000.0,0.0,1751000000.0,2493000000.0,-257000000.0,2236000000.0,12720000000.0,1260500000.0,1260000000.0,1265000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 14:57:55+00:00,1.08,1.08,0.9,1670000000.0,1.07,67000000.0,85000000.0,616000000.0,1358000000.0,1275000000.0,16000000.0,1362000000.0,-4000000.0,8371000000.0,13207000000.0,,,639000000.0,,232000000.0,,-69000000.0,,9010000000.0,4197000000.0,741000000.0,-111000000.0,1686000000.0,2511000000.0,-620000000.0,1891000000.0,13207000000.0,1261100000.0,1265000000.0,1267000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2008.0,Q3,2008-07-01,2008-09-30,2009-11-06 14:15:46+00:00,0.17,0.17,0.0,432000000.0,0.17,,82000000.0,132000000.0,213000000.0,214000000.0,-1000000.0,215000000.0,-2000000.0,2249000000.0,3508000000.0,,,170000000.0,,33000000.0,,-2000000.0,,2419000000.0,1089000000.0,176000000.0,-88000000.0,512000000.0,577000000.0,-231000000.0,346000000.0,3508000000.0,1264700000.0,1265000000.0,1267000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2008.0,Q2,2008-04-01,2008-06-30,2009-08-07 11:58:51+00:00,0.28,0.28,0.45,418000000.0,0.28,,,167000000.0,349000000.0,336000000.0,13000000.0,351000000.0,-2000000.0,2003000000.0,3229000000.0,,,158000000.0,,75000000.0,,-33000000.0,,2161000000.0,1068000000.0,194000000.0,-61000000.0,385000000.0,683000000.0,-180000000.0,503000000.0,3229000000.0,1253600000.0,1264000000.0,1266000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 16:47:30+00:00,0.83,0.83,0.94,1656000000.0,0.83,,420000000.0,758000000.0,1085000000.0,1073000000.0,12000000.0,1075000000.0,10000000.0,7757000000.0,12731000000.0,,,685000000.0,,284000000.0,,-36000000.0,,8442000000.0,4289000000.0,751000000.0,49000000.0,2040000000.0,2249000000.0,-418000000.0,1831000000.0,12731000000.0,1295200000.0,1293000000.0,1294000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 13:06:33+00:00,0.08,0.08,0.0,432000000.0,0.08,,414000000.0,244000000.0,106000000.0,107000000.0,-1000000.0,109000000.0,-3000000.0,1943000000.0,3396000000.0,,,175000000.0,,82000000.0,,-13000000.0,,2118000000.0,1278000000.0,190000000.0,14000000.0,833000000.0,445000000.0,-94000000.0,351000000.0,3396000000.0,1362500000.0,1299000000.0,1300000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 15:11:16+00:00,0.21,0.21,0.47,407000000.0,0.21,,0.0,177000000.0,282000000.0,284000000.0,-2000000.0,276000000.0,6000000.0,1831000000.0,2913000000.0,,,160000000.0,,100000000.0,,-13000000.0,,1991000000.0,922000000.0,186000000.0,19000000.0,394000000.0,528000000.0,-67000000.0,461000000.0,2913000000.0,1314300000.0,1288000000.0,1289000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,Q4,2010-10-01,2010-12-31,,0.97,0.97,0.76,-1699000000.0,0.97,,-811000000.0,171000000.0,929000000.0,427000000.0,2000000.0,427000000.0,2000000.0,2301000000.0,3445000000.0,500000000.0,500000000.0,10000000.0,-500000000.0,95000000.0,2741000000.0,-135000000.0,,2311000000.0,1134000000.0,68000000.0,31000000.0,96000000.0,1040000000.0,58000000.0,1098000000.0,3445000000.0,440000000.0,439000000.0,440000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,FY,2010-01-01,2010-12-31,2013-03-01 09:24:17+00:00,3.0,3.0,2.91,,3.0,,726000000.0,890000000.0,1323000000.0,1320000000.0,3000000.0,1320000000.0,3000000.0,10536000000.0,14272000000.0,,,702000000.0,,473000000.0,,-153000000.0,,11238000000.0,3034000000.0,840000000.0,116000000.0,573000000.0,2461000000.0,-251000000.0,2210000000.0,14272000000.0,440000000.0,439000000.0,440000000.0
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,Q3,2010-07-01,2010-09-30,2011-11-08 14:03:00+00:00,0.51,0.51,0.0,447000000.0,0.51,,44000000.0,301000000.0,666000000.0,666000000.0,0.0,670000000.0,-4000000.0,2242000000.0,3946000000.0,,,182000000.0,,116000000.0,,-4000000.0,,2424000000.0,1522000000.0,202000000.0,20000000.0,487000000.0,1033000000.0,-66000000.0,967000000.0,3946000000.0,2627400000.0,1320000000.0,1322000000.0
