company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accumulateddepreciation,aoci,assetretirementandlitigationobligation,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,noncurrentnotereceivables,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2008.0,FY,,2008-12-31,2010-02-26 16:59:55+00:00,1477000000.0,1653000000.0,16268000000.0,-726000000.0,2567000000.0,,986000000.0,0.0,20107000000.0,,362000000.0,4720000000.0,50304000000.0,680000000.0,13250000000.0,473000000.0,1135000000.0,34036000000.0,163000000.0,,,5265000000.0,,134000000.0,,1448000000.0,1130000000.0,,187000000.0,,7504000000.0,6499000000.0,257000000.0,,,,1607000000.0,1189000000.0,51000000.0,53077000000.0,20988000000.0,5273000000.0,4345000000.0,20988000000.0,21151000000.0,31926000000.0,53077000000.0,13768000000.0,27581000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,FY,,2009-12-31,2011-02-25 14:57:55+00:00,1390000000.0,845000000.0,17412000000.0,-372000000.0,3185000000.0,,1542000000.0,,20662000000.0,,428000000.0,4350000000.0,55362000000.0,593000000.0,16113000000.0,436000000.0,1515000000.0,37950000000.0,136000000.0,,,5925000000.0,,45000000.0,,968000000.0,1146000000.0,,222000000.0,,7550000000.0,5843000000.0,350000000.0,,,,1460000000.0,902000000.0,896000000.0,57040000000.0,21750000000.0,5766000000.0,4088000000.0,21750000000.0,21886000000.0,35154000000.0,57040000000.0,13324000000.0,31066000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,Q3,,2009-09-30,2009-11-06 14:15:46+00:00,1095000000.0,1489000000.0,17235000000.0,-387000000.0,2702000000.0,,1606000000.0,0.0,20567000000.0,,395000000.0,4383000000.0,53660000000.0,606000000.0,15406000000.0,458000000.0,1420000000.0,36425000000.0,137000000.0,,,5964000000.0,,133000000.0,,1299000000.0,974000000.0,,232000000.0,,7698000000.0,6239000000.0,256000000.0,,,,1428000000.0,1022000000.0,1000000.0,55774000000.0,21608000000.0,5815000000.0,3718000000.0,21608000000.0,21745000000.0,34029000000.0,55774000000.0,13534000000.0,30311000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2009.0,Q2,,2009-06-30,2009-08-07 11:58:51+00:00,1015000000.0,1511000000.0,16927000000.0,-521000000.0,2657000000.0,,706000000.0,0.0,20426000000.0,,360000000.0,4741000000.0,52356000000.0,621000000.0,14433000000.0,466000000.0,1368000000.0,35429000000.0,134000000.0,,,6037000000.0,,135000000.0,,1802000000.0,1251000000.0,,215000000.0,,7670000000.0,6081000000.0,256000000.0,,,,1321000000.0,1300000000.0,4000000.0,54709000000.0,21226000000.0,5391000000.0,4141000000.0,21226000000.0,21360000000.0,33349000000.0,54709000000.0,13889000000.0,29208000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,FY,,2010-12-31,2012-02-28 16:47:30+00:00,1387000000.0,764000000.0,18195000000.0,2000000.0,4692000000.0,,1670000000.0,0.0,21024000000.0,,412000000.0,3858000000.0,58539000000.0,467000000.0,17935000000.0,444000000.0,1318000000.0,40344000000.0,131000000.0,1632000000.0,,7337000000.0,944000000.0,42000000.0,,1169000000.0,1370000000.0,,237000000.0,,7573000000.0,,139000000.0,,,,1496000000.0,491000000.0,1302000000.0,59090000000.0,22522000000.0,6223000000.0,3897000000.0,22522000000.0,22653000000.0,36437000000.0,59090000000.0,12523000000.0,32540000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,Q3,,2010-09-30,2010-11-05 13:06:33+00:00,1387000000.0,769000000.0,18069000000.0,-294000000.0,1780000000.0,,1808000000.0,0.0,20913000000.0,,416000000.0,3857000000.0,57793000000.0,489000000.0,17762000000.0,351000000.0,1230000000.0,39724000000.0,134000000.0,,,6772000000.0,0.0,43000000.0,,987000000.0,1087000000.0,,246000000.0,,6962000000.0,5729000000.0,394000000.0,,,,1396000000.0,529000000.0,1243000000.0,57857000000.0,22015000000.0,6037000000.0,3665000000.0,22015000000.0,22149000000.0,35708000000.0,57857000000.0,12096000000.0,32043000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2010.0,Q2,,2010-06-30,2010-08-06 15:11:16+00:00,1234000000.0,756000000.0,17627000000.0,-389000000.0,1754000000.0,,1010000000.0,0.0,20790000000.0,,395000000.0,3848000000.0,56687000000.0,507000000.0,17219000000.0,358000000.0,1302000000.0,39060000000.0,136000000.0,,,6557000000.0,,42000000.0,,1157000000.0,1393000000.0,,243000000.0,,6743000000.0,5770000000.0,399000000.0,,,,726000000.0,572000000.0,1218000000.0,56400000000.0,21127000000.0,5443000000.0,3837000000.0,21127000000.0,21263000000.0,35137000000.0,56400000000.0,11897000000.0,31300000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2011.0,Q1,,2011-03-31,2011-05-09 13:41:45+00:00,1305000000.0,744000000.0,18491000000.0,30000000.0,1843000000.0,,1419000000.0,0.0,21028000000.0,,382000000.0,3862000000.0,59435000000.0,463000000.0,17226000000.0,445000000.0,1347000000.0,40944000000.0,122000000.0,,806000000.0,7400000000.0,0.0,61000000.0,,845000000.0,939000000.0,,267000000.0,,6459000000.0,5464000000.0,401000000.0,,,,1676000000.0,1304000000.0,1190000000.0,58986000000.0,22734000000.0,5545000000.0,4197000000.0,22734000000.0,22856000000.0,36130000000.0,58986000000.0,12497000000.0,31933000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2013.0,FY,,2013-12-31,2014-11-07 16:30:53+00:00,2391000000.0,3005000000.0,33625000000.0,-399000000.0,10899000000.0,,1501000000.0,0.0,39366000000.0,,551000000.0,16340000000.0,103115000000.0,,38152000000.0,390000000.0,3250000000.0,69490000000.0,78000000.0,1749000000.0,,12539000000.0,1322000000.0,,,895000000.0,2312000000.0,0.0,447000000.0,,17755000000.0,,288000000.0,66000000.0,1821000000.0,,2363000000.0,2943000000.0,44000000.0,114779000000.0,41330000000.0,10516000000.0,8644000000.0,41330000000.0,41408000000.0,73371000000.0,114779000000.0,34773000000.0,64727000000.0,
Duke Energy Corp,DUK,I1BZKREC126H0VB1BL91,1326160,2014.0,FY,,2014-12-31,2016-02-25 17:07:24+00:00,2271000000.0,2764000000.0,34824000000.0,-543000000.0,14659000000.0,,2036000000.0,0.0,39406000000.0,,569000000.0,16321000000.0,104870000000.0,,37061000000.0,358000000.0,3459000000.0,70046000000.0,24000000.0,1675000000.0,,13850000000.0,1145000000.0,,,1115000000.0,2392000000.0,364000000.0,680000000.0,,19596000000.0,,2661000000.0,35000000.0,1837000000.0,,2012000000.0,5321000000.0,,120557000000.0,40875000000.0,11575000000.0,11233000000.0,40875000000.0,40899000000.0,79658000000.0,120557000000.0,38936000000.0,68425000000.0,
