company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depositsinterestexpense,depositsinterestincome,dilutedeps,fedfundsandrepointerestexpense,impairmentexpense,incometaxexpense,investmentsecuritiesinterestincome,loansandleaseinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincometocommon,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstonetincometocommon,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,provisionforcreditlosses,salariesandemployeebenefitsexpense,shorttermborrowinginterestexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2012.0,FY,2012-01-01,2012-12-31,2015-03-02 21:23:05+00:00,77000000.0,1.15,1.15,0.27,375000000.0,4000000.0,1.15,119000000.0,0.0,381000000.0,620000000.0,3222000000.0,24000000.0,643000000.0,643000000.0,643000000.0,3227000000.0,589000000.0,71000000.0,,51000000.0,1048000000.0,1414000000.0,413000000.0,1743000000.0,101000000.0,619000000.0,3846000000.0,3457000000.0,1667000000.0,1024000000.0,4894000000.0,131000000.0,559100000.0,559998324.0,559998324.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 14:29:14+00:00,102000000.0,-6.12,-6.12,2.12,216000000.0,11000000.0,-6.12,192000000.0,4435000000.0,-42000000.0,477000000.0,3013000000.0,31000000.0,-3426000000.0,-3426000000.0,-3426000000.0,3058000000.0,602000000.0,136000000.0,,50000000.0,888000000.0,1297000000.0,479000000.0,1652000000.0,4000000.0,443000000.0,3501000000.0,7679000000.0,1632000000.0,-3468000000.0,4690000000.0,149000000.0,559800000.0,559998324.0,559998324.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,Q3,2013-07-01,2013-09-30,2014-11-14 17:11:28+00:00,26000000.0,0.26,0.26,0.68,58000000.0,2000000.0,0.26,35000000.0,0.0,76000000.0,120000000.0,751000000.0,8000000.0,144000000.0,144000000.0,144000000.0,770000000.0,149000000.0,21000000.0,,12000000.0,210000000.0,310000000.0,145000000.0,403000000.0,2000000.0,103000000.0,873000000.0,788000000.0,383000000.0,220000000.0,1153000000.0,39000000.0,553800000.0,559998324.0,559998324.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,FY,2014-01-01,2014-12-31,2017-02-24 11:24:02+00:00,145000000.0,1.55,1.55,1.43,160000000.0,5000000.0,1.55,32000000.0,,403000000.0,619000000.0,3040000000.0,82000000.0,865000000.0,865000000.0,865000000.0,3301000000.0,576000000.0,18000000.0,,49000000.0,993000000.0,1453000000.0,319000000.0,1678000000.0,89000000.0,363000000.0,3664000000.0,3392000000.0,1678000000.0,1268000000.0,4979000000.0,158000000.0,558100000.0,556674146.0,557724936.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q4,2014-10-01,2014-12-31,,43000000.0,0.35,0.35,0.1,48000000.0,1000000.0,0.35,7000000.0,,86000000.0,161000000.0,779000000.0,27000000.0,197000000.0,197000000.0,197000000.0,840000000.0,144000000.0,-2000000.0,,13000000.0,240000000.0,290000000.0,72000000.0,397000000.0,19000000.0,101000000.0,941000000.0,824000000.0,339000000.0,283000000.0,1179000000.0,38000000.0,558100000.0,556674146.0,557724936.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3YTD,2014-01-01,2014-09-30,,102000000.0,1.2,1.2,1.33,112000000.0,4000000.0,1.2,25000000.0,,317000000.0,458000000.0,2261000000.0,55000000.0,668000000.0,668000000.0,668000000.0,2461000000.0,432000000.0,20000000.0,,36000000.0,753000000.0,1163000000.0,247000000.0,1281000000.0,70000000.0,262000000.0,2723000000.0,2568000000.0,1339000000.0,985000000.0,3800000000.0,120000000.0,555900000.0,559998324.0,560243747.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3,2014-07-01,2014-09-30,2015-11-06 11:41:22+00:00,38000000.0,0.34,0.34,0.68,41000000.0,2000000.0,0.34,9000000.0,,85000000.0,155000000.0,756000000.0,22000000.0,189000000.0,189000000.0,189000000.0,820000000.0,135000000.0,1000000.0,,13000000.0,228000000.0,288000000.0,77000000.0,409000000.0,21000000.0,93000000.0,913000000.0,810000000.0,341000000.0,274000000.0,1161000000.0,39000000.0,555900000.0,559998324.0,560243747.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q2YTD,2014-01-01,2014-06-30,,64000000.0,0.86,0.86,0.65,71000000.0,2000000.0,0.86,16000000.0,,232000000.0,303000000.0,1505000000.0,33000000.0,479000000.0,479000000.0,479000000.0,1641000000.0,297000000.0,19000000.0,,23000000.0,525000000.0,875000000.0,170000000.0,872000000.0,49000000.0,169000000.0,1810000000.0,1758000000.0,998000000.0,711000000.0,2639000000.0,81000000.0,558900000.0,559998324.0,559998324.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q2,2014-04-01,2014-06-30,2015-08-07 11:11:21+00:00,33000000.0,0.56,0.56,0.61,36000000.0,1000000.0,0.56,1000000.0,,163000000.0,154000000.0,762000000.0,17000000.0,313000000.0,313000000.0,313000000.0,833000000.0,152000000.0,-2000000.0,,12000000.0,296000000.0,588000000.0,49000000.0,467000000.0,30000000.0,84000000.0,917000000.0,948000000.0,640000000.0,476000000.0,1473000000.0,42000000.0,558900000.0,559998324.0,559998324.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q1,2014-01-01,2014-03-31,2015-05-08 13:35:32+00:00,31000000.0,0.3,0.3,0.04,35000000.0,1000000.0,0.3,15000000.0,,69000000.0,149000000.0,743000000.0,16000000.0,166000000.0,166000000.0,166000000.0,808000000.0,145000000.0,21000000.0,,11000000.0,229000000.0,287000000.0,121000000.0,405000000.0,19000000.0,85000000.0,893000000.0,810000000.0,358000000.0,235000000.0,1166000000.0,39000000.0,553300000.0,559998324.0,559998324.0
