company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,customerandotherreceivables,fedfundspurchased,goodwill,interestbearingdeposits,interestbearingdepositsatotherbanks,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,FY,,2013-12-31,2015-03-02 21:23:05+00:00,1221000000.0,-648000000.0,2757000000.0,0.0,18609000000.0,446000000.0,4791000000.0,6876000000.0,61972000000.0,233000000.0,85859000000.0,1254000000.0,1405000000.0,84638000000.0,638000000.0,30208000000.0,4352000000.0,1392000000.0,1235000000.0,3190000000.0,122154000000.0,19196000000.0,19196000000.0,19196000000.0,102958000000.0,122154000000.0,0.0,20960000000.0,0.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,FY,,2014-12-31,2016-02-26 14:29:14+00:00,1195000000.0,-372000000.0,3276000000.0,0.0,18682000000.0,,4276000000.0,6876000000.0,69621000000.0,370000000.0,93410000000.0,281000000.0,4642000000.0,92215000000.0,595000000.0,26086000000.0,4778000000.0,2099000000.0,1294000000.0,6865000000.0,132857000000.0,19268000000.0,19268000000.0,19268000000.0,113589000000.0,132857000000.0,0.0,24466000000.0,-336000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3,,2014-09-30,2014-11-14 17:11:28+00:00,1201000000.0,-435000000.0,2889000000.0,0.0,18666000000.0,2067000000.0,5184000000.0,6876000000.0,67586000000.0,292000000.0,90749000000.0,208000000.0,2062000000.0,89548000000.0,541000000.0,25877000000.0,4418000000.0,3896000000.0,1152000000.0,7353000000.0,131341000000.0,19383000000.0,19383000000.0,19383000000.0,111958000000.0,131341000000.0,0.0,24502000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,FY,,2015-12-31,2017-02-24 11:24:02+00:00,1216000000.0,-387000000.0,3099000000.0,0.0,18731000000.0,,802000000.0,6876000000.0,74890000000.0,356000000.0,99042000000.0,365000000.0,9886000000.0,97826000000.0,595000000.0,27649000000.0,5268000000.0,2220000000.0,1913000000.0,3115000000.0,138208000000.0,19399000000.0,19646000000.0,19646000000.0,118562000000.0,138208000000.0,247000000.0,23837000000.0,-858000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,Q3,,2015-09-30,2015-11-06 11:41:22+00:00,1201000000.0,-259000000.0,1756000000.0,0.0,18724000000.0,,1293000000.0,6876000000.0,74493000000.0,363000000.0,97431000000.0,420000000.0,4153000000.0,96230000000.0,560000000.0,27373000000.0,4872000000.0,2033000000.0,1745000000.0,6502000000.0,135447000000.0,19353000000.0,19600000000.0,19600000000.0,115847000000.0,135447000000.0,247000000.0,24370000000.0,-857000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,Q2,,2015-06-30,2015-08-07 11:11:21+00:00,1201000000.0,-359000000.0,2869000000.0,0.0,18720000000.0,939000000.0,3784000000.0,6876000000.0,73937000000.0,186000000.0,96538000000.0,697000000.0,3890000000.0,95337000000.0,580000000.0,26678000000.0,4873000000.0,2058000000.0,1585000000.0,7318000000.0,137251000000.0,19339000000.0,19586000000.0,19586000000.0,117665000000.0,137251000000.0,247000000.0,24894000000.0,-607000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,Q1,,2015-03-31,2015-05-08 13:35:32+00:00,1202000000.0,-240000000.0,5004000000.0,0.0,18713000000.0,,4421000000.0,6876000000.0,72320000000.0,615000000.0,94494000000.0,376000000.0,3904000000.0,93292000000.0,584000000.0,26670000000.0,4827000000.0,1975000000.0,1448000000.0,7681000000.0,136535000000.0,19564000000.0,19564000000.0,19564000000.0,116971000000.0,136535000000.0,0.0,24961000000.0,-357000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2016.0,FY,,2016-12-31,2018-02-22 13:24:06+00:00,1236000000.0,-668000000.0,3704000000.0,0.0,18728000000.0,0.0,1148000000.0,6876000000.0,81332000000.0,439000000.0,107669000000.0,625000000.0,12790000000.0,106433000000.0,601000000.0,28472000000.0,5547000000.0,2161000000.0,2703000000.0,3870000000.0,149520000000.0,19500000000.0,19747000000.0,19747000000.0,129773000000.0,149520000000.0,247000000.0,25295000000.0,-1263000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2016.0,Q3,,2016-09-30,2016-11-04 11:47:24+00:00,1240000000.0,-187000000.0,2915000000.0,0.0,18746000000.0,,900000000.0,6876000000.0,81035000000.0,720000000.0,105467000000.0,526000000.0,11902000000.0,104227000000.0,540000000.0,27292000000.0,5282000000.0,2353000000.0,2483000000.0,3352000000.0,147015000000.0,19934000000.0,20181000000.0,20181000000.0,126834000000.0,147015000000.0,247000000.0,25929000000.0,-1108000000.0
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2016.0,Q2,,2016-06-30,2016-08-05 11:38:04+00:00,1246000000.0,-159000000.0,3655000000.0,0.0,18741000000.0,132000000.0,717000000.0,6876000000.0,79149000000.0,727000000.0,103551000000.0,850000000.0,11810000000.0,102305000000.0,551000000.0,27108000000.0,5250000000.0,2307000000.0,2255000000.0,3866000000.0,145183000000.0,19979000000.0,20226000000.0,20226000000.0,124957000000.0,145183000000.0,247000000.0,24837000000.0,-858000000.0
