company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netchangeindeposits,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,provisionforloanlosses,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2012.0,FY,2012-01-01,2012-12-31,2015-03-02 21:23:05+00:00,97000000.0,201000000.0,644000000.0,467000000.0,-93000000.0,,337000000.0,-3264000000.0,919000000.0,1714000000.0,-3264000000.0,919000000.0,1714000000.0,-631000000.0,2584000000.0,643000000.0,643000000.0,187000000.0,-551000000.0,,-150000000.0,413000000.0,-8489000000.0,-193000000.0,-5484000000.0,0.0,9601000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 14:29:14+00:00,73000000.0,20000000.0,452000000.0,404000000.0,429000000.0,0.0,2752000000.0,-502000000.0,-2453000000.0,2649000000.0,-502000000.0,-2453000000.0,2649000000.0,-306000000.0,-2968000000.0,-3426000000.0,-3426000000.0,4690000000.0,1190000000.0,,-1185000000.0,479000000.0,-11765000000.0,-208000000.0,-291000000.0,0.0,9520000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,Q4,2013-10-01,2013-12-31,,16000000.0,1000000.0,98000000.0,100000000.0,470000000.0,,2022000000.0,1833000000.0,-2671000000.0,1011000000.0,1833000000.0,-2671000000.0,1013000000.0,175000000.0,-1750000000.0,152000000.0,152000000.0,141000000.0,1932000000.0,,-374000000.0,132000000.0,-2787000000.0,-79000000.0,3000000.0,,195000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2013.0,Q3YTD,2013-01-01,2013-09-30,2014-11-14 17:11:28+00:00,57000000.0,19000000.0,354000000.0,304000000.0,-41000000.0,,730000000.0,-2335000000.0,218000000.0,1638000000.0,-2335000000.0,218000000.0,1636000000.0,-481000000.0,-1218000000.0,-3578000000.0,-3578000000.0,4549000000.0,-742000000.0,,-811000000.0,347000000.0,-8978000000.0,-129000000.0,-294000000.0,,9325000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,FY,2014-01-01,2014-12-31,2017-02-24 11:24:02+00:00,46000000.0,391000000.0,338000000.0,386000000.0,-342000000.0,0.0,7251000000.0,9403000000.0,-10274000000.0,1390000000.0,9403000000.0,-10274000000.0,1390000000.0,519000000.0,3813000000.0,865000000.0,865000000.0,116000000.0,-515000000.0,,-806000000.0,319000000.0,-16939000000.0,-170000000.0,-6000000.0,-334000000.0,6835000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q4,2014-10-01,2014-12-31,,10000000.0,391000000.0,338000000.0,73000000.0,-279000000.0,,2123000000.0,3071000000.0,-2867000000.0,183000000.0,3071000000.0,-2867000000.0,183000000.0,387000000.0,2244000000.0,197000000.0,197000000.0,110000000.0,-908000000.0,,-55000000.0,72000000.0,-5696000000.0,-54000000.0,1000000.0,-334000000.0,2883000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3TTM,2013-10-01,2014-09-30,,52000000.0,1000000.0,98000000.0,413000000.0,407000000.0,,7150000000.0,8165000000.0,-10078000000.0,2218000000.0,8165000000.0,-10078000000.0,2220000000.0,307000000.0,-181000000.0,820000000.0,820000000.0,147000000.0,2325000000.0,,-1125000000.0,379000000.0,-14030000000.0,-195000000.0,-4000000.0,,4147000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3,2014-07-01,2014-09-30,,12000000.0,,,117000000.0,-169000000.0,,-655000000.0,-856000000.0,-1797000000.0,186000000.0,-856000000.0,-1797000000.0,186000000.0,-2467000000.0,1807000000.0,189000000.0,189000000.0,-40000000.0,-1623000000.0,,-383000000.0,77000000.0,-3377000000.0,-36000000.0,-2000000.0,,1616000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-11-06 11:41:22+00:00,36000000.0,,,313000000.0,-63000000.0,0.0,5128000000.0,6332000000.0,-7407000000.0,1207000000.0,6332000000.0,-7407000000.0,1207000000.0,132000000.0,1569000000.0,668000000.0,668000000.0,6000000.0,393000000.0,,-751000000.0,247000000.0,-11243000000.0,-116000000.0,-7000000.0,0.0,3952000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q2,2014-04-01,2014-06-30,,12000000.0,,,100000000.0,-101000000.0,,3083000000.0,2757000000.0,-574000000.0,321000000.0,2757000000.0,-574000000.0,321000000.0,2504000000.0,-708000000.0,313000000.0,313000000.0,-52000000.0,727000000.0,,-343000000.0,49000000.0,-1425000000.0,-40000000.0,-2000000.0,,891000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q2YTD,2014-01-01,2014-06-30,2015-08-07 11:11:21+00:00,24000000.0,,,196000000.0,106000000.0,0.0,5783000000.0,7188000000.0,-5610000000.0,1021000000.0,7188000000.0,-5610000000.0,1021000000.0,2599000000.0,-238000000.0,479000000.0,479000000.0,46000000.0,2016000000.0,,-368000000.0,170000000.0,-7866000000.0,-80000000.0,-5000000.0,0.0,2336000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2014.0,Q1,2014-01-01,2014-03-31,2015-05-08 13:35:32+00:00,12000000.0,,,96000000.0,207000000.0,,2700000000.0,4431000000.0,-5036000000.0,700000000.0,4431000000.0,-5036000000.0,700000000.0,95000000.0,470000000.0,166000000.0,166000000.0,98000000.0,1289000000.0,,-25000000.0,121000000.0,-6441000000.0,-40000000.0,-3000000.0,,1445000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,FY,2015-01-01,2015-12-31,2018-02-22 13:24:06+00:00,17000000.0,157000000.0,454000000.0,471000000.0,-628000000.0,247000000.0,6750000000.0,4485000000.0,-5905000000.0,1229000000.0,4485000000.0,-5905000000.0,1229000000.0,-191000000.0,6832000000.0,840000000.0,840000000.0,227000000.0,-3474000000.0,,-221000000.0,302000000.0,-14140000000.0,-178000000.0,-5149000000.0,-500000000.0,8413000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,Q4,2015-10-01,2015-12-31,,4000000.0,157000000.0,454000000.0,121000000.0,-317000000.0,,6500000000.0,2640000000.0,-1709000000.0,398000000.0,2640000000.0,-1709000000.0,398000000.0,1329000000.0,673000000.0,221000000.0,221000000.0,278000000.0,-491000000.0,,-53000000.0,91000000.0,-3374000000.0,-36000000.0,-3989000000.0,,1701000000.0,
Citizens Financial Group Inc,CFG,2138004JDDA4ZQUPFW65,759944,2015.0,Q3YTD,2015-01-01,2015-09-30,2016-11-04 11:47:24+00:00,13000000.0,,,350000000.0,-311000000.0,247000000.0,250000000.0,1845000000.0,-4196000000.0,831000000.0,1845000000.0,-4196000000.0,831000000.0,-1520000000.0,6159000000.0,619000000.0,619000000.0,-51000000.0,-2983000000.0,,-168000000.0,211000000.0,-10766000000.0,-142000000.0,-1160000000.0,-500000000.0,6712000000.0,
