company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q4,2008-10-01,2008-12-31,,-600000.0,154100000.0,,-34200000.0,-320700000.0,-300000.0,815100000.0,-329400000.0,-74400000.0,326300000.0,,-329400000.0,-74400000.0,326300000.0,-111700000.0,-684200000.0,-684300000.0,100000.0,1177200000.0,22500000.0,100000.0,-53400000.0,,-84200000.0,-1079900000.0,-33400000.0,10300000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:35:16+00:00,-122100000.0,640600000.0,,-42900000.0,-632600000.0,1900000.0,1281800000.0,-678900000.0,-351200000.0,1018800000.0,-800000.0,-678900000.0,-351200000.0,1018000000.0,-55000000.0,-183600000.0,-185400000.0,1800000.0,1196200000.0,22500000.0,40600000.0,-221300000.0,,-322900000.0,-1485000000.0,-278800000.0,53200000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q3,2008-07-01,2008-09-30,,700000.0,164700000.0,,-25600000.0,-58600000.0,500000.0,282000000.0,-213200000.0,-79800000.0,319000000.0,,-213200000.0,-79800000.0,319000000.0,400000.0,169400000.0,169400000.0,,43500000.0,,100000.0,-54900000.0,,-81300000.0,-300400000.0,-140400000.0,700000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q2,2008-04-01,2008-06-30,,-900000.0,164200000.0,,2300000.0,-45800000.0,600000.0,-32800000.0,-184700000.0,-27000000.0,247000000.0,,-184700000.0,-27000000.0,247000000.0,37600000.0,148800000.0,147600000.0,1200000.0,-19000000.0,,31700000.0,-56400000.0,,-85500000.0,-50300000.0,-45800000.0,27700000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:59:10+00:00,-26600000.0,579000000.0,,38300000.0,615200000.0,1500000.0,1395000000.0,-1028000000.0,-260900000.0,1425800000.0,,-1028000000.0,-260900000.0,1425800000.0,175200000.0,-21400000.0,-21400000.0,,253000000.0,,-37500000.0,-216000000.0,-4000000.0,-195000000.0,-2208500000.0,,2200000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q2TTM,2008-07-01,2009-06-30,,-26500000.0,610500000.0,,-35400000.0,-71000000.0,200000.0,1897100000.0,-1158400000.0,-266600000.0,1496000000.0,,-1158400000.0,-266600000.0,1496000000.0,35600000.0,-472200000.0,-472300000.0,100000.0,1428800000.0,22500000.0,6200000.0,-216600000.0,,-257600000.0,-2687800000.0,-173800000.0,11300000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q2,2009-04-01,2009-06-30,,-3000000.0,143700000.0,,36600000.0,123200000.0,,,-865100000.0,-40200000.0,312000000.0,,-865100000.0,-40200000.0,312000000.0,-556700000.0,26200000.0,26200000.0,,18900000.0,,,-54300000.0,,-37200000.0,-810800000.0,,
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q1TTM,2008-04-01,2009-03-31,,-24400000.0,631000000.0,,-69700000.0,-62300000.0,800000.0,1864300000.0,-478000000.0,-253400000.0,1431000000.0,,-478000000.0,-253400000.0,1431000000.0,629900000.0,-349600000.0,-350900000.0,1300000.0,1213200000.0,22500000.0,37900000.0,-218700000.0,,-305900000.0,-1927300000.0,-219600000.0,39000000.0
RR Donnelley & Sons Co,RRD,,29669,2010.0,Q4,2010-10-01,2010-12-31,,-439800000.0,135500000.0,-2200000.0,6600000.0,15200000.0,1400000.0,120000000.0,31700000.0,-522200000.0,271400000.0,,31700000.0,-522200000.0,271400000.0,-212500000.0,26100000.0,26100000.0,,94600000.0,,100000.0,-53700000.0,,-84500000.0,-36000000.0,,4200000.0
RR Donnelley & Sons Co,RRD,,29669,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 16:55:44+00:00,-439800000.0,539200000.0,,-100000.0,-202200000.0,9200000.0,520000000.0,-58000000.0,-674500000.0,752500000.0,,-58000000.0,-674500000.0,752500000.0,19900000.0,217100000.0,217100000.0,,198400000.0,,300000.0,-216000000.0,-31700000.0,-229400000.0,-371200000.0,,26100000.0
