company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstoconsolidatednetincome,otheradjustmentstonetincometocommon,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
RR Donnelley & Sons Co,RRD,,29669,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 16:42:29+00:00,-0.22,-0.22,,598300000.0,-0.22,136500000.0,-45600000.0,-45100000.0,-500000.0,-48900000.0,3300000.0,8532400000.0,11587100000.0,,,,,,839000000.0,1302300000.0,8532400000.0,3054700000.0,227300000.0,3600000.0,2739600000.0,315100000.0,-223700000.0,91400000.0,11587100000.0,222300000.0,218000000.0,218000000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q4,2008-10-01,2008-12-31,,-3.24,-3.24,0.26,154100000.0,-3.24,-273400000.0,-686000000.0,-682500000.0,-1700000.0,-686900000.0,2700000.0,3464400000.0,2796300000.0,-1800000.0,-1800000.0,1800000.0,-2400000.0,-1340100000.0,1138200000.0,272700000.0,3464400000.0,-668100000.0,55400000.0,-6900000.0,224900000.0,-893000000.0,-64700000.0,-957700000.0,2796300000.0,211000000.0,210200000.0,210200000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 16:51:52+00:00,0.8,0.8,0.26,164700000.0,0.8,79700000.0,169400000.0,169400000.0,0.0,168200000.0,1200000.0,2090300000.0,2864600000.0,,,,,,23400000.0,279800000.0,2090300000.0,774300000.0,56200000.0,-1100000.0,467900000.0,306400000.0,-57300000.0,249100000.0,2864600000.0,210300000.0,209100000.0,209700000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q3YTD,2008-01-01,2008-09-30,,2.34,2.34,0.78,486500000.0,2.34,189500000.0,500600000.0,498900000.0,1700000.0,497000000.0,3600000.0,4308500000.0,8785300000.0,,,,,2143500000.0,46500000.0,947800000.0,4308500000.0,4476800000.0,171000000.0,6900000.0,3624300000.0,852500000.0,-164100000.0,688400000.0,8785300000.0,210300000.0,209100000.0,209700000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 16:42:56+00:00,0.69,0.69,0.26,164200000.0,0.69,74400000.0,148800000.0,147600000.0,1200000.0,146300000.0,2500000.0,2143500000.0,2923600000.0,,,,,,16200000.0,323300000.0,2143500000.0,780100000.0,57800000.0,3400000.0,503700000.0,276400000.0,-54400000.0,222000000.0,2923600000.0,212000000.0,212300000.0,212900000.0
RR Donnelley & Sons Co,RRD,,29669,2008.0,Q2YTD,2008-01-01,2008-06-30,,1.54,1.54,0.52,321800000.0,1.54,109800000.0,331200000.0,329500000.0,1700000.0,328800000.0,2400000.0,2218200000.0,5920700000.0,,,,,2143500000.0,23100000.0,668000000.0,2218200000.0,3702500000.0,114800000.0,8000000.0,3156400000.0,546100000.0,-106800000.0,439300000.0,5920700000.0,212000000.0,212300000.0,212900000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,FY,2009-01-01,2009-12-31,2012-02-22 16:59:10+00:00,-0.13,-0.13,1.04,579000000.0,-0.13,114500000.0,-21400000.0,-21400000.0,,-27300000.0,5900000.0,7462900000.0,9857400000.0,,,,-3600000.0,,382700000.0,1088500000.0,7462900000.0,2394500000.0,247600000.0,,2050200000.0,344300000.0,-251200000.0,93100000.0,9857400000.0,210000000.0,205200000.0,205200000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q4,2009-10-01,2009-12-31,,-0.38,-0.38,0.26,142300000.0,-0.38,49500000.0,-78600000.0,-78600000.0,,-79500000.0,900000.0,1982400000.0,2583100000.0,,,,-3600000.0,,148600000.0,281300000.0,1982400000.0,600700000.0,68900000.0,14900000.0,572200000.0,28500000.0,-57600000.0,-29100000.0,2583100000.0,210000000.0,205200000.0,205200000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:34:02+00:00,0.06,0.06,0.26,145000000.0,0.06,5600000.0,14600000.0,14600000.0,,13100000.0,1500000.0,1841400000.0,2463100000.0,,,,,,131700000.0,251600000.0,1841400000.0,621700000.0,59600000.0,-13600000.0,528300000.0,93400000.0,-73200000.0,20200000.0,2463100000.0,218300000.0,205300000.0,208500000.0
RR Donnelley & Sons Co,RRD,,29669,2009.0,Q3TTM,2008-10-01,2009-09-30,,-2.99,-2.99,1.04,590800000.0,-2.99,-208400000.0,-628800000.0,-625300000.0,-1700000.0,-634700000.0,7700000.0,8944900000.0,10070600000.0,-1800000.0,-1800000.0,1800000.0,-2400000.0,-1340100000.0,1372300000.0,1079900000.0,8944900000.0,1125700000.0,234100000.0,-21800000.0,1702900000.0,-577200000.0,-258300000.0,-835500000.0,10070600000.0,218300000.0,205300000.0,208500000.0
