company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,depositsinterestexpense,depositsinterestincome,dilutedeps,incometaxexpense,investmentbankingincome,investmentsecuritiesinterestincome,loansandleaseinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstonetincometocommon,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,preferreddividends,propertyliabilityinsuranceclaims,provisionforcreditlosses,restructuringcharge,salariesandemployeebenefitsexpense,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,trustfeeincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 15:28:14+00:00,,0.52,0.52,,213600000.0,,0.52,75500000.0,,52200000.0,568100000.0,6800000.0,150700000.0,149200000.0,1500000.0,150700000.0,,486600000.0,67100000.0,8500000.0,,86700000.0,10500000.0,156600000.0,152800000.0,,,8000000.0,0.0,215600000.0,220400000.0,707000000.0,439300000.0,185400000.0,224700000.0,672000000.0,13600000.0,289800000.0,289800000.0,289800000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2008.0,FY,2008-01-01,2008-12-31,2011-03-01 16:03:36+00:00,,0.41,0.41,,262100000.0,,0.41,67000000.0,,38300000.0,832000000.0,18700000.0,137800000.0,137800000.0,,137800000.0,,636400000.0,110300000.0,14800000.0,,46900000.0,8300000.0,230200000.0,264500000.0,,,26200000.0,23900000.0,344600000.0,280800000.0,917200000.0,709000000.0,303600000.0,204800000.0,940000000.0,16000000.0,336100000.0,336100000.0,336100000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2008.0,Q3,2008-07-01,2008-09-30,2009-11-09 13:45:13+00:00,,0.14,0.14,,58000000.0,,0.14,22500000.0,,5300000.0,204600000.0,4600000.0,46000000.0,46000000.0,,46000000.0,,159800000.0,26100000.0,1300000.0,,12500000.0,2100000.0,47000000.0,66700000.0,,,6800000.0,0.0,85600000.0,62600000.0,222400000.0,158700000.0,74200000.0,68500000.0,234000000.0,4100000.0,328600000.0,328600000.0,328600000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2008.0,Q2,2008-04-01,2008-06-30,2009-08-10 14:21:18+00:00,,0.13,0.13,,65800000.0,,0.13,22100000.0,,11300000.0,206800000.0,4700000.0,43000000.0,43000000.0,,43000000.0,,157000000.0,26100000.0,2000000.0,,9400000.0,1700000.0,50100000.0,65500000.0,,,2400000.0,0.0,86700000.0,70500000.0,227500000.0,162900000.0,73400000.0,65100000.0,230400000.0,4200000.0,330800000.0,330800000.0,330800000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,FY,2009-01-01,2009-12-31,2012-02-29 17:09:42+00:00,,0.3,0.3,,173400000.0,,0.3,43100000.0,,33200000.0,727100000.0,16600000.0,101200000.0,101200000.0,,101200000.0,,576800000.0,109800000.0,35900000.0,,6500000.0,8400000.0,197500000.0,227800000.0,,,57000000.0,2000000.0,350500000.0,190000000.0,766800000.0,659800000.0,284300000.0,144300000.0,861100000.0,12200000.0,337300000.0,337300000.0,337300000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q4,2009-10-01,2009-12-31,,,0.07,0.07,,35900000.0,,0.07,8500000.0,,8600000.0,177100000.0,4100000.0,24900000.0,24900000.0,,24900000.0,,147500000.0,28000000.0,2900000.0,,1800000.0,1900000.0,28200000.0,39200000.0,,,13600000.0,2000000.0,89200000.0,40000000.0,187500000.0,147400000.0,46900000.0,33400000.0,194400000.0,2900000.0,337300000.0,337300000.0,337300000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q3,2009-07-01,2009-09-30,2010-11-09 13:42:10+00:00,,0.08,0.08,,42500000.0,,0.08,12100000.0,,7900000.0,182600000.0,4100000.0,26800000.0,26800000.0,,26800000.0,,145300000.0,27500000.0,9900000.0,,1400000.0,2200000.0,51600000.0,65300000.0,,,21500000.0,0.0,86000000.0,46600000.0,191900000.0,165100000.0,80200000.0,38900000.0,225500000.0,2800000.0,335000000.0,335000000.0,335000000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q3YTD,2009-01-01,2009-09-30,,,0.23,0.23,0.46,137500000.0,,0.23,34600000.0,,24600000.0,550000000.0,12500000.0,76300000.0,76300000.0,,76300000.0,,429300000.0,81800000.0,33000000.0,,4700000.0,6500000.0,169300000.0,188600000.0,,,43400000.0,,261300000.0,150000000.0,579300000.0,512400000.0,237400000.0,110900000.0,666700000.0,9300000.0,335000000.0,335000000.0,335000000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.16,0.16,0.32,95000000.0,,0.16,22500000.0,,16700000.0,367400000.0,8400000.0,49500000.0,49500000.0,,49500000.0,,284000000.0,54300000.0,23100000.0,,3300000.0,4300000.0,117700000.0,123300000.0,,,21900000.0,,175300000.0,103400000.0,387400000.0,347300000.0,157200000.0,72000000.0,441200000.0,6500000.0,316300000.0,316300000.0,316300000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 13:56:09+00:00,,0.08,0.08,,46800000.0,,0.08,10700000.0,,7400000.0,183200000.0,4200000.0,25300000.0,25300000.0,,25300000.0,,141200000.0,26300000.0,15800000.0,,1600000.0,2700000.0,63300000.0,63300000.0,,,14000000.0,0.0,86600000.0,51000000.0,192200000.0,176200000.0,85000000.0,36000000.0,226200000.0,3200000.0,316300000.0,316300000.0,316300000.0
