company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,allowanceforloanandleaselosses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,fedfundspurchased,goodwill,intangibleassets,interestbearingdeposits,loansandleases,loansheldforsale,longtermdebt,netloansandleases,netpremisesandequipment,noninterestbearingdeposits,otherassets,otherequity,otherlongtermliabilities,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalpreferredequity,tradingaccountsecurities,treasurystock
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2008.0,FY,,2008-12-31,2009-11-09 13:45:13+00:00,157500000.0,-75400000.0,345100000.0,,4488600000.0,,1261700000.0,274100000.0,11096000000.0,14565700000.0,,195600000.0,14408200000.0,262400000.0,3173400000.0,1745600000.0,-202400000.0,356100000.0,1020900000.0,172800000.0,20167700000.0,5173800000.0,5173800000.0,5173800000.0,14993900000.0,20167700000.0,,1870600000.0,-57900000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,FY,,2009-12-31,2011-03-01 16:03:36+00:00,172500000.0,-74800000.0,326000000.0,,4514800000.0,,1261700000.0,253500000.0,11936600000.0,14233800000.0,,196600000.0,14061300000.0,264500000.0,3509000000.0,3819500000.0,-195200000.0,370200000.0,914500000.0,144100000.0,21257200000.0,5100700000.0,5100700000.0,5100700000.0,16156500000.0,21257200000.0,,1270700000.0,-58600000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q3,,2009-09-30,2009-11-09 13:45:13+00:00,172500000.0,-81400000.0,410900000.0,,4509800000.0,,1261700000.0,258500000.0,11857600000.0,14301600000.0,,196500000.0,14129100000.0,261700000.0,3192800000.0,2825200000.0,-197000000.0,309000000.0,943400000.0,139000000.0,20810100000.0,5115200000.0,5115200000.0,5115200000.0,15694900000.0,20810100000.0,,1663000000.0,-59600000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2009.0,Q2,,2009-06-30,2009-08-10 14:21:18+00:00,167000000.0,-83300000.0,343000000.0,,4504100000.0,,1261700000.0,263600000.0,11712600000.0,14552600000.0,,195800000.0,14385600000.0,258200000.0,3310400000.0,3439600000.0,-198800000.0,310600000.0,974700000.0,145500000.0,20811500000.0,5136600000.0,5136600000.0,5136600000.0,15674900000.0,20811500000.0,,859800000.0,-60100000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2010.0,Q3,,2010-09-30,2010-11-09 13:42:10+00:00,172500000.0,-59400000.0,320300000.0,0.0,4949700000.0,,1533600000.0,238700000.0,12247700000.0,15214800000.0,,192600000.0,15042300000.0,254100000.0,3427200000.0,1324700000.0,-189700000.0,421100000.0,798500000.0,244200000.0,21897300000.0,5364500000.0,5364500000.0,5364500000.0,16532800000.0,21897300000.0,,3183600000.0,-134600000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2010.0,Q2,,2010-06-30,2010-08-09 13:56:09+00:00,172500000.0,-60500000.0,357500000.0,,4944400000.0,,1533400000.0,244800000.0,12413200000.0,15214900000.0,,190000000.0,15042400000.0,255000000.0,3421100000.0,2019500000.0,-191500000.0,379700000.0,831100000.0,133000000.0,21950300000.0,5413300000.0,5413300000.0,5413300000.0,16537000000.0,21950300000.0,,2497700000.0,-110200000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2010.0,Q1,,2010-03-31,2010-05-10 15:10:06+00:00,172500000.0,-72800000.0,296300000.0,,4928400000.0,,1517700000.0,248800000.0,12084100000.0,15311300000.0,,192700000.0,15138800000.0,258200000.0,3313300000.0,3273200000.0,-193300000.0,355300000.0,874500000.0,164100000.0,21588100000.0,5478600000.0,5478600000.0,5478600000.0,16109500000.0,21588100000.0,,855100000.0,-58200000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2011.0,FY,,2011-12-31,2013-03-01 15:04:34+00:00,182900000.0,-95800000.0,370200000.0,0.0,5250900000.0,,1951400000.0,222800000.0,16309600000.0,20384800000.0,101900000.0,492000000.0,20201900000.0,339600000.0,4506200000.0,1516800000.0,-180700000.0,510800000.0,734500000.0,524300000.0,27558300000.0,5215400000.0,5215400000.0,5215400000.0,22342900000.0,27558300000.0,,2853700000.0,-493500000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2011.0,Q1,,2011-03-31,2011-05-10 16:17:21+00:00,177500000.0,-98400000.0,315200000.0,0.0,4985200000.0,200000000.0,1719900000.0,232700000.0,14320600000.0,17523100000.0,18000000.0,657900000.0,17345600000.0,326000000.0,3789500000.0,1861100000.0,-186100000.0,357700000.0,767200000.0,476300000.0,24962300000.0,5160300000.0,5160300000.0,5160300000.0,19802000000.0,24962300000.0,,3143800000.0,-307600000.0
People's United Financial Inc,PBCT,ROPY7PEPIPIDJNF0BO69,1378946,2012.0,Q3,,2012-09-30,2012-11-02 12:42:27+00:00,186000000.0,-79000000.0,358300000.0,0.0,5267800000.0,415000000.0,1954500000.0,205800000.0,16615700000.0,21040000000.0,60000000.0,789700000.0,20854000000.0,334700000.0,4746900000.0,1095200000.0,-175300000.0,421300000.0,750100000.0,480000000.0,28576000000.0,5107400000.0,5107400000.0,5107400000.0,23468600000.0,28576000000.0,,3713500000.0,-656200000.0
