company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2008.0,FY,,2008-12-31,2010-02-09 17:21:42+00:00,107417000.0,446665000.0,-11106000.0,622385000.0,,6074106000.0,223260000.0,1138621000.0,2161058000.0,1085431000.0,891406000.0,263602000.0,1594754000.0,27869000.0,,356017000.0,346325000.0,534887000.0,29991000.0,,235152000.0,280369000.0,270180000.0,27667000.0,779023000.0,8478991000.0,5806083000.0,2458000000.0,923222000.0,5806083000.0,5833952000.0,2645039000.0,8478991000.0,4426237000.0,1721817000.0,0.0,-527097000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2009.0,FY,,2009-12-31,2011-02-04 17:06:26+00:00,118534000.0,551208000.0,50496000.0,581889000.0,,5782064000.0,75891000.0,1138621000.0,1871078000.0,1080207000.0,1194080000.0,293950000.0,1637083000.0,40352000.0,,240618000.0,371713000.0,500755000.0,,,230397000.0,254205000.0,1068890000.0,19762000.0,681835000.0,8551854000.0,6221530000.0,2480595000.0,714942000.0,6221530000.0,6261882000.0,2289972000.0,8551854000.0,4434176000.0,1575030000.0,0.0,-679920000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2009.0,Q3,,2009-09-30,2009-10-21 16:58:16+00:00,108547000.0,550995000.0,37114000.0,585788000.0,,6184464000.0,59961000.0,1138621000.0,1927115000.0,1085844000.0,1497447000.0,278686000.0,1634696000.0,33621000.0,,289654000.0,334902000.0,537408000.0,0.0,,256299000.0,331761000.0,781321000.0,15452000.0,821888000.0,9026437000.0,6564189000.0,2572259000.0,721368000.0,6564189000.0,6597810000.0,2428627000.0,9026437000.0,4819482000.0,1707259000.0,0.0,-438710000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2009.0,Q2,,2009-06-30,2009-07-16 19:50:27+00:00,210941000.0,511286000.0,11293000.0,786804000.0,0.0,6143085000.0,81594000.0,1138621000.0,1978519000.0,1085607000.0,1047611000.0,268529000.0,1608660000.0,,,310962000.0,341389000.0,496694000.0,0.0,33167000.0,259507000.0,330996000.0,516632000.0,14697000.0,836270000.0,8777196000.0,6245705000.0,2744278000.0,803926000.0,6245705000.0,6245705000.0,2531491000.0,8777196000.0,4424258000.0,1727565000.0,0.0,-458472000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2010.0,FY,,2010-12-31,2012-02-03 17:19:40+00:00,162529000.0,605329000.0,-21610000.0,759598000.0,0.0,3895227000.0,84517000.0,1146314000.0,1772826000.0,1066379000.0,743101000.0,289066000.0,1641634000.0,52937000.0,,200950000.0,438281000.0,665923000.0,,,248198000.0,325599000.0,1872481000.0,137153000.0,448146000.0,8092493000.0,5396506000.0,2540420000.0,1050122000.0,5396506000.0,5449443000.0,2643050000.0,8092493000.0,3910439000.0,1592928000.0,0.0,-349592000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2010.0,Q3,,2010-09-30,2010-10-26 14:10:49+00:00,143699000.0,616697000.0,-9161000.0,626757000.0,,3855814000.0,115689000.0,1138621000.0,1715342000.0,1068776000.0,560006000.0,269313000.0,1641791000.0,39506000.0,,174615000.0,420529000.0,553796000.0,,,207256000.0,256075000.0,1646852000.0,11296000.0,197835000.0,7394147000.0,5030695000.0,2131131000.0,824480000.0,5030695000.0,5070201000.0,2323946000.0,7394147000.0,3621225000.0,1499466000.0,0.0,-462810000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2010.0,Q2,,2010-06-30,2010-07-20 16:23:10+00:00,144476000.0,548893000.0,-28422000.0,720962000.0,,4282868000.0,113283000.0,1138621000.0,1768929000.0,1069725000.0,566118000.0,267878000.0,1571521000.0,40484000.0,,207492000.0,468788000.0,487803000.0,,,201730000.0,257985000.0,1405340000.0,10096000.0,248710000.0,7502150000.0,5170806000.0,2255231000.0,755658000.0,5170806000.0,5211290000.0,2290860000.0,7502150000.0,3675398000.0,1535202000.0,0.0,-488980000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2010.0,Q1,,2010-03-31,2010-04-20 15:31:56+00:00,121356000.0,560777000.0,22872000.0,639559000.0,,5268604000.0,108972000.0,1138621000.0,1822133000.0,1076201000.0,1032223000.0,280038000.0,1604573000.0,41222000.0,,248898000.0,415523000.0,432887000.0,,,210761000.0,259300000.0,1131523000.0,19115000.0,513115000.0,8217323000.0,5909372000.0,2409012000.0,682330000.0,5909372000.0,5950594000.0,2266729000.0,8217323000.0,4203738000.0,1584399000.0,0.0,-513627000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2011.0,FY,,2011-12-31,2013-02-05 06:42:21+00:00,186448000.0,584603000.0,-26535000.0,514542000.0,0.0,4185176000.0,45939000.0,1146314000.0,1608191000.0,1060808000.0,1416737000.0,326843000.0,1571387000.0,1488000.0,,248644000.0,373324000.0,677210000.0,,,331548000.0,400276000.0,3106761000.0,3292000.0,1176115000.0,9049604000.0,6425499000.0,2975427000.0,912889000.0,6425499000.0,6426987000.0,2622617000.0,9049604000.0,4502790000.0,1709728000.0,0.0,-839903000.0
Biogen Inc,BIIB,W8J5WZB5IY3K0NDQT671,875045,2011.0,Q3,,2011-09-30,2011-10-28 16:14:30+00:00,159197000.0,581052000.0,7571000.0,575140000.0,0.0,4143557000.0,47984000.0,1146314000.0,1659114000.0,1060639000.0,1349359000.0,310934000.0,1572259000.0,4446000.0,,238175000.0,425781000.0,674743000.0,,,237870000.0,384450000.0,2806523000.0,3422000.0,944381000.0,8802204000.0,6229148000.0,2837288000.0,885346000.0,6229148000.0,6233594000.0,2568610000.0,8802204000.0,4392657000.0,1683264000.0,0.0,-728503000.0
