company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 10:24:50+00:00,,802000000.0,,514000000.0,6000000.0,2582000000.0,600000000.0,1139000000.0,-2274000000.0,-1983000000.0,4766000000.0,-21000000.0,103000000.0,25000000.0,-2295000000.0,-1880000000.0,4791000000.0,622000000.0,1220000000.0,1205000000.0,-15000000.0,177000000.0,8041000000.0,-163000000.0,-17654000000.0,-10767000000.0,-1124000000.0,15157000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 16:55:50+00:00,,942000000.0,,,-258000000.0,3903000000.0,,1570000000.0,-2913000000.0,1965000000.0,5443000000.0,,,,-2913000000.0,1965000000.0,5443000000.0,4237000000.0,-572000000.0,-572000000.0,,1170000000.0,7609000000.0,-175000000.0,-8619000000.0,-11841000000.0,-76000000.0,10584000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,Q4,2008-10-01,2008-12-31,,,298000000.0,,,1000000.0,2124000000.0,,901000000.0,-1819000000.0,1794000000.0,2250000000.0,,,,-1819000000.0,1794000000.0,2250000000.0,2226000000.0,-321000000.0,-321000000.0,,149000000.0,1297000000.0,-45000000.0,-1357000000.0,-3972000000.0,,3151000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,Q3,2008-07-01,2008-09-30,,,232000000.0,,,-176000000.0,578000000.0,,72000000.0,-983000000.0,-673000000.0,1073000000.0,,,,-983000000.0,-673000000.0,1073000000.0,-759000000.0,-258000000.0,-258000000.0,,521000000.0,2297000000.0,-42000000.0,-3269000000.0,-3310000000.0,,2596000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-11-02 16:06:09+00:00,,644000000.0,,0.0,-259000000.0,1779000000.0,0.0,669000000.0,-1094000000.0,171000000.0,3193000000.0,,,,-1094000000.0,171000000.0,3193000000.0,2011000000.0,-251000000.0,-251000000.0,,1021000000.0,6312000000.0,-130000000.0,-7262000000.0,-7869000000.0,-76000000.0,7433000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-31 16:39:10+00:00,,412000000.0,,,-83000000.0,1201000000.0,,597000000.0,-111000000.0,844000000.0,2120000000.0,,,,-111000000.0,844000000.0,2120000000.0,2770000000.0,7000000.0,7000000.0,,500000000.0,4015000000.0,-88000000.0,-3993000000.0,-4559000000.0,-76000000.0,4837000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 16:36:28+00:00,-51000000.0,866000000.0,,,232000000.0,1319000000.0,622000000.0,298000000.0,-5309000000.0,820000000.0,1931000000.0,,,,-5309000000.0,820000000.0,1931000000.0,-2326000000.0,-399000000.0,-399000000.0,,145000000.0,3041000000.0,-10000000.0,-10183000000.0,-9260000000.0,,11054000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,Q2TTM,2008-07-01,2009-06-30,,,1095000000.0,,,-92000000.0,3989000000.0,,973000000.0,-6843000000.0,1756000000.0,4692000000.0,,,,-6843000000.0,1756000000.0,4692000000.0,-487000000.0,-1098000000.0,-1098000000.0,,706000000.0,4865000000.0,-87000000.0,-7927000000.0,-12594000000.0,,9683000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,Q2,2009-04-01,2009-06-30,,,236000000.0,,,181000000.0,537000000.0,,,-1838000000.0,-619000000.0,586000000.0,,,,-1838000000.0,-619000000.0,586000000.0,-1690000000.0,-50000000.0,-50000000.0,,-137000000.0,498000000.0,,-2468000000.0,-2336000000.0,,1849000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-30 12:09:21+00:00,,565000000.0,,,83000000.0,1287000000.0,,,-4041000000.0,635000000.0,1369000000.0,,,,-4041000000.0,635000000.0,1369000000.0,-1954000000.0,-519000000.0,-519000000.0,,36000000.0,1271000000.0,,-3301000000.0,-5312000000.0,,3936000000.0
