company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accruedinvestmentincome,allowanceforloanandleaselosses,aoci,cashandequivalents,claimsandclaimexpenses,commitmentsandcontingencies,commonequity,deferredacquisitioncost,futurepolicybenefits,goodwill,intangibleassets,loansandleases,longtermdebt,mortgageservicingrights,netloansandleases,noncontrollinginterests,otherassets,otherlongtermliabilities,participatingpolicyholderequity,retainedearnings,separateaccountbusinessassets,separateaccountbusinessliabilities,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,tradingaccountsecurities,treasurystock,unearnedpremiumscredit
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2008.0,FY,,2008-12-31,2010-02-26 10:24:50+00:00,736000000.0,,-3062000000.0,7328000000.0,5322000000.0,,11478000000.0,7786000000.0,28533000000.0,1316000000.0,1147000000.0,,7716000000.0,8262000000.0,,0.0,28494000000.0,7108000000.0,34702000000.0,3210000000.0,9215000000.0,9215000000.0,1133000000.0,107389000000.0,8926000000.0,8926000000.0,8926000000.0,98463000000.0,107389000000.0,43105000000.0,-2700000000.0,4734000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,FY,,2009-12-31,2011-02-25 16:55:50+00:00,691000000.0,,-164000000.0,5002000000.0,6567000000.0,,12035000000.0,7341000000.0,29469000000.0,1324000000.0,934000000.0,,7084000000.0,7499000000.0,,1074000000.0,24483000000.0,6601000000.0,28470000000.0,3105000000.0,11002000000.0,11002000000.0,930000000.0,108187000000.0,12276000000.0,12276000000.0,13350000000.0,94837000000.0,108187000000.0,49911000000.0,-2700000000.0,4714000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2009.0,Q3,,2009-09-30,2009-11-02 16:06:09+00:00,717000000.0,,23000000.0,7144000000.0,6415000000.0,,12029000000.0,7414000000.0,29251000000.0,1324000000.0,961000000.0,,6900000000.0,7704000000.0,,1028000000.0,24946000000.0,6990000000.0,29381000000.0,3065000000.0,10712000000.0,10712000000.0,930000000.0,108832000000.0,12417000000.0,12417000000.0,13445000000.0,95387000000.0,108832000000.0,47910000000.0,-2700000000.0,4808000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2010.0,FY,,2010-12-31,2012-02-27 16:36:28+00:00,733000000.0,,1492000000.0,3132000000.0,6933000000.0,0.0,12096000000.0,7256000000.0,30717000000.0,1329000000.0,741000000.0,,8883000000.0,7225000000.0,,1110000000.0,24798000000.0,7706000000.0,26978000000.0,2973000000.0,11666000000.0,11666000000.0,,112395000000.0,13861000000.0,13861000000.0,14971000000.0,97424000000.0,112395000000.0,55515000000.0,-2700000000.0,4541000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2010.0,Q3,,2010-09-30,2010-10-29 16:36:28+00:00,760000000.0,,2484000000.0,3598000000.0,6448000000.0,,12085000000.0,7055000000.0,30758000000.0,1321000000.0,647000000.0,,8312000000.0,7451000000.0,,1069000000.0,26226000000.0,9112000000.0,27714000000.0,3133000000.0,11063000000.0,11063000000.0,730000000.0,114700000000.0,15002000000.0,15002000000.0,16071000000.0,98629000000.0,114700000000.0,56579000000.0,-2700000000.0,4492000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2010.0,Q2,,2010-06-30,2010-07-30 12:09:21+00:00,696000000.0,,1331000000.0,4586000000.0,6302000000.0,,12079000000.0,7170000000.0,29929000000.0,1313000000.0,789000000.0,,8293000000.0,7743000000.0,,1116000000.0,24186000000.0,7191000000.0,28338000000.0,3221000000.0,10284000000.0,10284000000.0,730000000.0,110352000000.0,13931000000.0,13931000000.0,15047000000.0,95305000000.0,110352000000.0,53585000000.0,-2700000000.0,4238000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2010.0,Q1,,2010-03-31,2010-04-30 16:04:11+00:00,775000000.0,,347000000.0,3466000000.0,6389000000.0,,12065000000.0,7252000000.0,29686000000.0,1319000000.0,863000000.0,,7626000000.0,7888000000.0,,1134000000.0,24050000000.0,6498000000.0,28107000000.0,3179000000.0,11261000000.0,11261000000.0,930000000.0,109093000000.0,12891000000.0,12891000000.0,14025000000.0,95068000000.0,109093000000.0,52219000000.0,-2700000000.0,4571000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2011.0,FY,,2011-12-31,2013-02-28 07:37:47+00:00,691000000.0,,4047000000.0,4488000000.0,7620000000.0,0.0,12137000000.0,5193000000.0,32175000000.0,1253000000.0,580000000.0,,8378000000.0,6503000000.0,,1110000000.0,24701000000.0,7146000000.0,26345000000.0,1584000000.0,10122000000.0,10122000000.0,,112187000000.0,15068000000.0,15068000000.0,16178000000.0,96009000000.0,112187000000.0,58656000000.0,-2700000000.0,4223000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2011.0,Q3,,2011-09-30,2011-11-07 16:09:40+00:00,725000000.0,,3872000000.0,3648000000.0,7379000000.0,0.0,12118000000.0,7359000000.0,31745000000.0,1326000000.0,626000000.0,,8402000000.0,6701000000.0,,1090000000.0,25537000000.0,8508000000.0,26480000000.0,2988000000.0,9794000000.0,9794000000.0,,113886000000.0,16278000000.0,16278000000.0,17368000000.0,96518000000.0,113886000000.0,58170000000.0,-2700000000.0,4210000000.0
Genworth Financial Inc,GNW,PXDECZED7L8SRUP41R09,1276520,2011.0,Q2,,2011-06-30,2011-08-02 16:14:42+00:00,693000000.0,,2062000000.0,2831000000.0,7327000000.0,0.0,12111000000.0,7362000000.0,31177000000.0,1333000000.0,692000000.0,,8581000000.0,6889000000.0,,1126000000.0,24500000000.0,7574000000.0,26115000000.0,2959000000.0,11452000000.0,11452000000.0,,112347000000.0,14432000000.0,14432000000.0,15558000000.0,96789000000.0,112347000000.0,56595000000.0,-2700000000.0,4563000000.0
