company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2009.0,FY,2008-03-30,2009-03-28,2011-05-26 16:27:16+00:00,-46300000.0,184400000.0,-34400000.0,62400000.0,,0.0,-352100000.0,-458000000.0,774200000.0,-352100000.0,-458000000.0,774200000.0,-70300000.0,406000000.0,406000000.0,121400000.0,41100000.0,26900000.0,-19900000.0,-623100000.0,-185000000.0,-203500000.0,-169800000.0,369500000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q4,2009-12-27,2010-04-03,,-27100000.0,47700000.0,-10900000.0,-55000000.0,,,-62300000.0,-439700000.0,102200000.0,-62300000.0,-439700000.0,102200000.0,-410700000.0,114100000.0,114100000.0,-4600000.0,27100000.0,5700000.0,-9800000.0,-504400000.0,-97000000.0,-2000000.0,-77600000.0,183100000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,FY,2009-03-29,2010-04-03,2012-05-24 16:16:49+00:00,-30800000.0,181200000.0,-13800000.0,195800000.0,,1300000.0,-306400000.0,-504400000.0,906500000.0,-306400000.0,-504400000.0,906500000.0,81900000.0,479500000.0,479500000.0,50000000.0,75700000.0,6200000.0,-24700000.0,-1350900000.0,-201300000.0,-127700000.0,-231000000.0,1072400000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q3,2009-09-27,2009-12-26,,-2000000.0,44100000.0,-9300000.0,302700000.0,,1300000.0,-54500000.0,130300000.0,483800000.0,-54500000.0,130300000.0,483800000.0,550300000.0,111100000.0,111100000.0,25900000.0,29500000.0,1700000.0,-5000000.0,-254900000.0,-51300000.0,-1400000.0,-78900000.0,436800000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q3YTD,2009-03-29,2009-12-26,2011-02-09 16:47:22+00:00,-3700000.0,133500000.0,-2900000.0,250800000.0,,1300000.0,-244100000.0,-64700000.0,804300000.0,-244100000.0,-64700000.0,804300000.0,492600000.0,365400000.0,365400000.0,54600000.0,48600000.0,500000.0,-14900000.0,-846500000.0,-104300000.0,-125700000.0,-153400000.0,889300000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q2,2009-06-28,2009-09-26,,,45100000.0,5600000.0,-210200000.0,,,-176900000.0,-54200000.0,28200000.0,-176900000.0,-54200000.0,28200000.0,-197300000.0,177500000.0,177500000.0,15800000.0,11600000.0,-6900000.0,-4900000.0,-241400000.0,-35200000.0,-123100000.0,-60500000.0,229300000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q2YTD,2009-03-29,2009-09-26,2010-11-10 16:15:30+00:00,-1700000.0,89400000.0,6400000.0,-51900000.0,,,-189600000.0,-195000000.0,320500000.0,-189600000.0,-195000000.0,320500000.0,-57700000.0,254300000.0,254300000.0,28700000.0,19100000.0,-1200000.0,-9900000.0,-591600000.0,-53000000.0,-124300000.0,-74500000.0,452500000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q1,2009-03-29,2009-06-27,2010-08-10 16:49:25+00:00,-1700000.0,44300000.0,800000.0,158300000.0,,,-12700000.0,-140800000.0,292300000.0,-12700000.0,-140800000.0,292300000.0,139600000.0,76800000.0,76800000.0,12900000.0,7500000.0,5700000.0,-5000000.0,-350200000.0,-17800000.0,-1200000.0,-14000000.0,223200000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q4,2011-01-02,2011-04-02,,-3100000.0,51300000.0,4600000.0,-48300000.0,,,-230800000.0,-58600000.0,94400000.0,-230800000.0,-58600000.0,94400000.0,-190400000.0,73200000.0,73200000.0,18200000.0,29000000.0,12600000.0,-9600000.0,-224800000.0,-83500000.0,-3300000.0,-246900000.0,240200000.0,
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,FY,2010-04-04,2011-04-02,2013-05-23 16:18:28+00:00,-70900000.0,194100000.0,13200000.0,-105200000.0,,0.0,-512600000.0,-299400000.0,688700000.0,-512600000.0,-299400000.0,688700000.0,-110100000.0,567600000.0,567600000.0,32200000.0,130900000.0,28500000.0,-38500000.0,-1244300000.0,-255000000.0,-10400000.0,-594600000.0,1242300000.0,
