company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2009.0,FY,2008-03-30,2009-03-28,2011-05-26 16:27:16+00:00,20200000.0,4.09,4.09,0.2,4.01,55400000.0,181500000.0,406000000.0,406000000.0,406000000.0,2288200000.0,5018900000.0,1600000.0,,23600000.0,2036000000.0,2288200000.0,2730700000.0,26600000.0,17000000.0,2135200000.0,595500000.0,-8000000.0,587500000.0,5018900000.0,99300000.0,99200000.0,101300000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q4,2009-12-27,2010-04-03,,6000000.0,1.17,1.17,0.1,1.12,,53300000.0,114100000.0,114100000.0,114100000.0,547700000.0,1337100000.0,13100000.0,,-400000.0,612000000.0,547700000.0,789400000.0,5400000.0,-12100000.0,617600000.0,171800000.0,-4400000.0,167400000.0,1337100000.0,98900000.0,98900000.0,101300000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,FY,2009-03-29,2010-04-03,2012-05-24 16:16:49+00:00,21700000.0,4.85,4.85,0.3,4.73,6600000.0,209800000.0,479500000.0,479500000.0,479500000.0,2079800000.0,4978900000.0,10200000.0,,6900000.0,2157000000.0,2079800000.0,2899100000.0,22200000.0,-5600000.0,2192200000.0,706900000.0,-17600000.0,689300000.0,4978900000.0,98900000.0,98900000.0,101300000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q3YTD,2009-03-29,2009-12-26,,15700000.0,3.68,3.68,0.2,3.61,6600000.0,156500000.0,365400000.0,365400000.0,365400000.0,1532100000.0,3641800000.0,-2900000.0,,7300000.0,1545000000.0,1532100000.0,2109700000.0,16800000.0,6500000.0,1574600000.0,535100000.0,-13200000.0,521900000.0,3641800000.0,99200000.0,98800000.0,101400000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q3,2009-09-27,2009-12-26,2011-02-09 16:47:22+00:00,5300000.0,1.12,1.12,0.1,1.1,4900000.0,54400000.0,111100000.0,111100000.0,111100000.0,520200000.0,1243900000.0,-1200000.0,,600000.0,540400000.0,520200000.0,723700000.0,4600000.0,-1200000.0,551200000.0,172500000.0,-7000000.0,165500000.0,1243900000.0,99200000.0,98800000.0,101400000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q2YTD,2009-03-29,2009-09-26,,10400000.0,2.56,2.56,0.1,2.51,1700000.0,102100000.0,254300000.0,254300000.0,254300000.0,1011900000.0,2397900000.0,-1700000.0,,6700000.0,1004600000.0,1011900000.0,1386000000.0,12200000.0,7700000.0,1023400000.0,362600000.0,-6200000.0,356400000.0,2397900000.0,99200000.0,99400000.0,101600000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q2,2009-06-28,2009-09-26,2010-11-10 16:15:30+00:00,5200000.0,1.79,1.79,0.05,1.75,1700000.0,64800000.0,177500000.0,177500000.0,177500000.0,589400000.0,1374200000.0,-2600000.0,,6300000.0,525700000.0,589400000.0,784800000.0,5600000.0,4600000.0,538900000.0,245900000.0,-3600000.0,242300000.0,1374200000.0,99200000.0,99400000.0,101600000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2010.0,Q1,2009-03-29,2009-06-27,2010-08-10 16:49:25+00:00,5200000.0,0.77,0.77,0.05,0.76,,37300000.0,76800000.0,76800000.0,76800000.0,422500000.0,1023700000.0,900000.0,,400000.0,478900000.0,422500000.0,601200000.0,6600000.0,3100000.0,484500000.0,116700000.0,-2600000.0,114100000.0,1023700000.0,99700000.0,99200000.0,101500000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q4,2011-01-02,2011-04-02,,6900000.0,0.76,0.76,0.2,0.73,2500000.0,38300000.0,73200000.0,73200000.0,73200000.0,616600000.0,1426900000.0,5700000.0,,2600000.0,681100000.0,616600000.0,810300000.0,5100000.0,-6300000.0,693100000.0,117200000.0,-5700000.0,111500000.0,1426900000.0,96000000.0,96000000.0,98700000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,FY,2010-04-04,2011-04-02,2013-05-23 16:18:28+00:00,25400000.0,5.91,5.91,0.5,5.75,2500000.0,257800000.0,567600000.0,567600000.0,567600000.0,2342000000.0,5660300000.0,6300000.0,,2600000.0,2442700000.0,2342000000.0,3318300000.0,18300000.0,-7700000.0,2473200000.0,845100000.0,-19700000.0,825400000.0,5660300000.0,96000000.0,96000000.0,98700000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q3YTD,2010-04-04,2011-01-01,,18500000.0,5.15,5.15,0.3,5.02,,219500000.0,494400000.0,494400000.0,494400000.0,1725400000.0,4233400000.0,600000.0,,,1761600000.0,1725400000.0,2508000000.0,13200000.0,-1400000.0,1780100000.0,727900000.0,-14000000.0,713900000.0,4233400000.0,95700000.0,95500000.0,98100000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q3TTM,2009-12-27,2011-01-01,,24500000.0,6.32,6.32,0.4,6.14,,272800000.0,608500000.0,608500000.0,608500000.0,2273100000.0,5570500000.0,13700000.0,,-400000.0,2373600000.0,2273100000.0,3297400000.0,18600000.0,-13500000.0,2397700000.0,899700000.0,-18400000.0,881300000.0,5570500000.0,95700000.0,95500000.0,98100000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q3,2010-10-03,2011-01-01,2012-02-08 17:22:42+00:00,6300000.0,1.76,1.76,0.1,1.72,,70000000.0,168400000.0,168400000.0,168400000.0,640100000.0,1548000000.0,-800000.0,,,655300000.0,640100000.0,907900000.0,4300000.0,-2800000.0,661600000.0,246300000.0,-7900000.0,238400000.0,1548000000.0,95700000.0,95500000.0,98100000.0
Ralph Lauren Corp,RL,HO1QNWM0IXBZ0QSMMO20,1037038,2011.0,Q2YTD,2010-04-04,2010-10-02,,12200000.0,3.39,3.39,0.2,3.3,,149500000.0,326000000.0,326000000.0,326000000.0,1085300000.0,2685400000.0,1400000.0,,,1106300000.0,1085300000.0,1600100000.0,8900000.0,1400000.0,1118500000.0,481600000.0,-6100000.0,475500000.0,2685400000.0,95400000.0,95500000.0,98000000.0
